workload	mode	evidence_path	acceptance_status	core_sha	runtime_binary_sha256	observer_overlay_sha256	framework_sha	payload_sha256
ATAX	BASE	fast64_repaired_ramp3_v1/fast64_atax_base_core95ccdb7a_a1_r1.json	STRICT_TERMINAL_ACCEPTED	95ccdb7a056f2d53f740d90869785cac6d4ee0f5	462d105cf28efe98a8a20131fd671f3d28ad374a3e4b5448a597df702cc4dbc9	2c2a6a272c129243626617e2b80ded798b30ccb09377d07a2ca453209074074e	037f008b330eb230353b60edf126d6be9f45afdc	b6dcd0e3807bd71449d2283f97ba43a91868cb761e7b4924dd3d3063340a94ba
ATAX	IO	fast64_repaired_ramp3_v1/fast64_atax_io_core95ccdb7a_a1_r1.json	STRICT_TERMINAL_ACCEPTED	95ccdb7a056f2d53f740d90869785cac6d4ee0f5	462d105cf28efe98a8a20131fd671f3d28ad374a3e4b5448a597df702cc4dbc9	2c2a6a272c129243626617e2b80ded798b30ccb09377d07a2ca453209074074e	037f008b330eb230353b60edf126d6be9f45afdc	b6dcd0e3807bd71449d2283f97ba43a91868cb761e7b4924dd3d3063340a94ba
ATAX	OO	fast64_repaired_ramp_v1/fast64_atax_oo_core95ccdb7a_a1_r1.json	STRICT_TERMINAL_ACCEPTED	95ccdb7a056f2d53f740d90869785cac6d4ee0f5	462d105cf28efe98a8a20131fd671f3d28ad374a3e4b5448a597df702cc4dbc9	2c2a6a272c129243626617e2b80ded798b30ccb09377d07a2ca453209074074e	037f008b330eb230353b60edf126d6be9f45afdc	b6dcd0e3807bd71449d2283f97ba43a91868cb761e7b4924dd3d3063340a94ba
BICG	BASE	fast64_repaired_ramp2_v1/fast64_bicg_base_core95ccdb7a_a1_r1.json	STRICT_TERMINAL_ACCEPTED	95ccdb7a056f2d53f740d90869785cac6d4ee0f5	462d105cf28efe98a8a20131fd671f3d28ad374a3e4b5448a597df702cc4dbc9	2c2a6a272c129243626617e2b80ded798b30ccb09377d07a2ca453209074074e	037f008b330eb230353b60edf126d6be9f45afdc	388740a7be05d5596ffb77ff3f4812ff93f41afa0ee5082c1e179745cf5e0a4b
BICG	IO	fast64_repaired_ramp2_v1/fast64_bicg_io_core95ccdb7a_a1_r1.json	STRICT_TERMINAL_ACCEPTED	95ccdb7a056f2d53f740d90869785cac6d4ee0f5	462d105cf28efe98a8a20131fd671f3d28ad374a3e4b5448a597df702cc4dbc9	2c2a6a272c129243626617e2b80ded798b30ccb09377d07a2ca453209074074e	037f008b330eb230353b60edf126d6be9f45afdc	388740a7be05d5596ffb77ff3f4812ff93f41afa0ee5082c1e179745cf5e0a4b
BICG	OO	fast64_repaired_ramp2_v1/fast64_bicg_oo_core95ccdb7a_a1_r1.json	STRICT_TERMINAL_ACCEPTED	95ccdb7a056f2d53f740d90869785cac6d4ee0f5	462d105cf28efe98a8a20131fd671f3d28ad374a3e4b5448a597df702cc4dbc9	2c2a6a272c129243626617e2b80ded798b30ccb09377d07a2ca453209074074e	037f008b330eb230353b60edf126d6be9f45afdc	388740a7be05d5596ffb77ff3f4812ff93f41afa0ee5082c1e179745cf5e0a4b
GESUMMV	BASE	fast64_repaired_ramp2_v1/fast64_gesummv_base_core95ccdb7a_a1_r1.json	STRICT_TERMINAL_ACCEPTED	95ccdb7a056f2d53f740d90869785cac6d4ee0f5	462d105cf28efe98a8a20131fd671f3d28ad374a3e4b5448a597df702cc4dbc9	2c2a6a272c129243626617e2b80ded798b30ccb09377d07a2ca453209074074e	037f008b330eb230353b60edf126d6be9f45afdc	ed0da283145c822bb1b9fc13c78fe41088b43478b706fcb17d078d83111044a8
GESUMMV	IO	fast64_repaired_ramp3_v1/fast64_gesummv_io_core95ccdb7a_a1_r1.json	STRICT_TERMINAL_ACCEPTED	95ccdb7a056f2d53f740d90869785cac6d4ee0f5	462d105cf28efe98a8a20131fd671f3d28ad374a3e4b5448a597df702cc4dbc9	2c2a6a272c129243626617e2b80ded798b30ccb09377d07a2ca453209074074e	037f008b330eb230353b60edf126d6be9f45afdc	ed0da283145c822bb1b9fc13c78fe41088b43478b706fcb17d078d83111044a8
GESUMMV	OO	fast64_repaired_ramp_v1/fast64_gesummv_oo_core95ccdb7a_a1_r1.json	STRICT_TERMINAL_ACCEPTED	95ccdb7a056f2d53f740d90869785cac6d4ee0f5	462d105cf28efe98a8a20131fd671f3d28ad374a3e4b5448a597df702cc4dbc9	2c2a6a272c129243626617e2b80ded798b30ccb09377d07a2ca453209074074e	037f008b330eb230353b60edf126d6be9f45afdc	ed0da283145c822bb1b9fc13c78fe41088b43478b706fcb17d078d83111044a8
GEMM	BASE	fast64_3_gemm_base_alias_v4/fast64_3_precomputed_gemm_base_cap8192_a1_r2.json	STRICT_TERMINAL_ACCEPTED	bbcbb5e7565417102087bc80b14c349b4e568c05	6a8743b4d7adc7f56d40aafdf913718c9e0ad13641e962aa8ef5e3ee35d4f041	2c2a6a272c129243626617e2b80ded798b30ccb09377d07a2ca453209074074e	037f008b330eb230353b60edf126d6be9f45afdc	fd9a9430fc95eb0af4c73b9710db271f8e32bff4ea2f5dd08a4e8e17c9b02057
GEMM	IO	fast64_4_precomputed_rows_v1/fast64_4_gemm_io_cap8192_a1_v3.json	STRICT_TERMINAL_ACCEPTED	bbcbb5e7565417102087bc80b14c349b4e568c05	6a8743b4d7adc7f56d40aafdf913718c9e0ad13641e962aa8ef5e3ee35d4f041	2c2a6a272c129243626617e2b80ded798b30ccb09377d07a2ca453209074074e	037f008b330eb230353b60edf126d6be9f45afdc	fd9a9430fc95eb0af4c73b9710db271f8e32bff4ea2f5dd08a4e8e17c9b02057
GEMM	OO	fast64_4_precomputed_rows_v1/fast64_4_gemm_oo_cap8192_a1_v3.json	STRICT_TERMINAL_ACCEPTED	bbcbb5e7565417102087bc80b14c349b4e568c05	6a8743b4d7adc7f56d40aafdf913718c9e0ad13641e962aa8ef5e3ee35d4f041	2c2a6a272c129243626617e2b80ded798b30ccb09377d07a2ca453209074074e	037f008b330eb230353b60edf126d6be9f45afdc	fd9a9430fc95eb0af4c73b9710db271f8e32bff4ea2f5dd08a4e8e17c9b02057
2DConvolution	BASE	fast64_3_tag_identity_repair_v2/fast64_3_2DConvolution_base_core6587238c_a1_v1.json	STRICT_TERMINAL_ACCEPTED	6587238c60214d99491f4048e28ce8a3458c1509	29a3dd9f57a5accb89822ca3fcf06b11c437bfe864ee43d2ff5f26c8c056f3c1	2c2a6a272c129243626617e2b80ded798b30ccb09377d07a2ca453209074074e	037f008b330eb230353b60edf126d6be9f45afdc	23bcc08b04d82fc527ffc1365d3199f4d1f3057bf6a2705d1110c5c226227d64
2DConvolution	IO	fast64_4_cap16384_recovery_v1/fast64_4_2DConvolution_io_cap16384_core658_a1_v1.json	STRICT_TERMINAL_ACCEPTED	6587238c60214d99491f4048e28ce8a3458c1509	29a3dd9f57a5accb89822ca3fcf06b11c437bfe864ee43d2ff5f26c8c056f3c1	2c2a6a272c129243626617e2b80ded798b30ccb09377d07a2ca453209074074e	037f008b330eb230353b60edf126d6be9f45afdc	23bcc08b04d82fc527ffc1365d3199f4d1f3057bf6a2705d1110c5c226227d64
2DConvolution	OO	fast64_4_2d_tag_identity_v2/fast64_4_primary_2DConvolution_oo_core6587238c_a1_v1.json	STRICT_TERMINAL_ACCEPTED	6587238c60214d99491f4048e28ce8a3458c1509	29a3dd9f57a5accb89822ca3fcf06b11c437bfe864ee43d2ff5f26c8c056f3c1	2c2a6a272c129243626617e2b80ded798b30ccb09377d07a2ca453209074074e	037f008b330eb230353b60edf126d6be9f45afdc	23bcc08b04d82fc527ffc1365d3199f4d1f3057bf6a2705d1110c5c226227d64
Btree	BASE	fast64_repaired_ramp_v1/fast64_btree_base_core95ccdb7a_a1_r1.json	STRICT_TERMINAL_ACCEPTED	95ccdb7a056f2d53f740d90869785cac6d4ee0f5	462d105cf28efe98a8a20131fd671f3d28ad374a3e4b5448a597df702cc4dbc9	2c2a6a272c129243626617e2b80ded798b30ccb09377d07a2ca453209074074e	037f008b330eb230353b60edf126d6be9f45afdc	26315d4ae044e91094d54134ec94e25d70fd4eda8c0fe01767bc2a9437d73467
Btree	IO	fast64_repaired_ramp_v1/fast64_btree_io_core95ccdb7a_a1_r1.json	STRICT_TERMINAL_ACCEPTED	95ccdb7a056f2d53f740d90869785cac6d4ee0f5	462d105cf28efe98a8a20131fd671f3d28ad374a3e4b5448a597df702cc4dbc9	2c2a6a272c129243626617e2b80ded798b30ccb09377d07a2ca453209074074e	037f008b330eb230353b60edf126d6be9f45afdc	26315d4ae044e91094d54134ec94e25d70fd4eda8c0fe01767bc2a9437d73467
Btree	OO	fast64_repaired_ramp_v1/fast64_btree_oo_core95ccdb7a_a1_r1.json	STRICT_TERMINAL_ACCEPTED	95ccdb7a056f2d53f740d90869785cac6d4ee0f5	462d105cf28efe98a8a20131fd671f3d28ad374a3e4b5448a597df702cc4dbc9	2c2a6a272c129243626617e2b80ded798b30ccb09377d07a2ca453209074074e	037f008b330eb230353b60edf126d6be9f45afdc	26315d4ae044e91094d54134ec94e25d70fd4eda8c0fe01767bc2a9437d73467
DWT2D	BASE	fast64_3_dwt2d_base_alias_v3/fast64_3_precomputed_dwt2d_base_cap8192_a1_r2.json	STRICT_TERMINAL_ACCEPTED	bbcbb5e7565417102087bc80b14c349b4e568c05	6a8743b4d7adc7f56d40aafdf913718c9e0ad13641e962aa8ef5e3ee35d4f041	2c2a6a272c129243626617e2b80ded798b30ccb09377d07a2ca453209074074e	037f008b330eb230353b60edf126d6be9f45afdc	337087fedad435cd92cbd7e0f962f90d567ec9e77038fd8150977b7c6beb7164
DWT2D	IO	fast64_4_precomputed_rows_v1/fast64_4_dwt2d_io_cap8192_a1_v3_recovered_v2.json	STRICT_TERMINAL_ACCEPTED	bbcbb5e7565417102087bc80b14c349b4e568c05	6a8743b4d7adc7f56d40aafdf913718c9e0ad13641e962aa8ef5e3ee35d4f041	2c2a6a272c129243626617e2b80ded798b30ccb09377d07a2ca453209074074e	037f008b330eb230353b60edf126d6be9f45afdc	337087fedad435cd92cbd7e0f962f90d567ec9e77038fd8150977b7c6beb7164
DWT2D	OO	fast64_4_precomputed_rows_v1/fast64_4_dwt2d_oo_cap8192_a1_v3_recovered_v2.json	STRICT_TERMINAL_ACCEPTED	bbcbb5e7565417102087bc80b14c349b4e568c05	6a8743b4d7adc7f56d40aafdf913718c9e0ad13641e962aa8ef5e3ee35d4f041	2c2a6a272c129243626617e2b80ded798b30ccb09377d07a2ca453209074074e	037f008b330eb230353b60edf126d6be9f45afdc	337087fedad435cd92cbd7e0f962f90d567ec9e77038fd8150977b7c6beb7164
Gaussian	BASE	fast64_4_cap16384_recovery_v1/fast64_4_Gaussian_base_cap16384_core95_a1_v1.json	STRICT_TERMINAL_ACCEPTED	95ccdb7a056f2d53f740d90869785cac6d4ee0f5	462d105cf28efe98a8a20131fd671f3d28ad374a3e4b5448a597df702cc4dbc9	2c2a6a272c129243626617e2b80ded798b30ccb09377d07a2ca453209074074e	037f008b330eb230353b60edf126d6be9f45afdc	6dc7caba6733657293e8c517467bac28890ae4eb97c732ffd245d7fd1c479fb9
Gaussian	IO	fast64_4_cap16384_recovery_v1/fast64_4_Gaussian_io_cap16384_core95_a1_v1.json	STRICT_TERMINAL_ACCEPTED	95ccdb7a056f2d53f740d90869785cac6d4ee0f5	462d105cf28efe98a8a20131fd671f3d28ad374a3e4b5448a597df702cc4dbc9	2c2a6a272c129243626617e2b80ded798b30ccb09377d07a2ca453209074074e	037f008b330eb230353b60edf126d6be9f45afdc	6dc7caba6733657293e8c517467bac28890ae4eb97c732ffd245d7fd1c479fb9
