workload	mode	lower_created_or_acquired	issued	response_or_released	dependency_create	dependency_complete	final_pib	final_inflight	final_lower	final_oo_active_refs	lower_cap_full_events	cap_disposition	accepted
ATAX	BASE	19215755	19215755	19215755	3145984	3145984	0	0	0	0	0	ZERO	PASS
ATAX	IO	17821540	17821540	17821540	18350336	18350336	0	0	0	0	0	ZERO	PASS
ATAX	OO	17814804	17814804	17814804	18350336	18350336	0	0	0	0	0	ZERO	PASS
BICG	BASE	19214879	19214879	19214879	3145984	3145984	0	0	0	0	0	ZERO	PASS
BICG	IO	17821394	17821394	17821394	18350080	18350080	0	0	0	0	0	ZERO	PASS
BICG	OO	17814913	17814913	17814913	18350080	18350080	0	0	0	0	0	ZERO	PASS
GESUMMV	BASE	34394773	34394773	34394773	4194560	4194560	0	0	0	0	0	ZERO	PASS
GESUMMV	IO	34595564	34595564	34595564	35651712	35651712	0	0	0	0	0	ZERO	PASS
GESUMMV	OO	34598098	34598098	34598098	35651712	35651712	0	0	0	0	0	ZERO	PASS
GEMM	BASE	16813388	16813388	16813388	12599296	12599296	0	0	0	0	0	ZERO	PASS
GEMM	IO	4256815	4256815	4256815	8396800	8396800	0	0	0	0	0	ZERO	PASS
GEMM	OO	4113199	4113199	4113199	8396800	8396800	0	0	0	0	0	ZERO	PASS
2DConvolution	BASE	8362183	8362183	8362183	5240320	5240320	0	0	0	0	0	ZERO	PASS
2DConvolution	IO	3375831	3375831	3375831	7835916	7835916	0	0	0	0	0	ZERO	PASS
2DConvolution	OO	3305954	3305954	3305954	7835916	7835916	0	0	0	0	0	ZERO	PASS
Btree	BASE	1458407	1458407	1458407	1927551	1927551	0	0	0	0	0	ZERO	PASS
Btree	IO	507779	507779	507779	2388513	2388513	0	0	0	0	0	ZERO	PASS
Btree	OO	502450	502450	502450	2388513	2388513	0	0	0	0	0	ZERO	PASS
DWT2D	BASE	757359	757359	757359	437886	437886	0	0	0	0	0	ZERO	PASS
DWT2D	IO	232115	232115	232115	254580	254580	0	0	0	0	0	ZERO	PASS
DWT2D	OO	232015	232015	232015	254580	254580	0	0	0	0	0	ZERO	PASS
Gaussian	BASE	1951815	1951815	1951815	743656	743656	0	0	0	0	0	ZERO	PASS
Gaussian	IO	1422278	1422278	1422278	5946552	5946552	0	0	0	0	0	ZERO	PASS
Gaussian	OO	1435914	1435914	1435914	5946552	5946552	0	0	0	0	0	ZERO	PASS
Hotspot1	BASE	701725	701725	701725	161336	161336	0	0	0	0	0	ZERO	PASS
Hotspot1	IO	351857	351857	351857	353069	353069	0	0	0	0	0	ZERO	PASS
Hotspot1	OO	351837	351837	351837	353069	353069	0	0	0	0	0	ZERO	PASS
LUD	BASE	1048098	1048098	1048098	373488	373488	0	0	0	0	0	ZERO	PASS
LUD	IO	517232	517232	517232	524288	524288	0	0	0	0	0	ZERO	PASS
LUD	OO	518472	518472	518472	524288	524288	0	0	0	0	0	ZERO	PASS
NN	BASE	10691	10691	10691	4011	4011	0	0	0	0	0	ZERO	PASS
NN	IO	2673	2673	2673	5346	5346	0	0	0	0	0	ZERO	PASS
NN	OO	2673	2673	2673	5346	5346	0	0	0	0	0	ZERO	PASS
MRI-Q	BASE	62208	62208	62208	21792	21792	0	0	0	0	0	ZERO	PASS
MRI-Q	IO	15517	15517	15517	15552	15552	0	0	0	0	0	ZERO	PASS
MRI-Q	OO	15516	15516	15516	15552	15552	0	0	0	0	0	ZERO	PASS
