workload	payload_sha256	core_sha	runtime_sha256	observer_sha256	scientific_framework_sha	trace_list_sha256	base_cycles	io_cycles	oo_cycles	instructions	status
ATAX	e9b9ccfcbb05f74016d5fcc2eedb63306e42b2a13b340b2dd36ce5ead5f63269	95ccdb7a056f2d53f740d90869785cac6d4ee0f5	462d105cf28efe98a8a20131fd671f3d28ad374a3e4b5448a597df702cc4dbc9	2c2a6a272c129243626617e2b80ded798b30ccb09377d07a2ca453209074074e	037f008b330eb230353b60edf126d6be9f45afdc	b6dcd0e3807bd71449d2283f97ba43a91868cb761e7b4924dd3d3063340a94ba	87750512	88363340	48078114	145666048	PASS
BICG	e9b9ccfcbb05f74016d5fcc2eedb63306e42b2a13b340b2dd36ce5ead5f63269	95ccdb7a056f2d53f740d90869785cac6d4ee0f5	462d105cf28efe98a8a20131fd671f3d28ad374a3e4b5448a597df702cc4dbc9	2c2a6a272c129243626617e2b80ded798b30ccb09377d07a2ca453209074074e	037f008b330eb230353b60edf126d6be9f45afdc	388740a7be05d5596ffb77ff3f4812ff93f41afa0ee5082c1e179745cf5e0a4b	88495620	93942704	47231655	145666048	PASS
GESUMMV	e9b9ccfcbb05f74016d5fcc2eedb63306e42b2a13b340b2dd36ce5ead5f63269	95ccdb7a056f2d53f740d90869785cac6d4ee0f5	462d105cf28efe98a8a20131fd671f3d28ad374a3e4b5448a597df702cc4dbc9	2c2a6a272c129243626617e2b80ded798b30ccb09377d07a2ca453209074074e	037f008b330eb230353b60edf126d6be9f45afdc	ed0da283145c822bb1b9fc13c78fe41088b43478b706fcb17d078d83111044a8	194986098	210667785	143059605	190918656	PASS
GEMM	e9b9ccfcbb05f74016d5fcc2eedb63306e42b2a13b340b2dd36ce5ead5f63269	bbcbb5e7565417102087bc80b14c349b4e568c05	6a8743b4d7adc7f56d40aafdf913718c9e0ad13641e962aa8ef5e3ee35d4f041	2c2a6a272c129243626617e2b80ded798b30ccb09377d07a2ca453209074074e	037f008b330eb230353b60edf126d6be9f45afdc	fd9a9430fc95eb0af4c73b9710db271f8e32bff4ea2f5dd08a4e8e17c9b02057	2662394	1488845	1396643	739246080	PASS
2DConvolution	e9b9ccfcbb05f74016d5fcc2eedb63306e42b2a13b340b2dd36ce5ead5f63269	6587238c60214d99491f4048e28ce8a3458c1509	29a3dd9f57a5accb89822ca3fcf06b11c437bfe864ee43d2ff5f26c8c056f3c1	2c2a6a272c129243626617e2b80ded798b30ccb09377d07a2ca453209074074e	037f008b330eb230353b60edf126d6be9f45afdc	23bcc08b04d82fc527ffc1365d3199f4d1f3057bf6a2705d1110c5c226227d64	2247155	627281	593208	620347492	PASS
Btree	e9b9ccfcbb05f74016d5fcc2eedb63306e42b2a13b340b2dd36ce5ead5f63269	95ccdb7a056f2d53f740d90869785cac6d4ee0f5	462d105cf28efe98a8a20131fd671f3d28ad374a3e4b5448a597df702cc4dbc9	2c2a6a272c129243626617e2b80ded798b30ccb09377d07a2ca453209074074e	037f008b330eb230353b60edf126d6be9f45afdc	26315d4ae044e91094d54134ec94e25d70fd4eda8c0fe01767bc2a9437d73467	369977	244231	172795	444467849	PASS
DWT2D	e9b9ccfcbb05f74016d5fcc2eedb63306e42b2a13b340b2dd36ce5ead5f63269	bbcbb5e7565417102087bc80b14c349b4e568c05	6a8743b4d7adc7f56d40aafdf913718c9e0ad13641e962aa8ef5e3ee35d4f041	2c2a6a272c129243626617e2b80ded798b30ccb09377d07a2ca453209074074e	037f008b330eb230353b60edf126d6be9f45afdc	337087fedad435cd92cbd7e0f962f90d567ec9e77038fd8150977b7c6beb7164	344119	241380	234651	148684429	PASS
Gaussian	e9b9ccfcbb05f74016d5fcc2eedb63306e42b2a13b340b2dd36ce5ead5f63269	95ccdb7a056f2d53f740d90869785cac6d4ee0f5	462d105cf28efe98a8a20131fd671f3d28ad374a3e4b5448a597df702cc4dbc9	2c2a6a272c129243626617e2b80ded798b30ccb09377d07a2ca453209074074e	037f008b330eb230353b60edf126d6be9f45afdc	6dc7caba6733657293e8c517467bac28890ae4eb97c732ffd245d7fd1c479fb9	4229815	3817538	3820325	283685120	PASS
Hotspot1	e9b9ccfcbb05f74016d5fcc2eedb63306e42b2a13b340b2dd36ce5ead5f63269	95ccdb7a056f2d53f740d90869785cac6d4ee0f5	462d105cf28efe98a8a20131fd671f3d28ad374a3e4b5448a597df702cc4dbc9	2c2a6a272c129243626617e2b80ded798b30ccb09377d07a2ca453209074074e	037f008b330eb230353b60edf126d6be9f45afdc	a731bfc2cbb90b51888e92f3fb188ff4fceb123612a7b1ceb1817bc752e89461	160486	85633	84173	377291004	PASS
LUD	e9b9ccfcbb05f74016d5fcc2eedb63306e42b2a13b340b2dd36ce5ead5f63269	95ccdb7a056f2d53f740d90869785cac6d4ee0f5	462d105cf28efe98a8a20131fd671f3d28ad374a3e4b5448a597df702cc4dbc9	2c2a6a272c129243626617e2b80ded798b30ccb09377d07a2ca453209074074e	037f008b330eb230353b60edf126d6be9f45afdc	6bf8f1fd5951793b1b2c563ee13203591e3d53d5985d4d1d6e3b5cf8f64a39e0	1113878	1091487	1087849	184963840	PASS
NN	e9b9ccfcbb05f74016d5fcc2eedb63306e42b2a13b340b2dd36ce5ead5f63269	95ccdb7a056f2d53f740d90869785cac6d4ee0f5	462d105cf28efe98a8a20131fd671f3d28ad374a3e4b5448a597df702cc4dbc9	2c2a6a272c129243626617e2b80ded798b30ccb09377d07a2ca453209074074e	037f008b330eb230353b60edf126d6be9f45afdc	6b5e83e43dc74ae1b23312e1772d19a774b6c7397740c1bc1e0f572db77f8664	6985	6095	6105	1284872	PASS
MRI-Q	e9b9ccfcbb05f74016d5fcc2eedb63306e42b2a13b340b2dd36ce5ead5f63269	95ccdb7a056f2d53f740d90869785cac6d4ee0f5	462d105cf28efe98a8a20131fd671f3d28ad374a3e4b5448a597df702cc4dbc9	2c2a6a272c129243626617e2b80ded798b30ccb09377d07a2ca453209074074e	037f008b330eb230353b60edf126d6be9f45afdc	e2282e93dffade84b1039a5ac4cbccbe0f34a1f2852520f9a16ffcc9996528a5	366667	360536	361415	1411757056	PASS
