workload	mode	raw_run_ref	source_log	stdout_sha256	stderr_sha256
ATAX	BASE	/workspace/fast64-repaired-ramp3/fast64_atax_base_core95ccdb7a_a1_r1	/workspace/fast64-repaired-ramp3/fast64_atax_base_core95ccdb7a_a1_r1/simulator.stdout	cd2d9a9190d160944980356c383c90c36a4adf3340bf4c16ff86422daf7e7323	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
ATAX	IO	/workspace/fast64-repaired-ramp3/fast64_atax_io_core95ccdb7a_a1_r1	/workspace/fast64-repaired-ramp3/fast64_atax_io_core95ccdb7a_a1_r1/simulator.stdout	14b18862709790d3a690520f7bca57b90005dcfb15e2e074ed565443fac7f68a	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
ATAX	OO	/workspace/fast64-repaired-ramp/fast64_atax_oo_core95ccdb7a_a1_r1	/workspace/fast64-repaired-ramp/fast64_atax_oo_core95ccdb7a_a1_r1/simulator.stdout	6e51684d10e70aaf234ea60bdb2a005cdae573d5c42a8b181e15bae006fe4208	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
BICG	BASE	/workspace/fast64-repaired-ramp2/fast64_bicg_base_core95ccdb7a_a1_r1	/workspace/fast64-repaired-ramp2/fast64_bicg_base_core95ccdb7a_a1_r1/simulator.stdout	cd4c5085f872c9c202941daf999efe5a987b402924d905b880f56051c40da39e	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
BICG	IO	/workspace/fast64-repaired-ramp2/fast64_bicg_io_core95ccdb7a_a1_r1	/workspace/fast64-repaired-ramp2/fast64_bicg_io_core95ccdb7a_a1_r1/simulator.stdout	0612ae463e2548a11ec7b3328f95d9463a83b406ca4de29f7b09dd400922bb48	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
BICG	OO	/workspace/fast64-repaired-ramp2/fast64_bicg_oo_core95ccdb7a_a1_r1	/workspace/fast64-repaired-ramp2/fast64_bicg_oo_core95ccdb7a_a1_r1/simulator.stdout	be99312c6ae207d0533c80a3912a6f93ccd7a2447d6d3837a6d689ce159b8a77	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
GESUMMV	BASE	/workspace/fast64-repaired-ramp2/fast64_gesummv_base_core95ccdb7a_a1_r1	/workspace/fast64-repaired-ramp2/fast64_gesummv_base_core95ccdb7a_a1_r1/simulator.stdout	a168fe4a40078b432cdaf3b819506d430bcb346b4091a6c661ad40f0ff571ac5	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
GESUMMV	IO	/workspace/fast64-repaired-ramp3/fast64_gesummv_io_core95ccdb7a_a1_r1	/workspace/fast64-repaired-ramp3/fast64_gesummv_io_core95ccdb7a_a1_r1/simulator.stdout	c40eb836cb8f1cd296af39bc9db8b0949c6e30df8059dc6cf076e41b1b8e09c7	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
GESUMMV	OO	/workspace/fast64-repaired-ramp/fast64_gesummv_oo_core95ccdb7a_a1_r1	/workspace/fast64-repaired-ramp/fast64_gesummv_oo_core95ccdb7a_a1_r1/simulator.stdout	5974a4c4fd9256a65784216adabfb4a1a1c5af169aac8c712968aeefb1798fc4	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
GEMM	BASE	/workspace/fast64-runs/fast64_3_precomputed_gemm_base_cap8192_a1_r2	/workspace/fast64-runs/fast64_3_precomputed_gemm_base_cap8192_a1_r2/simulator.stdout	272ad1b68025be2eddddaf5d06b736668eb32faa90e250841d27a714d4ca3a8e	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
