phase	decode_step	layer_id	before_allocated	before_reserved	peak_allocated	peak_reserved	post_release_allocated	post_release_reserved
PREFILL		0	9113088	624951296	1263350272	1346371584	9932288	1346371584
PREFILL		1	9408000	1346371584	1263776256	1346371584	10227200	1346371584
PREFILL		2	9670144	1346371584	1264038400	1346371584	10489344	1346371584
PREFILL		3	9932288	1346371584	1264300544	1346371584	10751488	1346371584
PREFILL		4	10194432	1346371584	1264562688	1346371584	11013632	1346371584
PREFILL		5	10456576	1346371584	1264824832	1346371584	11275776	1346371584
PREFILL		6	10718720	1346371584	1265086976	1346371584	11537920	1346371584
PREFILL		7	10980864	1346371584	1265349120	1348468736	11800064	1348468736
PREFILL		8	11243008	1348468736	1265611264	1348468736	12062208	1348468736
PREFILL		9	11505152	1348468736	1265873408	1348468736	12324352	1348468736
PREFILL		10	11767296	1348468736	1266135552	1348468736	12586496	1348468736
PREFILL		11	12029440	1348468736	1266397696	1348468736	12848640	1348468736
PREFILL		12	12291584	1348468736	1266659840	1348468736	13110784	1348468736
PREFILL		13	12553728	1348468736	1266921984	1348468736	13372928	1348468736
PREFILL		14	12815872	1348468736	1267184128	1350565888	13635072	1350565888
PREFILL		15	13078016	1350565888	1267446272	1350565888	13897216	1350565888
PREFILL		16	13340160	1350565888	1267708416	1350565888	14159360	1350565888
PREFILL		17	13602304	1350565888	1267970560	1350565888	14421504	1350565888
PREFILL		18	13864448	1350565888	1268232704	1350565888	14683648	1350565888
PREFILL		19	14126592	1350565888	1268494848	1350565888	14945792	1350565888
PREFILL		20	14388736	1350565888	1268756992	1352663040	15207936	1352663040
PREFILL		21	14650880	1352663040	1269019136	1352663040	15470080	1352663040
PREFILL		22	14913024	1352663040	1269281280	1352663040	15732224	1352663040
PREFILL		23	15175168	1352663040	1269543424	1352663040	15994368	1352663040
PREFILL		24	15437312	1352663040	1269805568	1352663040	16256512	1352663040
PREFILL		25	15699456	1352663040	1270067712	1352663040	16518656	1352663040
PREFILL		26	15961600	1352663040	1270329856	1352663040	16780800	1352663040
PREFILL		27	16223744	1352663040	1270592000	1352663040	17042944	1352663040
PREFILL		28	16485888	1352663040	1270854144	1352663040	17305088	1352663040
PREFILL		29	16748032	1352663040	1271116288	1354760192	17567232	1354760192
PREFILL		30	17010176	1354760192	1271378432	1354760192	17829376	1354760192
PREFILL		31	17272320	1354760192	1271640576	1354760192	18091520	1354760192
PREFILL		32	17534464	1354760192	1271902720	1354760192	18353664	1354760192
PREFILL		33	17796608	1354760192	1272164864	1354760192	18615808	1354760192
PREFILL		34	18058752	1354760192	1272427008	1354760192	18877952	1354760192
PREFILL		35	18320896	1354760192	1272689152	1356857344	19140096	1356857344
PREFILL		36	18583040	1356857344	1272951296	1356857344	19402240	1356857344
PREFILL		37	18845184	1356857344	1273213440	1356857344	19664384	1356857344
PREFILL		38	19107328	1356857344	1273475584	1356857344	19926528	1356857344
PREFILL		39	19369472	1356857344	1273737728	1356857344	20188672	1356857344
PREFILL		40	19631616	1356857344	1273999872	1356857344	20450816	1356857344
PREFILL		41	19893760	1356857344	1274262016	1356857344	20712960	1356857344
PREFILL		42	20155904	1356857344	1274524160	1356857344	20975104	1356857344
PREFILL		43	20418048	1356857344	1274786304	1358954496	21237248	1358954496
PREFILL		44	20680192	1358954496	1275048448	1358954496	21499392	1358954496
PREFILL		45	20942336	1358954496	1275310592	1358954496	21761536	1358954496
PREFILL		46	21204480	1358954496	1275572736	1358954496	22023680	1358954496
PREFILL		47	21466624	1358954496	1275834880	1358954496	22285824	1358954496
DECODE	0	0	21110784	1981808640	1272651776	1981808640	21117440	1981808640
DECODE	0	1	21113344	1981808640	1272654336	1981808640	21120000	1981808640
DECODE	0	2	21115392	1981808640	1272656384	1981808640	21122048	1981808640
DECODE	0	3	21117440	1981808640	1272658432	1981808640	21124096	1981808640
DECODE	0	4	21119488	1981808640	1272660480	1981808640	21126144	1981808640
DECODE	0	5	21121536	1981808640	1272662528	1981808640	21128192	1981808640
DECODE	0	6	21123584	1981808640	1272664576	1981808640	21130240	1981808640
DECODE	0	7	21125632	1981808640	1272666624	1981808640	21132288	1981808640
DECODE	0	8	21127680	1981808640	1272668672	1981808640	21134336	1981808640
DECODE	0	9	21129728	1981808640	1272670720	1981808640	21136384	1981808640
DECODE	0	10	21131776	1981808640	1272672768	1981808640	21138432	1981808640
DECODE	0	11	21133824	1981808640	1272674816	1981808640	21140480	1981808640
DECODE	0	12	21135872	1981808640	1272676864	1981808640	21142528	1981808640
DECODE	0	13	21137920	1981808640	1272678912	1981808640	21144576	1981808640
DECODE	0	14	21139968	1981808640	1272680960	1981808640	21146624	1981808640
DECODE	0	15	21142016	1981808640	1272683008	1981808640	21148672	1981808640
DECODE	0	16	21144064	1981808640	1272685056	1981808640	21150720	1981808640
DECODE	0	17	21146112	1981808640	1272687104	1981808640	21152768	1981808640
DECODE	0	18	21148160	1981808640	1272689152	1981808640	21154816	1981808640
DECODE	0	19	21150208	1981808640	1272691200	1981808640	21156864	1981808640
DECODE	0	20	21152256	1981808640	1272693248	1981808640	21158912	1981808640
DECODE	0	21	21154304	1981808640	1272695296	1981808640	21160960	1981808640
DECODE	0	22	21156352	1981808640	1272697344	1981808640	21163008	1981808640
DECODE	0	23	21158400	1981808640	1272699392	1981808640	21165056	1981808640
DECODE	0	24	21160448	1981808640	1272701440	1981808640	21167104	1981808640
DECODE	0	25	21162496	1981808640	1272703488	1981808640	21169152	1981808640
DECODE	0	26	21164544	1981808640	1272705536	1981808640	21171200	1981808640
DECODE	0	27	21166592	1981808640	1272707584	1981808640	21173248	1981808640
DECODE	0	28	21168640	1981808640	1272709632	1981808640	21175296	1981808640
DECODE	0	29	21170688	1981808640	1272711680	1981808640	21177344	1981808640
DECODE	0	30	21172736	1981808640	1272713728	1981808640	21179392	1981808640
DECODE	0	31	21174784	1981808640	1272715776	1981808640	21181440	1981808640
DECODE	0	32	21176832	1981808640	1272717824	1981808640	21183488	1981808640
DECODE	0	33	21178880	1981808640	1272719872	1981808640	21185536	1981808640
DECODE	0	34	21180928	1981808640	1272721920	1981808640	21187584	1981808640
DECODE	0	35	21182976	1981808640	1272723968	1981808640	21189632	1981808640
DECODE	0	36	21185024	1981808640	1272726016	1981808640	21191680	1981808640
DECODE	0	37	21187072	1981808640	1272728064	1981808640	21193728	1981808640
DECODE	0	38	21189120	1981808640	1272730112	1981808640	21195776	1981808640
DECODE	0	39	21191168	1981808640	1272732160	1981808640	21197824	1981808640
DECODE	0	40	21193216	1981808640	1272734208	1981808640	21199872	1981808640
DECODE	0	41	21195264	1981808640	1272736256	1981808640	21201920	1981808640
DECODE	0	42	21197312	1981808640	1272738304	1981808640	21203968	1981808640
DECODE	0	43	21199360	1981808640	1272740352	1981808640	21206016	1981808640
DECODE	0	44	21201408	1981808640	1272742400	1981808640	21208064	1981808640
DECODE	0	45	21203456	1981808640	1272744448	1981808640	21210112	1981808640
DECODE	0	46	21205504	1981808640	1272746496	1981808640	21212160	1981808640
DECODE	0	47	21207552	1981808640	1272748544	1981808640	21214208	1981808640
DECODE	1	0	21209088	1981808640	1272750080	1981808640	21215744	1981808640
DECODE	1	1	21211648	1981808640	1272752640	1981808640	21218304	1981808640
DECODE	1	2	21213696	1981808640	1272754688	1981808640	21220352	1981808640
DECODE	1	3	21215744	1981808640	1272756736	1981808640	21222400	1981808640
DECODE	1	4	21217792	1981808640	1272758784	1981808640	21224448	1981808640
DECODE	1	5	21219840	1981808640	1272760832	1981808640	21226496	1981808640
DECODE	1	6	21221888	1981808640	1272762880	1981808640	21228544	1981808640
DECODE	1	7	21223936	1981808640	1272764928	1981808640	21230592	1981808640
DECODE	1	8	21225984	1981808640	1272766976	1981808640	21232640	1981808640
DECODE	1	9	21228032	1981808640	1272769024	1981808640	21234688	1981808640
DECODE	1	10	21230080	1981808640	1272771072	1981808640	21236736	1981808640
DECODE	1	11	21232128	1981808640	1272773120	1981808640	21238784	1981808640
DECODE	1	12	21234176	1981808640	1272775168	1981808640	21240832	1981808640
DECODE	1	13	21236224	1981808640	1272777216	1981808640	21242880	1981808640
DECODE	1	14	21238272	1981808640	1272779264	1981808640	21244928	1981808640
DECODE	1	15	21240320	1981808640	1272781312	1981808640	21246976	1981808640
DECODE	1	16	21242368	1981808640	1272783360	1981808640	21249024	1981808640
DECODE	1	17	21244416	1981808640	1272785408	1981808640	21251072	1981808640
DECODE	1	18	21246464	1981808640	1272787456	1981808640	21253120	1981808640
DECODE	1	19	21248512	1981808640	1272789504	1981808640	21255168	1981808640
DECODE	1	20	21250560	1981808640	1272791552	1981808640	21257216	1981808640
DECODE	1	21	21252608	1981808640	1272793600	1981808640	21259264	1981808640
DECODE	1	22	21254656	1981808640	1272795648	1981808640	21261312	1981808640
DECODE	1	23	21256704	1981808640	1272797696	1981808640	21263360	1981808640
DECODE	1	24	21258752	1981808640	1272799744	1981808640	21265408	1981808640
DECODE	1	25	21260800	1981808640	1272801792	1981808640	21267456	1981808640
DECODE	1	26	21262848	1981808640	1272803840	1981808640	21269504	1981808640
DECODE	1	27	21264896	1981808640	1272805888	1981808640	21271552	1981808640
DECODE	1	28	21266944	1981808640	1272807936	1981808640	21273600	1981808640
DECODE	1	29	21268992	1981808640	1272809984	1981808640	21275648	1981808640
DECODE	1	30	21271040	1981808640	1272812032	1981808640	21277696	1981808640
DECODE	1	31	21273088	1981808640	1272814080	1981808640	21279744	1981808640
DECODE	1	32	21275136	1981808640	1272816128	1981808640	21281792	1981808640
DECODE	1	33	21277184	1981808640	1272818176	1981808640	21283840	1981808640
DECODE	1	34	21279232	1981808640	1272820224	1981808640	21285888	1981808640
DECODE	1	35	21281280	1981808640	1272822272	1981808640	21287936	1981808640
DECODE	1	36	21283328	1981808640	1272824320	1981808640	21289984	1981808640
DECODE	1	37	21285376	1981808640	1272826368	1981808640	21292032	1981808640
DECODE	1	38	21287424	1981808640	1272828416	1981808640	21294080	1981808640
DECODE	1	39	21289472	1981808640	1272830464	1981808640	21296128	1981808640
DECODE	1	40	21291520	1981808640	1272832512	1981808640	21298176	1981808640
DECODE	1	41	21293568	1981808640	1272834560	1981808640	21300224	1981808640
DECODE	1	42	21295616	1981808640	1272836608	1981808640	21302272	1981808640
DECODE	1	43	21297664	1981808640	1272838656	1981808640	21304320	1981808640
DECODE	1	44	21299712	1981808640	1272840704	1981808640	21306368	1981808640
DECODE	1	45	21301760	1981808640	1272842752	1981808640	21308416	1981808640
DECODE	1	46	21303808	1981808640	1272844800	1981808640	21310464	1981808640
DECODE	1	47	21305856	1981808640	1272846848	1981808640	21312512	1981808640
DECODE	2	0	21307392	1981808640	1272848384	1981808640	21314048	1981808640
DECODE	2	1	21309952	1981808640	1272850944	1981808640	21316608	1981808640
DECODE	2	2	21312000	1981808640	1272852992	1981808640	21318656	1981808640
DECODE	2	3	21314048	1981808640	1272855040	1981808640	21320704	1981808640
DECODE	2	4	21316096	1981808640	1272857088	1981808640	21322752	1981808640
DECODE	2	5	21318144	1981808640	1272859136	1981808640	21324800	1981808640
DECODE	2	6	21320192	1981808640	1272861184	1981808640	21326848	1981808640
DECODE	2	7	21322240	1981808640	1272863232	1981808640	21328896	1981808640
DECODE	2	8	21324288	1981808640	1272865280	1981808640	21330944	1981808640
DECODE	2	9	21326336	1981808640	1272867328	1981808640	21332992	1981808640
DECODE	2	10	21328384	1981808640	1272869376	1981808640	21335040	1981808640
DECODE	2	11	21330432	1981808640	1272871424	1981808640	21337088	1981808640
DECODE	2	12	21332480	1981808640	1272873472	1981808640	21339136	1981808640
DECODE	2	13	21334528	1981808640	1272875520	1981808640	21341184	1981808640
DECODE	2	14	21336576	1981808640	1272877568	1981808640	21343232	1981808640
DECODE	2	15	21338624	1981808640	1272879616	1981808640	21345280	1981808640
DECODE	2	16	21340672	1981808640	1272881664	1981808640	21347328	1981808640
DECODE	2	17	21342720	1981808640	1272883712	1981808640	21349376	1981808640
DECODE	2	18	21344768	1981808640	1272885760	1981808640	21351424	1981808640
DECODE	2	19	21346816	1981808640	1272887808	1981808640	21353472	1981808640
DECODE	2	20	21348864	1981808640	1272889856	1981808640	21355520	1981808640
DECODE	2	21	21350912	1981808640	1272891904	1981808640	21357568	1981808640
