phase	decode_step	layer_id	input_shape	input_dtype	output_sha256	materialized_tensor_count	weight_bytes	kv_key_sha256	kv_value_sha256	peak_allocated	peak_reserved	post_release_allocated	post_release_reserved
PREFILL		0	[1, 128, 2048]	torch.bfloat16	1a9aa9c3e340863bae9f16737afd8cc80e8e0478b68bc87bdae0c7b9fd8966e0	393	1246241280	bec47cc59a4bf3ca79e49765ef123e981d7cb19f5156d20f4a004cfb46049fa3	2b20ee6f2eedbfc6939c185748989de89ae78b36c1b751bc47a48bf2647c87fd	1263350272	1346371584	9932288	1346371584
PREFILL		1	[1, 128, 2048]	torch.bfloat16	dee61cd4775e3b6b7f3e331de0ade61d593b8c35f13ad3935e49daba3a4804b8	393	1246241280	4285455be7d98e28ba5173ea5e9d9dc92c37cdd05df8a5f8a57022375c1fff11	4998d54e9e4b0f358ffb8be7c79b3ebde4b0e2c632ffc7fe125c0680ef9e67d6	1263776256	1346371584	10227200	1346371584
PREFILL		2	[1, 128, 2048]	torch.bfloat16	8530639372344072461b2c2df18a59fe25c6975f5293caa0c36e8000116e8207	393	1246241280	007a7656aa567cfa323d7ad226c56ac2a62cb7c438a89c24b18fa21b877418bc	ded7f38105a50bcc8a47faef53a88d87249cf9f1b5ddefd06d27b1ac775d10b9	1264038400	1346371584	10489344	1346371584
PREFILL		3	[1, 128, 2048]	torch.bfloat16	e9fb6d61c8fefcd1143ec86518ba8dd77af5195bfd54c7859a4d6aeb316b86fd	393	1246241280	16d9761b0afcacfdb3a178adca300f3987d747558c25285111b3f185db5bb4e4	1c7dbf5f6e081aaa3b8bcfed77456697827cfda26f4313bb0afbd0654d91fde4	1264300544	1346371584	10751488	1346371584
PREFILL		4	[1, 128, 2048]	torch.bfloat16	89662fb6ae9303518e038c72c08ab087c5c800734239a1f4c4766e1d367faa87	393	1246241280	a66ec1cbc88a5005de3629082b66f1abcc01ff0b697959b571b23bb923a3b76f	b551e9303736ef9487ab57c11f812a97744660afa379ae921dffc6ec0712709e	1264562688	1346371584	11013632	1346371584
PREFILL		5	[1, 128, 2048]	torch.bfloat16	0848bceb16c6fc7541a2d0af73c3c206d93d39b5f9607a629fd97c53d082c42c	393	1246241280	0e4c6a58a657e39d7293fe27484e53a698fe09b35cff4b89f11e489ad34e481b	207674074363a976e2dd2a90864fe913ce19bee52988e65d26160fc5fa877881	1264824832	1346371584	11275776	1346371584
PREFILL		6	[1, 128, 2048]	torch.bfloat16	0eb1ba15c2540cc63ad7b97ddf383e5c187658cc8366f09665996b7191798560	393	1246241280	85a6994c70ef261b56be480619914945c6db273d11fd679f177661b2a95888ef	24889dbdbd9bae1f6ca61b109e8b14f316b56e3ff44354841224ebabd58b05f8	1265086976	1346371584	11537920	1346371584
PREFILL		7	[1, 128, 2048]	torch.bfloat16	7c2daed22d58dfa4e057eba294d7901e9c40bcf41cf96d39c20bd01c2eefac8c	393	1246241280	54481596f44eee6bf70e823f81ed3902072000a50f15dec7cc4999386115143b	c1af0191df431a757e9552a3552923587b4da0d8e71a4b918b3a2bff0c850d8d	1265349120	1348468736	11800064	1348468736
PREFILL		8	[1, 128, 2048]	torch.bfloat16	f8a445deaec6e8ffdb2287353e3d8c363f884c86657938864ee1a9cdde170da2	393	1246241280	7b1d7ae548e73d7437a8d25582fc2bcc4eb79028ae4e02251d64eda0bfc61279	c9d4cf5aba0e9bd4e77343db77547109933ea219d28b8cd5df51993dc64d4f43	1265611264	1348468736	12062208	1348468736
PREFILL		9	[1, 128, 2048]	torch.bfloat16	ddd61c812b7f860690a75158dc550bc2e48002aa4cecb3be45ab12715b953e1c	393	1246241280	05490de8816d9d124442569b348b90e424dedcba25c449c3737a916fce85400a	9d2e0cae83fca3f063f7bfdf2cf309996f18916e2e601984458c3cef65ccea7f	1265873408	1348468736	12324352	1348468736
