phase	decode_step	layer_id	router_logits_sha256	selected_experts_sha256	expert_token_counts_sha256
PREFILL		0	3303ec7d0cabeef518aeaa23e43f05f938fa7a61048fb8656a5729782ca243a8	9578b27c25bc8636baef36f0b06b7b09e1968c40a327e4095e00b7e3ee2f2f5c	cc3b9cba303fb8c4d4a9a4cf4640bd81253cedb9dab22d516cd141dc590d9bf2
PREFILL		1	9cba48e05a73a9e9bcc6e079820267928352e69720264f7e675bd76999887ff2	72e21c831f5270c78565397b368d1e966ae79ef047e4d72894a5ade9b93e2ff7	357b75dd03111184588aa56c2515185c899effda5505c6ca03f1cdb0595c477e
PREFILL		2	d84e08cc72ebb8e281e777ec40d8e3c0969b135a348411defed82964d9d10cca	01d6d8b8e0725a0accdd394eb1af2e1d9c273ca8798b33f12e45ecee49a908f3	f7e60279e4717482faf83ea1196ebd9fba9138ce80a3f8509dd15e5c51c624e0
PREFILL		3	ff7bcf298c22c81692928f3697faa935ba4b6554b24b87b50ba3c8bb452db743	b71b44c157f4b4962e58813b152d43fda322c112f0de396628ac9ee6a02027cc	56454c11f7a181d9119d9ce5a6fdbcc84b6fdeaf73cc8f9b2ad1066175025df9
PREFILL		4	4f2b01a358d5fd3738f7041d2c36045c7971e2db97acf40cfbd39b19825bd908	51a95f0f884f3a6c9affc09864dcde76a8e55b893888aa247743c3be41383164	5008899e61e66dbbe12d32c57b75c709082c715e18f90ad364a2ec3d4fa3386f
PREFILL		5	2df9406f5c0ec1315e51a1f68e19d04dbb29ada7b6960c7ee8956d7f9ec35a54	7b3c647dbc5cfbf52d2a7dcf22068e7765413df2f42ae276d6fbdeaa295c8915	5f496fc95c8781c69bc4468588278e1c7e8a229be35eb87b570930b886b9d5db
PREFILL		6	9bc77243610fa78d705686aa9b2c5c437186d91486199f88305f68d6b37c1624	82792889953ff2149703c623d75a531a7c4c568368b4a16f29bdd68f05386346	e6c9aaf4903dbb325863a78d74c9b8fcab716d9a3be7e6355cb5f3bbe66a815c
PREFILL		7	8ea98a22c45a1423b5a726c7eada069354fcabbdfa983e4f77c2a2eefe868d0f	cb4a0771108cc92838e0ef6a71905310c1818593b4387b9b3803690020a71e1c	fd0774cd4b4455f64b59fb740df594fbb30bd23a9708934f489590ade9482d31
PREFILL		8	122dfdb2c6a49ef68ad8783ac8428cf80785f32d7565f7064f98033593151596	2ea79b75ec1970b74402692d6af11045bb9346831c5365e217727ceb71f9cb44	438c33f4b2ab9e71a7fe650eedcd9eee94d96f1b6538b283c9d596f11dca68bf
PREFILL		9	d598e4c0d9ebca41f7f2940b83461de93cc6993ad1b6531edec8472e9973798d	2c69822ca9744e101ded66fca9997d7479da88fe8cc2c32afeb7d0bf0be74cbf	216d75af6623ac154f3cda57f982ed716a0d6e95185a33dc337f02b8a67d8845
PREFILL		10	a98cd243474490d5d46c2e73a6d2ca76f3ee319c452bb1d354257222260fe07f	eeb17d0d3bf4c2eb7148565618ba0138493670726cc6c979a1003c20aabebda1	fc62e94cb939c288439314abef6748181b24d8766cf71868e137071b974291f8
PREFILL		11	4f296f6dc69082cacbe5bd88c52c63d88c5235de9e04536dfaa41464465c14e7	10f2535bc1073e5114193d8e63773ed84709d65c7b3865a275c1db0af8ae6ee6	e59075b617b6dec1172b014a88598376d445ef76116bbfb732259138ba9ae818
PREFILL		12	612934e2a68b382602fc685462b298e04b510c5d3eb160bc929bb51b601e67a8	bb4ad5df38dfc2169d1ba321ab9673caed703b60120bd6578255a1d4897b0c43	f0582d8f6d178a3b0b620dc5f7efa911fae0751abc35757046386732b7fa2cce
PREFILL		13	da1c50f3d9e502aeacacfeb99d02c25f85df78ba659909f2fa707c9467e256bd	c09bdd921f36a785c81a9480040e172539df05d95dc4843420ca0a8c6ede2279	d99753f6221d4e81a670294c3ef5badf35e4975b0f73c751aded3da14a06a403
PREFILL		14	44e32289d36fecae358e7c20a2790993eb11b41d4e2858eccbe5e9688771fb6a	6f938d1d01e164b176833ac206886f9aae99d55e606c0fdad459f80279b76055	939961e508d6ad4f1f302b4631916993033e67b3dee5e21c3bf750219e47cbb0
PREFILL		15	821ee632ee780ddeef5756217e89a3b7b004da718c8457518cd321aa1337d7c8	4b900e759a7bbc867cd4ed5bb21a1277dd7792820deb797ab8d374da788f5217	dbbe39b11355089992660a6e445df0a8a5e1ca33fc48d30853e80ab8dcd06597
PREFILL		16	809dd4e146e7ff08851aa5b56118c87e3c2d8c6d7d3d3b9debabbd75d2fa0af9	e3aa073290869159f73ff5d8493f8e36377a7a600dad383232f674ae858c9302	9d73934934b3f7a0721eb00173c83553ff68ac36b238ccb0731599140f78c3f8
PREFILL		17	e5d7f0037c54c353a27f3c778a4011d3a65c6f222d215ee4a65436fb3a6b0681	8287e40f954232186606b27942afa2b12741da2c428d47ca4114ade3eccf2137	6539fc6e2804ab67296cbc78de880485d13a736604e6394a3ac1ef628e241abf
PREFILL		18	64de143179a3c804afeabc349ce1980ab368cd3677aa48b05a6d9d5953f40431	4d48f0a99470c12a0e23497d233ba6e75fde7594e3aaf6f2e7073a6f5cd32ab3	ca71e82685e5552e6580cfbeb141abbc3fa657b4260694fa2d498a09b42d0abb
PREFILL		19	5d84b618e14712c9a35b3fc142506ec048960a71d57c0c22b8175e28c0cbe4ca	ff83f6111b08dad4fc71540a88deeec762ff027e43ed37dad67593bcf3bb4883	2dfcfc1a2dc92a9c76a1caa11fc08eb28f5c900d01975d3d1144bccb054e62e1
PREFILL		20	503c38dd2e0f030abec98c8e83251b9625d18c82f87a8d230d311da7ed887a6f	705f152ff2c93c0e5f420addccbd00b311efc0325ffaa79ae1789ca4923af1b1	65c0ffd56e1c0d5cd90fea72a282d505da597ae89057a2cef0f807d7b3474163
PREFILL		21	a1551f6edcf5c2c8c418ea2b1e07c664a951046008bb61087878d8325438a7df	181cb94e37148fbc1181f7f74b2184a6efae4070a53e794b56a885f33bb09da1	80a5eb70c0259a83fdb3697576637d22fec0b777565f321ca55f9a094bc6bd14
PREFILL		22	38581ea288ee0facbe0cc58a7bbc79389981a55bdd4f7bd026610706a13b5a7b	550689fb4026fd093313e6d0949bea1ac2cbdcf57eb698c5a2f9e081659baa0b	5acc81e55dee56494fd3958a5190f24ff963bd594a20472d70b785d9101456f6
PREFILL		23	4dc7ea56550ed628aa3f64aa183665bac91e1bd26b9ac48540a61b407e89317c	f25660a56761ce643df3dd872c8ded68bc7f863c7d7965a483655712e75d5c58	02353353b5dee8f04ae7c18d9375276b8aa8643773bdc0acc5582d1542e4f151
PREFILL		24	b3dc24b5e9bfe3f29d32cb23738e2c7de7f04b2ff8b2d93cc11323e8b2a6e7db	0cb65681e0bf2a0485cbcc70f7d3de29dfc91f1ca0a94dd530a64e0ab50898b2	f7c11eb2bfffbaca2de9769cc3ab6469315d49f56862867faaad745d09563c9f
PREFILL		25	8cf553a90fa6e33af83795017b99c5c350cfb9dec6a585c2ab3fc45320ee2571	fabe8270aef4c4175888da0c2ff681b35ffefcd3ec3969bf86aa13a3ba125fd9	31c09bd073e8e8cd7c2095ed248299667fbda2550c3f0e66147f583d738fe3bf
