workload	sensitivity_dimension	row_kind	requested_point	mode	modeled_capacity_or_entries	same_mode_reference	same_mode_reference_cycles	cycles	cycles_over_same_mode_reference	speedup_vs_same_mode_reference	normalization_formula	accepted_status	boundary_disposition	evidence_class	accepted_source
BICG	pib_entries	NUMERIC_ACCEPTED_POINT	32	IO	32_entries	IO@128	93942704	93942704	1	1	cycles(point, mode) / cycles(reference point, same mode)	CANDIDATE_PENDING_STAGE6_HANDOFF	NUMERIC	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/fast64_6_pib_plot.tsv
BICG	pib_entries	NUMERIC_ACCEPTED_POINT	64	IO	64_entries	IO@128	93942704	93942704	1	1	cycles(point, mode) / cycles(reference point, same mode)	CANDIDATE_PENDING_STAGE6_HANDOFF	NUMERIC	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/fast64_6_pib_plot.tsv
BICG	pib_entries	NUMERIC_ACCEPTED_POINT	128	IO	128_entries	IO@128	93942704	93942704	1	1	cycles(point, mode) / cycles(reference point, same mode)	CANDIDATE_PENDING_STAGE6_HANDOFF	NUMERIC	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/fast64_6_pib_plot.tsv
BICG	pib_entries	NUMERIC_ACCEPTED_POINT	192	IO	192_entries	IO@128	93942704	93942704	1	1	cycles(point, mode) / cycles(reference point, same mode)	CANDIDATE_PENDING_STAGE6_HANDOFF	NUMERIC	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/fast64_6_pib_plot.tsv
BICG	pib_entries	NUMERIC_ACCEPTED_POINT	256	IO	256_entries	IO@128	93942704	93942704	1	1	cycles(point, mode) / cycles(reference point, same mode)	CANDIDATE_PENDING_STAGE6_HANDOFF	NUMERIC	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/fast64_6_pib_plot.tsv
BICG	pib_entries	NUMERIC_ACCEPTED_POINT	32	OO	32_entries	OO@128	47231655	47231655	1	1	cycles(point, mode) / cycles(reference point, same mode)	CANDIDATE_PENDING_STAGE6_HANDOFF	NUMERIC	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/fast64_6_pib_plot.tsv
BICG	pib_entries	NUMERIC_ACCEPTED_POINT	64	OO	64_entries	OO@128	47231655	47231655	1	1	cycles(point, mode) / cycles(reference point, same mode)	CANDIDATE_PENDING_STAGE6_HANDOFF	NUMERIC	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/fast64_6_pib_plot.tsv
BICG	pib_entries	NUMERIC_ACCEPTED_POINT	128	OO	128_entries	OO@128	47231655	47231655	1	1	cycles(point, mode) / cycles(reference point, same mode)	CANDIDATE_PENDING_STAGE6_HANDOFF	NUMERIC	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/fast64_6_pib_plot.tsv
BICG	pib_entries	NUMERIC_ACCEPTED_POINT	192	OO	192_entries	OO@128	47231655	47231655	1	1	cycles(point, mode) / cycles(reference point, same mode)	CANDIDATE_PENDING_STAGE6_HANDOFF	NUMERIC	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/fast64_6_pib_plot.tsv
BICG	pib_entries	NUMERIC_ACCEPTED_POINT	256	OO	256_entries	OO@128	47231655	47231655	1	1	cycles(point, mode) / cycles(reference point, same mode)	CANDIDATE_PENDING_STAGE6_HANDOFF	NUMERIC	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/fast64_6_pib_plot.tsv
Btree	pib_entries	NUMERIC_ACCEPTED_POINT	32	IO	32_entries	IO@128	244231	270128	1.106034860	0.904130634	cycles(point, mode) / cycles(reference point, same mode)	CANDIDATE_PENDING_STAGE6_HANDOFF	NUMERIC	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/fast64_6_pib_plot.tsv
Btree	pib_entries	NUMERIC_ACCEPTED_POINT	64	IO	64_entries	IO@128	244231	246538	1.009445975	0.990642416	cycles(point, mode) / cycles(reference point, same mode)	CANDIDATE_PENDING_STAGE6_HANDOFF	NUMERIC	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/fast64_6_pib_plot.tsv
Btree	pib_entries	NUMERIC_ACCEPTED_POINT	128	IO	128_entries	IO@128	244231	244231	1	1	cycles(point, mode) / cycles(reference point, same mode)	CANDIDATE_PENDING_STAGE6_HANDOFF	NUMERIC	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/fast64_6_pib_plot.tsv
Btree	pib_entries	NUMERIC_ACCEPTED_POINT	192	IO	192_entries	IO@128	244231	244231	1	1	cycles(point, mode) / cycles(reference point, same mode)	CANDIDATE_PENDING_STAGE6_HANDOFF	NUMERIC	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/fast64_6_pib_plot.tsv
Btree	pib_entries	NUMERIC_ACCEPTED_POINT	256	IO	256_entries	IO@128	244231	244231	1	1	cycles(point, mode) / cycles(reference point, same mode)	CANDIDATE_PENDING_STAGE6_HANDOFF	NUMERIC	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/fast64_6_pib_plot.tsv
Btree	pib_entries	NUMERIC_ACCEPTED_POINT	32	OO	32_entries	OO@128	172795	173346	1.003188750	0.996821386	cycles(point, mode) / cycles(reference point, same mode)	CANDIDATE_PENDING_STAGE6_HANDOFF	NUMERIC	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/fast64_6_pib_plot.tsv
Btree	pib_entries	NUMERIC_ACCEPTED_POINT	64	OO	64_entries	OO@128	172795	172377	0.997580949	1.002424917	cycles(point, mode) / cycles(reference point, same mode)	CANDIDATE_PENDING_STAGE6_HANDOFF	NUMERIC	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/fast64_6_pib_plot.tsv
Btree	pib_entries	NUMERIC_ACCEPTED_POINT	128	OO	128_entries	OO@128	172795	172795	1	1	cycles(point, mode) / cycles(reference point, same mode)	CANDIDATE_PENDING_STAGE6_HANDOFF	NUMERIC	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/fast64_6_pib_plot.tsv
Btree	pib_entries	NUMERIC_ACCEPTED_POINT	192	OO	192_entries	OO@128	172795	172795	1	1	cycles(point, mode) / cycles(reference point, same mode)	CANDIDATE_PENDING_STAGE6_HANDOFF	NUMERIC	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/fast64_6_pib_plot.tsv
Btree	pib_entries	NUMERIC_ACCEPTED_POINT	256	OO	256_entries	OO@128	172795	172795	1	1	cycles(point, mode) / cycles(reference point, same mode)	CANDIDATE_PENDING_STAGE6_HANDOFF	NUMERIC	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/fast64_6_pib_plot.tsv
GESUMMV	pib_entries	NUMERIC_ACCEPTED_POINT	32	IO	32_entries	IO@128	210667785	210667785	1	1	cycles(point, mode) / cycles(reference point, same mode)	CANDIDATE_PENDING_STAGE6_HANDOFF	NUMERIC	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/fast64_6_pib_plot.tsv
GESUMMV	pib_entries	NUMERIC_ACCEPTED_POINT	64	IO	64_entries	IO@128	210667785	210667785	1	1	cycles(point, mode) / cycles(reference point, same mode)	CANDIDATE_PENDING_STAGE6_HANDOFF	NUMERIC	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/fast64_6_pib_plot.tsv
GESUMMV	pib_entries	NUMERIC_ACCEPTED_POINT	128	IO	128_entries	IO@128	210667785	210667785	1	1	cycles(point, mode) / cycles(reference point, same mode)	CANDIDATE_PENDING_STAGE6_HANDOFF	NUMERIC	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/fast64_6_pib_plot.tsv
GESUMMV	pib_entries	NUMERIC_ACCEPTED_POINT	192	IO	192_entries	IO@128	210667785	210667785	1	1	cycles(point, mode) / cycles(reference point, same mode)	CANDIDATE_PENDING_STAGE6_HANDOFF	NUMERIC	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/fast64_6_pib_plot.tsv
GESUMMV	pib_entries	NUMERIC_ACCEPTED_POINT	256	IO	256_entries	IO@128	210667785	210667785	1	1	cycles(point, mode) / cycles(reference point, same mode)	CANDIDATE_PENDING_STAGE6_HANDOFF	NUMERIC	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/fast64_6_pib_plot.tsv
GESUMMV	pib_entries	NUMERIC_ACCEPTED_POINT	32	OO	32_entries	OO@128	143059605	143059605	1	1	cycles(point, mode) / cycles(reference point, same mode)	CANDIDATE_PENDING_STAGE6_HANDOFF	NUMERIC	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/fast64_6_pib_plot.tsv
GESUMMV	pib_entries	NUMERIC_ACCEPTED_POINT	64	OO	64_entries	OO@128	143059605	143059605	1	1	cycles(point, mode) / cycles(reference point, same mode)	CANDIDATE_PENDING_STAGE6_HANDOFF	NUMERIC	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/fast64_6_pib_plot.tsv
GESUMMV	pib_entries	NUMERIC_ACCEPTED_POINT	128	OO	128_entries	OO@128	143059605	143059605	1	1	cycles(point, mode) / cycles(reference point, same mode)	CANDIDATE_PENDING_STAGE6_HANDOFF	NUMERIC	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/fast64_6_pib_plot.tsv
GESUMMV	pib_entries	NUMERIC_ACCEPTED_POINT	192	OO	192_entries	OO@128	143059605	143059605	1	1	cycles(point, mode) / cycles(reference point, same mode)	CANDIDATE_PENDING_STAGE6_HANDOFF	NUMERIC	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/fast64_6_pib_plot.tsv
GESUMMV	pib_entries	NUMERIC_ACCEPTED_POINT	256	OO	256_entries	OO@128	143059605	143059605	1	1	cycles(point, mode) / cycles(reference point, same mode)	CANDIDATE_PENDING_STAGE6_HANDOFF	NUMERIC	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/fast64_6_pib_plot.tsv
