workload	mode	lower_created	duplicate_after_eviction	duplicate_share_of_lower	duplicate_traffic_inflation	duplicate_payload_bytes	payload_scope	evidence_source	evidence_class	ratio_formula
ATAX	IO	17821540	356940	0.020028572166	0.020437914410	45688320	SOURCE_PROVEN_128B_LOWER_REQUEST_PAYLOAD_ONLY_NOT_DRAM_OR_TOTAL_LINK_TRAFFIC	Lane_C_accepted_IO	ACCEPTED_FAST64_EVIDENCE	D/L; payload inflation D/(L-D)
ATAX	OO	17814804	191265	0.010736295499	0.010852814523	24481920	SOURCE_PROVEN_128B_LOWER_REQUEST_PAYLOAD_ONLY_NOT_DRAM_OR_TOTAL_LINK_TRAFFIC	Lane_D_qualified_observer	NEW_DIAGNOSTIC_TELEMETRY	D/L; payload inflation D/(L-D)
BICG	IO	17821394	279251	0.015669425186	0.015918864645	35744128	SOURCE_PROVEN_128B_LOWER_REQUEST_PAYLOAD_ONLY_NOT_DRAM_OR_TOTAL_LINK_TRAFFIC	Lane_C_accepted_IO	ACCEPTED_FAST64_EVIDENCE	D/L; payload inflation D/(L-D)
BICG	OO	17814913	125043	0.007019007053	0.007068621759	16005504	SOURCE_PROVEN_128B_LOWER_REQUEST_PAYLOAD_ONLY_NOT_DRAM_OR_TOTAL_LINK_TRAFFIC	Lane_D_qualified_observer	NEW_DIAGNOSTIC_TELEMETRY	D/L; payload inflation D/(L-D)
GESUMMV	IO	34595564	605076	0.017489988023	0.017801333126	77449728	SOURCE_PROVEN_128B_LOWER_REQUEST_PAYLOAD_ONLY_NOT_DRAM_OR_TOTAL_LINK_TRAFFIC	Lane_C_accepted_IO	ACCEPTED_FAST64_EVIDENCE	D/L; payload inflation D/(L-D)
GESUMMV	OO	34598098	140107	0.004049557869	0.004066023466	17933696	SOURCE_PROVEN_128B_LOWER_REQUEST_PAYLOAD_ONLY_NOT_DRAM_OR_TOTAL_LINK_TRAFFIC	Lane_D_qualified_observer	NEW_DIAGNOSTIC_TELEMETRY	D/L; payload inflation D/(L-D)
GEMM	IO	4256815	440128	0.103393734517	0.115316765561	56336384	SOURCE_PROVEN_128B_LOWER_REQUEST_PAYLOAD_ONLY_NOT_DRAM_OR_TOTAL_LINK_TRAFFIC	Lane_C_accepted_IO	ACCEPTED_FAST64_EVIDENCE	D/L; payload inflation D/(L-D)
GEMM	OO	4113199	150351	0.036553300728	0.037940138002	19244928	SOURCE_PROVEN_128B_LOWER_REQUEST_PAYLOAD_ONLY_NOT_DRAM_OR_TOTAL_LINK_TRAFFIC	Lane_D_qualified_observer	NEW_DIAGNOSTIC_TELEMETRY	D/L; payload inflation D/(L-D)
2DConvolution	IO	3375831	1425269	0.422197971403	0.730696588983	182434432	SOURCE_PROVEN_128B_LOWER_REQUEST_PAYLOAD_ONLY_NOT_DRAM_OR_TOTAL_LINK_TRAFFIC	Lane_C_accepted_IO	ACCEPTED_FAST64_EVIDENCE	D/L; payload inflation D/(L-D)
2DConvolution	OO	3305954	1360972	0.411672999685	0.699735010401	174204416	SOURCE_PROVEN_128B_LOWER_REQUEST_PAYLOAD_ONLY_NOT_DRAM_OR_TOTAL_LINK_TRAFFIC	Lane_D_qualified_observer	NEW_DIAGNOSTIC_TELEMETRY	D/L; payload inflation D/(L-D)
