workload	mode	physical_pool_kib	cycles	instructions	observer_sample_sm_cycles	physical_full_sample_fraction	average_physical_allocated_lines_per_sample	average_physical_occupancy_fraction_of_capacity	average_inflight_requests_per_sample	alloc_to_ready_average_cycles	alloc_to_ready_max_cycles	l2_misses_per_lower	l2_reservation_fails_per_lower	no_free_physical_events_per_instruction	no_free_events_per_active_sm_cycle
BICG	IO	24	42351523	145666048	594749043	0.92725425369	186.942647412	0.973659621936	59.8517251872	2018.09235124	20149	1.42889518035	8.09208055346	3.78060950758	0.925947595009
BICG	OO	24	37846112	145666048	566449397	0.923531578938	186.373046461	0.970692950319	72.5511374408	2330.77577426	20346	1.2491980448	9.93808971025	NA_NOT_REPORTED_IN_WHOLE_LINE_OO_COMPACT	NA_NOT_REPORTED_IN_WHOLE_LINE_OO_COMPACT
BICG	IO	32	45668204	145666048	623252067	0.930393990976	248.458443842	0.970540796257	79.7743800824	2801.7984534	31923	1.61178721016	11.6273981985	3.97659410654	0.92940686228
BICG	OO	32	42895109	145666048	601140748	0.927230542688	247.831667234	0.968092450132	98.7286268473	3340.90909857	34491	1.44396387484	11.9179718946	NA_NOT_REPORTED_IN_WHOLE_LINE_OO_COMPACT	NA_NOT_REPORTED_IN_WHOLE_LINE_OO_COMPACT
BICG	IO	48	77916699	145666048	1131526165	0.595078904782	355.064216522	0.924646397193	148.046768094	9400.0865529	27448	2.8218709883	28.7716130614	4.61714922753	0.594384736123
BICG	OO	48	47093407	145666048	741125484	0.00896655983833	303.771787818	0.791072364109	133.969366065	5574.26122286	27446	1.64258364668	14.7212783123	NA_NOT_REPORTED_IN_WHOLE_LINE_OO_COMPACT	NA_NOT_REPORTED_IN_WHOLE_LINE_OO_COMPACT
Btree	IO	24	244231	444467849	14842238	0	135.955412317	0.708101105819	8.94295408819	262.400044114	2342	0.5743640442	0.0101599317813	0	0
Btree	OO	24	172795	444467849	10268739	0	124.863039464	0.65032833054	14.6567464613	300.544838292	2392	0.580463727734	0.0144491989253	NA_NOT_REPORTED_IN_WHOLE_LINE_OO_COMPACT	NA_NOT_REPORTED_IN_WHOLE_LINE_OO_COMPACT
Btree	IO	32	244231	444467849	14842238	0	135.955412317	0.531075829364	8.94295408819	262.400044114	2342	0.5743640442	0.0101599317813	0	0
Btree	OO	32	172795	444467849	10268739	0	124.863039464	0.487746247905	14.6567464613	300.544838292	2392	0.580463727734	0.0144491989253	NA_NOT_REPORTED_IN_WHOLE_LINE_OO_COMPACT	NA_NOT_REPORTED_IN_WHOLE_LINE_OO_COMPACT
Btree	IO	48	244231	444467849	14842238	0	135.955412317	0.354050552909	8.94295408819	262.400044114	2342	0.5743640442	0.0101599317813	0	0
Btree	OO	48	172795	444467849	10268739	0	124.863039464	0.32516416527	14.6567464613	300.544838292	2392	0.580463727734	0.0144491989253	NA_NOT_REPORTED_IN_WHOLE_LINE_OO_COMPACT	NA_NOT_REPORTED_IN_WHOLE_LINE_OO_COMPACT
GESUMMV	IO	24	78710188	190918656	1082293366	0.967384588034	191.435661235	0.997060735597	35.4791954892	1123.10005618	19751	1.48288796518	3.72265507598	5.47487196327	0.965778068901
GESUMMV	OO	24	64941439	190918656	940631518	0.962272859966	191.424164485	0.99700085669	38.4870700069	1058.15764557	19817	1.1038304532	3.59558749345	NA_NOT_REPORTED_IN_WHOLE_LINE_OO_COMPACT	NA_NOT_REPORTED_IN_WHOLE_LINE_OO_COMPACT
GESUMMV	IO	32	105662735	190918656	1386090089	0.973195786988	255.487551703	0.997998248839	56.2902640934	2276.05598509	44809	1.93836993725	8.74683799276	7.05881878825	0.972274606604
GESUMMV	OO	32	78961728	190918656	1134702808	0.966046251293	255.392385194	0.997626504666	58.4085307437	1929.270858	93952	1.38776750932	6.73108913953	NA_NOT_REPORTED_IN_WHOLE_LINE_OO_COMPACT	NA_NOT_REPORTED_IN_WHOLE_LINE_OO_COMPACT
GESUMMV	IO	48	148257172	190918656	2139381100	0.599627779268	363.716390966	0.947178101474	87.8008527405	5430.77899453	69672	2.64566608704	16.7466022669	6.67719214931	0.59587352202
GESUMMV	OO	48	143759327	190918656	2223907645	0.00796831336042	325.805557392	0.848451972376	79.2581599183	5094.9012297	27702	2.59755941715	16.4335901301	NA_NOT_REPORTED_IN_WHOLE_LINE_OO_COMPACT	NA_NOT_REPORTED_IN_WHOLE_LINE_OO_COMPACT
