workload	aggregate	instructions	base_cycles	io_cycles	oo_cycles	speedup_IO_base_over_IO	speedup_OO_base_over_OO	Base_normalized_cycles	IO_normalized_cycles	OO_normalized_cycles	formula	evidence_class
ATAX	NO	145666048	87750512	88363340	48078114	0.993064680443	1.825165438062	1.000000000000	1.006983754123	0.547895538205	speedup_mode = Base_cycles / mode_cycles	ACCEPTED_FAST64_EVIDENCE
BICG	NO	145666048	88495620	93942704	47231655	0.942016955356	1.873650626894	1.000000000000	1.061552018055	0.533717431439	speedup_mode = Base_cycles / mode_cycles	ACCEPTED_FAST64_EVIDENCE
GESUMMV	NO	190918656	194986098	210667785	143059605	0.925562007499	1.362971035744	1.000000000000	1.080424641351	0.733691306546	speedup_mode = Base_cycles / mode_cycles	ACCEPTED_FAST64_EVIDENCE
GEMM	NO	739246080	2662394	1488845	1396643	1.788227787312	1.906280989487	1.000000000000	0.559212873827	0.524581635926	speedup_mode = Base_cycles / mode_cycles	ACCEPTED_FAST64_EVIDENCE
2DConvolution	NO	620347492	2247155	627281	593208	3.582373768694	3.788140079028	1.000000000000	0.279144518291	0.263981790308	speedup_mode = Base_cycles / mode_cycles	ACCEPTED_FAST64_EVIDENCE
Btree	NO	444467849	369977	244231	172795	1.514865025324	2.141132555919	1.000000000000	0.660124818570	0.467042545888	speedup_mode = Base_cycles / mode_cycles	ACCEPTED_FAST64_EVIDENCE
DWT2D	NO	148684429	344119	241380	234651	1.425631783909	1.466514099663	1.000000000000	0.701443396035	0.681889113940	speedup_mode = Base_cycles / mode_cycles	ACCEPTED_FAST64_EVIDENCE
Gaussian	NO	283685120	4229815	3817538	3820325	1.107995519625	1.107187215747	1.000000000000	0.902530725339	0.903189619404	speedup_mode = Base_cycles / mode_cycles	ACCEPTED_FAST64_EVIDENCE
Hotspot1	NO	377291004	160486	85633	84173	1.874113951397	1.906620887933	1.000000000000	0.533585484092	0.524488117344	speedup_mode = Base_cycles / mode_cycles	ACCEPTED_FAST64_EVIDENCE
LUD	NO	184963840	1113878	1091487	1087849	1.020514215927	1.023927033991	1.000000000000	0.979898157608	0.976632090768	speedup_mode = Base_cycles / mode_cycles	ACCEPTED_FAST64_EVIDENCE
MRI-Q	NO	1411757056	366667	360536	361415	1.017005236648	1.014531770956	1.000000000000	0.983279106110	0.985676376658	speedup_mode = Base_cycles / mode_cycles	ACCEPTED_FAST64_EVIDENCE
NN	NO	1284872	6985	6095	6105	1.146021328958	1.144144144144	1.000000000000	0.872584108805	0.874015748031	speedup_mode = Base_cycles / mode_cycles	ACCEPTED_FAST64_EVIDENCE
GM-FAST12	YES_EXACT_12	NA	NA	NA	NA	1.326143376158	1.592062401603	NA	NA	NA	geometric mean of 12 unrounded Base_cycles/mode_cycles ratios	EXISTING_DATA_DERIVED_ANALYSIS
