comparison	pc	baseline_accesses	comparison_accesses	delta
P34_0_80-minus-10_80	0xd20	3798	11220	7422
P34_0_80-minus-10_80	0xcf0	3787	10694	6907
P34_0_80-minus-10_80	0xcb0	3842	9952	6110
P34_0_80-minus-10_80	0xc80	3840	9229	5389
P34_0_80-minus-10_80	0x8470	23520	28636	5116
P34_0_80-minus-10_80	0xc40	3773	8590	4817
P34_0_80-minus-10_80	0x8460	23520	28318	4798
P34_0_80-minus-10_80	0x8440	23520	27496	3976
P34_0_80-minus-10_80	0xc00	3687	7329	3642
P34_0_80-minus-10_80	0x8410	23520	26710	3190
P34_0_80-minus-10_80	0x8750	26880	29741	2861
P34_0_80-minus-10_80	0xbc0	3627	6251	2624
P34_0_80-minus-10_80	0x8740	26880	29451	2571
P34_0_80-minus-10_80	0x31b0	3360	5775	2415
P34_0_80-minus-10_80	0x83e0	23520	25933	2413
P34_0_80-minus-10_80	0x31a0	3360	5514	2154
P34_0_80-minus-10_80	0x83b0	23520	25401	1881
P34_0_80-minus-10_80	0xba0	3645	5515	1870
P34_0_80-minus-10_80	0x3180	3360	5201	1841
P34_0_80-minus-10_80	0x8730	26880	28699	1819
P34_0_80-minus-10_80	0x8720	26880	28534	1654
P34_0_80-minus-10_80	0x3150	3360	4730	1370
P34_0_80-minus-10_80	0x8380	23520	24845	1325
P34_0_80-minus-10_80	0x8710	26880	28143	1263
P34_0_80-minus-10_80	0xb70	3597	4790	1193
P34_0_80-minus-10_80	0x8350	23520	24400	880
P34_0_80-minus-10_80	0x3120	3360	4181	821
P34_0_80-minus-10_80	0x1070	3601	4348	747
P34_0_80-minus-10_80	0x1050	3596	4311	715
P34_0_80-minus-10_80	0x1030	3597	4228	631
P34_0_80-minus-10_80	0x86d0	26880	27506	626
P34_0_80-minus-10_80	0x8680	26880	27318	438
P34_0_80-minus-10_80	0x30f0	3360	3784	424
P34_0_80-minus-10_80	0xfb0	3584	3872	288
P34_0_80-minus-10_80	0x8630	26880	27148	268
P34_0_80-minus-10_80	0xf90	3584	3835	251
P34_0_80-minus-10_80	0xfa0	3590	3813	223
P34_0_80-minus-10_80	0xa90	3595	3806	211
P34_0_80-minus-10_80	0xa80	3587	3796	209
P34_0_80-minus-10_80	0x30c0	3360	3535	175
P34_0_80-minus-10_80	0xa60	3584	3705	121
P34_0_80-minus-10_80	0xf70	3584	3701	117
P34_0_80-minus-10_80	0x9d0	3584	3669	85
P34_0_80-minus-10_80	0x8b0	3584	3654	70
P34_0_80-minus-10_80	0x9a0	3584	3630	46
P34_0_80-minus-10_80	0x800	3584	3626	42
P34_0_80-minus-10_80	0xf50	3584	3623	39
P34_0_80-minus-10_80	0x3090	3360	3372	12
P34_0_80-minus-10_80	0x10200	3584	3585	1
P34_0_80-minus-10_80	0x10290	3584	3585	1
