figure	metric	roi	numerator	denominator	exact_value	display_value	source
A	L1_TLB_miss_rate_pct	prefill	1246241	93933006	1.3267338639	1.33%	docs/vm_tlb/review_packs/M4C_C3_C4_FINAL_CLOSEOUT/TRANSLATION_TOTALS.tsv
A	L1_TLB_miss_rate_pct	decode1	69483	75844615	0.0916123050	0.092%	docs/vm_tlb/review_packs/M4C_C3_C4_FINAL_CLOSEOUT/TRANSLATION_TOTALS.tsv
A	L2_continued_miss_pct	prefill	56467	1246241	4.5309855798	4.53%	docs/vm_tlb/review_packs/M4C_C3_C4_FINAL_CLOSEOUT/TRANSLATION_TOTALS.tsv
A	L2_continued_miss_pct	decode1	23805	69483	34.2601787488	34.26%	docs/vm_tlb/review_packs/M4C_C3_C4_FINAL_CLOSEOUT/TRANSLATION_TOTALS.tsv
A	MSHR_full_events_full_roi	prefill	0	NA	0	0	docs/vm_tlb/review_packs/M4C_C3_C4_FINAL_CLOSEOUT/TRANSLATION_TOTALS.tsv
A	MSHR_full_events_full_roi	decode1	2301691	NA	2301691	2.30M	docs/vm_tlb/review_packs/M4C_C3_C4_FINAL_CLOSEOUT/TRANSLATION_TOTALS.tsv
A	MSHR_full_events_per_1M_translation_requests	prefill	0	93933006	0	0	docs/vm_tlb/review_packs/M4C_C3_C4_FINAL_CLOSEOUT/TRANSLATION_TOTALS.tsv
A	MSHR_full_events_per_1M_translation_requests	decode1	2301691	75844615	30347.4544633	30.35K	docs/vm_tlb/review_packs/M4C_C3_C4_FINAL_CLOSEOUT/TRANSLATION_TOTALS.tsv
B	Weight_lane_reference_share_pct	prefill	410255360	2567744708	15.9772643566	16%	docs/vm_tlb/review_packs/M4C_C3_C4_FINAL_CLOSEOUT/C4_TRACE_LOCALITY_SUMMARY.tsv
B	Weight_lane_reference_share_pct	decode1	63799296	811634461	7.8605947709	8%	docs/vm_tlb/review_packs/M4C_C3_C4_FINAL_CLOSEOUT/C4_TRACE_LOCALITY_SUMMARY.tsv
B	Weight_64KB_unique_page_share_pct	prefill	15443	17668	87.4066108218	87%	docs/vm_tlb/review_packs/M4C_C3_C4_FINAL_CLOSEOUT/C4_TRACE_LOCALITY_SUMMARY.tsv
B	Weight_64KB_unique_page_share_pct	decode1	15443	15606	98.9555299244	99%	docs/vm_tlb/review_packs/M4C_C3_C4_FINAL_CLOSEOUT/C4_TRACE_LOCALITY_SUMMARY.tsv
B	L2_TLB_Weight_to_Weight_replacement_share_pct	decode1	14494	14926	97.1057215597	97.1%	docs/vm_tlb/review_packs/M4C_C3_C4_FINAL_CLOSEOUT/L2_TLB_REPLACEMENT_MATRIX.tsv
