point_id	M	implementation	nvtx_range	kernel_index	kernel_name	grid_size	block_size	metric_name	unit	value	aggregation
M1_RAW	1	RAW_FP16	C16_E1_NCU_UP_M1_RAW_FP16	0	enable_if<!T7, void>::type kernel<int, int, __half, __half, __half, float, 0, 1, 1, 0, 7, 0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched<__half>, float>>(T13)	(4736, 1, 1)	(32, 4, 1)	l1tex__t_bytes.sum	byte	272187392.0	ADDITIVE_WITHIN_SEMANTIC_RANGE
M1_RAW	1	RAW_FP16	C16_E1_NCU_UP_M1_RAW_FP16	0	enable_if<!T7, void>::type kernel<int, int, __half, __half, __half, float, 0, 1, 1, 0, 7, 0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched<__half>, float>>(T13)	(4736, 1, 1)	(32, 4, 1)	lts__t_bytes.sum	byte	137179776.0	ADDITIVE_WITHIN_SEMANTIC_RANGE
M1_RAW	1	RAW_FP16	C16_E1_NCU_UP_M1_RAW_FP16	0	enable_if<!T7, void>::type kernel<int, int, __half, __half, __half, float, 0, 1, 1, 0, 7, 0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched<__half>, float>>(T13)	(4736, 1, 1)	(32, 4, 1)	dram__bytes.sum	byte	137814656.0	ADDITIVE_WITHIN_SEMANTIC_RANGE
M1_RAW	1	RAW_FP16	C16_E1_NCU_UP_M1_RAW_FP16	0	enable_if<!T7, void>::type kernel<int, int, __half, __half, __half, float, 0, 1, 1, 0, 7, 0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched<__half>, float>>(T13)	(4736, 1, 1)	(32, 4, 1)	sm__warps_active.avg.pct_of_peak_sustained_active	%	24.597606	PER_KERNEL_NONADDITIVE
M1_RAW	1	RAW_FP16	C16_E1_NCU_UP_M1_RAW_FP16	0	enable_if<!T7, void>::type kernel<int, int, __half, __half, __half, float, 0, 1, 1, 0, 7, 0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched<__half>, float>>(T13)	(4736, 1, 1)	(32, 4, 1)	sm__throughput.avg.pct_of_peak_sustained_elapsed	%	27.060966	PER_KERNEL_NONADDITIVE
M1_RAW	1	RAW_FP16	C16_E1_NCU_UP_M1_RAW_FP16	0	enable_if<!T7, void>::type kernel<int, int, __half, __half, __half, float, 0, 1, 1, 0, 7, 0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched<__half>, float>>(T13)	(4736, 1, 1)	(32, 4, 1)	sm__pipe_tensor_cycles_active_v2.avg.pct_of_peak_sustained_elapsed	%	0.0	PER_KERNEL_NONADDITIVE
M1_AWQ	1	AWQ_FP16_INPUT	C16_E1_NCU_UP_M1_AWQ	0	gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)	(1184, 1, 1)	(32, 2, 1)	l1tex__t_bytes.sum	byte	46829568.0	ADDITIVE_WITHIN_SEMANTIC_RANGE
M1_AWQ	1	AWQ_FP16_INPUT	C16_E1_NCU_UP_M1_AWQ	0	gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)	(1184, 1, 1)	(32, 2, 1)	lts__t_bytes.sum	byte	40692672.0	ADDITIVE_WITHIN_SEMANTIC_RANGE
M1_AWQ	1	AWQ_FP16_INPUT	C16_E1_NCU_UP_M1_AWQ	0	gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)	(1184, 1, 1)	(32, 2, 1)	dram__bytes.sum	byte	35292544.0	ADDITIVE_WITHIN_SEMANTIC_RANGE
M1_AWQ	1	AWQ_FP16_INPUT	C16_E1_NCU_UP_M1_AWQ	0	gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)	(1184, 1, 1)	(32, 2, 1)	sm__warps_active.avg.pct_of_peak_sustained_active	%	32.960916	PER_KERNEL_NONADDITIVE
M1_AWQ	1	AWQ_FP16_INPUT	C16_E1_NCU_UP_M1_AWQ	0	gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)	(1184, 1, 1)	(32, 2, 1)	sm__throughput.avg.pct_of_peak_sustained_elapsed	%	27.960845	PER_KERNEL_NONADDITIVE
M1_AWQ	1	AWQ_FP16_INPUT	C16_E1_NCU_UP_M1_AWQ	0	gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)	(1184, 1, 1)	(32, 2, 1)	sm__pipe_tensor_cycles_active_v2.avg.pct_of_peak_sustained_elapsed	%	21.674322	PER_KERNEL_NONADDITIVE
M1_AWQ	1	AWQ_FP16_INPUT	C16_E1_NCU_UP_M1_AWQ	1	void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)	(37, 1, 1)	(32, 4, 1)	l1tex__t_bytes.sum	byte	454656.0	ADDITIVE_WITHIN_SEMANTIC_RANGE
M1_AWQ	1	AWQ_FP16_INPUT	C16_E1_NCU_UP_M1_AWQ	1	void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)	(37, 1, 1)	(32, 4, 1)	lts__t_bytes.sum	byte	984736.0	ADDITIVE_WITHIN_SEMANTIC_RANGE
M1_AWQ	1	AWQ_FP16_INPUT	C16_E1_NCU_UP_M1_AWQ	1	void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)	(37, 1, 1)	(32, 4, 1)	dram__bytes.sum	byte	373120.0	ADDITIVE_WITHIN_SEMANTIC_RANGE
M1_AWQ	1	AWQ_FP16_INPUT	C16_E1_NCU_UP_M1_AWQ	1	void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)	(37, 1, 1)	(32, 4, 1)	sm__warps_active.avg.pct_of_peak_sustained_active	%	8.326384	PER_KERNEL_NONADDITIVE
M1_AWQ	1	AWQ_FP16_INPUT	C16_E1_NCU_UP_M1_AWQ	1	void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)	(37, 1, 1)	(32, 4, 1)	sm__throughput.avg.pct_of_peak_sustained_elapsed	%	1.602487	PER_KERNEL_NONADDITIVE
M1_AWQ	1	AWQ_FP16_INPUT	C16_E1_NCU_UP_M1_AWQ	1	void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)	(37, 1, 1)	(32, 4, 1)	sm__pipe_tensor_cycles_active_v2.avg.pct_of_peak_sustained_elapsed	%	0.0	PER_KERNEL_NONADDITIVE
M256_RAW	256	RAW_FP16	C16_E1_NCU_UP_M256_RAW_FP16	0	void Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_256x128_32x3_tn_align8>(Params)	(16, 10, 1)	(256, 1, 1)	l1tex__t_bytes.sum	byte	417071104.0	ADDITIVE_WITHIN_SEMANTIC_RANGE
M256_RAW	256	RAW_FP16	C16_E1_NCU_UP_M256_RAW_FP16	0	void Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_256x128_32x3_tn_align8>(Params)	(16, 10, 1)	(256, 1, 1)	lts__t_bytes.sum	byte	417756928.0	ADDITIVE_WITHIN_SEMANTIC_RANGE
M256_RAW	256	RAW_FP16	C16_E1_NCU_UP_M256_RAW_FP16	0	void Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_256x128_32x3_tn_align8>(Params)	(16, 10, 1)	(256, 1, 1)	dram__bytes.sum	byte	152253440.0	ADDITIVE_WITHIN_SEMANTIC_RANGE
M256_RAW	256	RAW_FP16	C16_E1_NCU_UP_M256_RAW_FP16	0	void Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_256x128_32x3_tn_align8>(Params)	(16, 10, 1)	(256, 1, 1)	sm__warps_active.avg.pct_of_peak_sustained_active	%	16.662304	PER_KERNEL_NONADDITIVE
M256_RAW	256	RAW_FP16	C16_E1_NCU_UP_M256_RAW_FP16	0	void Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_256x128_32x3_tn_align8>(Params)	(16, 10, 1)	(256, 1, 1)	sm__throughput.avg.pct_of_peak_sustained_elapsed	%	47.11636	PER_KERNEL_NONADDITIVE
M256_RAW	256	RAW_FP16	C16_E1_NCU_UP_M256_RAW_FP16	0	void Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_256x128_32x3_tn_align8>(Params)	(16, 10, 1)	(256, 1, 1)	sm__pipe_tensor_cycles_active_v2.avg.pct_of_peak_sustained_elapsed	%	47.11636	PER_KERNEL_NONADDITIVE
M256_AWQ	256	AWQ_FP16_INPUT	C16_E1_NCU_UP_M256_AWQ	0	gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)	(18944, 1, 1)	(32, 2, 1)	l1tex__t_bytes.sum	byte	1294860288.0	ADDITIVE_WITHIN_SEMANTIC_RANGE
M256_AWQ	256	AWQ_FP16_INPUT	C16_E1_NCU_UP_M256_AWQ	0	gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)	(18944, 1, 1)	(32, 2, 1)	lts__t_bytes.sum	byte	1158789504.0	ADDITIVE_WITHIN_SEMANTIC_RANGE
