point_id	M	implementation	metric_name	unit	semantic_module_sum	kernel_count
M1_RAW	1	RAW_FP16	l1tex__t_bytes.sum	byte	272187392.0	1
M1_RAW	1	RAW_FP16	lts__t_bytes.sum	byte	137179776.0	1
M1_RAW	1	RAW_FP16	dram__bytes.sum	byte	137814656.0	1
M1_AWQ	1	AWQ_FP16_INPUT	l1tex__t_bytes.sum	byte	47284224.0	2
M1_AWQ	1	AWQ_FP16_INPUT	lts__t_bytes.sum	byte	41677408.0	2
M1_AWQ	1	AWQ_FP16_INPUT	dram__bytes.sum	byte	35665664.0	2
M256_RAW	256	RAW_FP16	l1tex__t_bytes.sum	byte	417071104.0	1
M256_RAW	256	RAW_FP16	lts__t_bytes.sum	byte	417756928.0	1
M256_RAW	256	RAW_FP16	dram__bytes.sum	byte	152253440.0	1
M256_AWQ	256	AWQ_FP16_INPUT	l1tex__t_bytes.sum	byte	1411252224.0	2
M256_AWQ	256	AWQ_FP16_INPUT	lts__t_bytes.sum	byte	1264454400.0	2
M256_AWQ	256	AWQ_FP16_INPUT	dram__bytes.sum	byte	168477056.0	2
