control_id	identity	metric	estimate	exact	absolute_error	status	scope
FULL_CENSUS_N_EQUALS_n	C13-CAP-P320-REPAIRED-EXACTMODE-A1	gpu_sim_cycle	63893042	63893042	0	PASS	RETROSPECTIVE_ORACLE_CALIBRATION
FULL_CENSUS_N_EQUALS_n	C13-CAP-P320-REPAIRED-EXACTMODE-A1	vm_l1_tlb_accesses	94329509	94329509	0	PASS	RETROSPECTIVE_ORACLE_CALIBRATION
FULL_CENSUS_N_EQUALS_n	C13-CAP-P320-REPAIRED-EXACTMODE-A1	vm_l1_tlb_misses	1117373	1117373	0	PASS	RETROSPECTIVE_ORACLE_CALIBRATION
FULL_CENSUS_N_EQUALS_n	C13-CAP-P768S10-REPAIRED-EXACTMODE-A1	gpu_sim_cycle	62066974	62066974	0	PASS	RETROSPECTIVE_ORACLE_CALIBRATION
FULL_CENSUS_N_EQUALS_n	C13-CAP-P768S10-REPAIRED-EXACTMODE-A1	vm_l1_tlb_accesses	94190229	94190229	0	PASS	RETROSPECTIVE_ORACLE_CALIBRATION
FULL_CENSUS_N_EQUALS_n	C13-CAP-P768S10-REPAIRED-EXACTMODE-A1	vm_l1_tlb_misses	49099414	49099414	0	PASS	RETROSPECTIVE_ORACLE_CALIBRATION
FULL_CENSUS_N_EQUALS_n	C13-EQ-P320S10-C12BIN-EXACTMODE	gpu_sim_cycle	63370888	63370888	0	PASS	RETROSPECTIVE_ORACLE_CALIBRATION
FULL_CENSUS_N_EQUALS_n	C13-EQ-P320S10-C12BIN-EXACTMODE	vm_l1_tlb_accesses	94315107	94315107	0	PASS	RETROSPECTIVE_ORACLE_CALIBRATION
FULL_CENSUS_N_EQUALS_n	C13-EQ-P320S10-C12BIN-EXACTMODE	vm_l1_tlb_misses	49106086	49106086	0	PASS	RETROSPECTIVE_ORACLE_CALIBRATION
FULL_CENSUS_N_EQUALS_n	C13-EQ-P320S10-NEWBIN-EXACTMODE	gpu_sim_cycle	63370888	63370888	0	PASS	RETROSPECTIVE_ORACLE_CALIBRATION
FULL_CENSUS_N_EQUALS_n	C13-EQ-P320S10-NEWBIN-EXACTMODE	vm_l1_tlb_accesses	94315107	94315107	0	PASS	RETROSPECTIVE_ORACLE_CALIBRATION
FULL_CENSUS_N_EQUALS_n	C13-EQ-P320S10-NEWBIN-EXACTMODE	vm_l1_tlb_misses	49106086	49106086	0	PASS	RETROSPECTIVE_ORACLE_CALIBRATION
FULL_CENSUS_N_EQUALS_n	C13-LAT-D11-REPAIRED-EXACTMODE-A1	gpu_sim_cycle	34539934	34539934	0	PASS	RETROSPECTIVE_ORACLE_CALIBRATION
FULL_CENSUS_N_EQUALS_n	C13-LAT-D11-REPAIRED-EXACTMODE-A1	vm_l1_tlb_accesses	75985662	75985662	0	PASS	RETROSPECTIVE_ORACLE_CALIBRATION
FULL_CENSUS_N_EQUALS_n	C13-LAT-D11-REPAIRED-EXACTMODE-A1	vm_l1_tlb_misses	8051954	8051954	0	PASS	RETROSPECTIVE_ORACLE_CALIBRATION
FULL_CENSUS_N_EQUALS_n	C13-LAT-P8-REPAIRED-EXACTMODE-A1	gpu_sim_cycle	61301122	61301122	0	PASS	RETROSPECTIVE_ORACLE_CALIBRATION
FULL_CENSUS_N_EQUALS_n	C13-LAT-P8-REPAIRED-EXACTMODE-A1	vm_l1_tlb_accesses	46283446	46283446	0	PASS	RETROSPECTIVE_ORACLE_CALIBRATION
FULL_CENSUS_N_EQUALS_n	C13-LAT-P8-REPAIRED-EXACTMODE-A1	vm_l1_tlb_misses	1013948	1013948	0	PASS	RETROSPECTIVE_ORACLE_CALIBRATION
FULL_CENSUS_N_EQUALS_n	C13-LAT-P9-REPAIRED-EXACTMODE-A1	gpu_sim_cycle	62284120	62284120	0	PASS	RETROSPECTIVE_ORACLE_CALIBRATION
FULL_CENSUS_N_EQUALS_n	C13-LAT-P9-REPAIRED-EXACTMODE-A1	vm_l1_tlb_accesses	46250095	46250095	0	PASS	RETROSPECTIVE_ORACLE_CALIBRATION
FULL_CENSUS_N_EQUALS_n	C13-LAT-P9-REPAIRED-EXACTMODE-A1	vm_l1_tlb_misses	1013412	1013412	0	PASS	RETROSPECTIVE_ORACLE_CALIBRATION
FULL_CENSUS_N_EQUALS_n	C13-SEL-D10-CTRL-NEWBIN-REPAIRED-EXACTMODE-A1	gpu_sim_cycle	34432059	34432059	0	PASS	RETROSPECTIVE_ORACLE_CALIBRATION
FULL_CENSUS_N_EQUALS_n	C13-SEL-D10-CTRL-NEWBIN-REPAIRED-EXACTMODE-A1	vm_l1_tlb_accesses	76029888	76029888	0	PASS	RETROSPECTIVE_ORACLE_CALIBRATION
FULL_CENSUS_N_EQUALS_n	C13-SEL-D10-CTRL-NEWBIN-REPAIRED-EXACTMODE-A1	vm_l1_tlb_misses	8081592	8081592	0	PASS	RETROSPECTIVE_ORACLE_CALIBRATION
FULL_CENSUS_N_EQUALS_n	C13-SEL-D10-REPAIRED-EXACTMODE-A1	gpu_sim_cycle	34483640	34483640	0	PASS	RETROSPECTIVE_ORACLE_CALIBRATION
FULL_CENSUS_N_EQUALS_n	C13-SEL-D10-REPAIRED-EXACTMODE-A1	vm_l1_tlb_accesses	76016321	76016321	0	PASS	RETROSPECTIVE_ORACLE_CALIBRATION
FULL_CENSUS_N_EQUALS_n	C13-SEL-D10-REPAIRED-EXACTMODE-A1	vm_l1_tlb_misses	3862943	3862943	0	PASS	RETROSPECTIVE_ORACLE_CALIBRATION
FULL_CENSUS_N_EQUALS_n	C13-SEL-P10-REPAIRED-EXACTMODE-A1	gpu_sim_cycle	63557663	63557663	0	PASS	RETROSPECTIVE_ORACLE_CALIBRATION
FULL_CENSUS_N_EQUALS_n	C13-SEL-P10-REPAIRED-EXACTMODE-A1	vm_l1_tlb_accesses	94323555	94323555	0	PASS	RETROSPECTIVE_ORACLE_CALIBRATION
FULL_CENSUS_N_EQUALS_n	C13-SEL-P10-REPAIRED-EXACTMODE-A1	vm_l1_tlb_misses	32690008	32690008	0	PASS	RETROSPECTIVE_ORACLE_CALIBRATION
FULL_CENSUS_N_EQUALS_n	decode1:F0:NONE	gpu_sim_cycle	34564626	34564626	0	PASS	RETROSPECTIVE_ORACLE_CALIBRATION
FULL_CENSUS_N_EQUALS_n	decode1:F0:NONE	vm_l1_tlb_accesses	76015393	76015393	0	PASS	RETROSPECTIVE_ORACLE_CALIBRATION
FULL_CENSUS_N_EQUALS_n	decode1:F0:NONE	vm_l1_tlb_misses	57947	57947	0	PASS	RETROSPECTIVE_ORACLE_CALIBRATION
FULL_CENSUS_N_EQUALS_n	decode1:F1:NONE	gpu_sim_cycle	34540487	34540487	0	PASS	RETROSPECTIVE_ORACLE_CALIBRATION
FULL_CENSUS_N_EQUALS_n	decode1:F1:NONE	vm_l1_tlb_accesses	76008826	76008826	0	PASS	RETROSPECTIVE_ORACLE_CALIBRATION
FULL_CENSUS_N_EQUALS_n	decode1:F1:NONE	vm_l1_tlb_misses	57894	57894	0	PASS	RETROSPECTIVE_ORACLE_CALIBRATION
FULL_CENSUS_N_EQUALS_n	decode1:F2:NONE	gpu_sim_cycle	34564626	34564626	0	PASS	RETROSPECTIVE_ORACLE_CALIBRATION
FULL_CENSUS_N_EQUALS_n	decode1:F2:NONE	vm_l1_tlb_accesses	76015393	76015393	0	PASS	RETROSPECTIVE_ORACLE_CALIBRATION
FULL_CENSUS_N_EQUALS_n	decode1:F2:NONE	vm_l1_tlb_misses	57947	57947	0	PASS	RETROSPECTIVE_ORACLE_CALIBRATION
FULL_CENSUS_N_EQUALS_n	decode1:F5:NONE	gpu_sim_cycle	34558846	34558846	0	PASS	RETROSPECTIVE_ORACLE_CALIBRATION
FULL_CENSUS_N_EQUALS_n	decode1:F5:NONE	vm_l1_tlb_accesses	76008925	76008925	0	PASS	RETROSPECTIVE_ORACLE_CALIBRATION
FULL_CENSUS_N_EQUALS_n	decode1:F5:NONE	vm_l1_tlb_misses	57917	57917	0	PASS	RETROSPECTIVE_ORACLE_CALIBRATION
FULL_CENSUS_N_EQUALS_n	decode1:F7:10	gpu_sim_cycle	34432059	34432059	0	PASS	RETROSPECTIVE_ORACLE_CALIBRATION
FULL_CENSUS_N_EQUALS_n	decode1:F7:10	vm_l1_tlb_accesses	76029888	76029888	0	PASS	RETROSPECTIVE_ORACLE_CALIBRATION
FULL_CENSUS_N_EQUALS_n	decode1:F7:10	vm_l1_tlb_misses	8081592	8081592	0	PASS	RETROSPECTIVE_ORACLE_CALIBRATION
FULL_CENSUS_N_EQUALS_n	decode1:F7:20	gpu_sim_cycle	36035731	36035731	0	PASS	RETROSPECTIVE_ORACLE_CALIBRATION
FULL_CENSUS_N_EQUALS_n	decode1:F7:20	vm_l1_tlb_accesses	75823163	75823163	0	PASS	RETROSPECTIVE_ORACLE_CALIBRATION
