stage_id	execution_status	scientific_status	evidence
C16-0.8	COMPLETE	PASS	offline selector/estimator fixtures and conservation control
C16-2.5	COMPLETE_HISTORICAL_ORACLE_ONLY	NOT_NATIVE	certainty implementation; native fact table pending G
C16-3.1	COMPLETE	PASS	five-field deterministic strata schema
C16-3.2	COMPLETE	PASS	separate Selector-R / Selector-M outputs
C16-3.3	COMPLETE	PASS	certainty + N_s/n_s and ratio reconstruction
C16-3.4	COMPLETE	PASS	frozen 12/24/48 allocation and capture-cost fields
C16-3.5	COMPLETE	RETROSPECTIVE_ORACLE_CALIBRATION	C12/C13 mode=0 only
C16-3.6	PENDING_COMMITTED_WAVE1_CATALOG	PENDING	prospective protocol
C16-4.2	PENDING_COMMITTED_WAVE1_CATALOG	PENDING	no native target identity exists yet
C16-6.1	PARTIAL	METRIC_BY_METRIC_BOUNDARY_PUBLISHED	no global PASS
