plan_id	phase	stratum_id	object_class	address_domain	page_bucket_bytes	sampled_units	sample_observed_unique_pages	population_union_estimate	line_observation	method	status	evidence_tier
C16_V2_R_B12_C12_C13_HISTORICAL_ORACLE_Llama32_1B_FROZEN_decode1	decode1	decode1|ATTENTION_CORE|HISTORICAL_ORACLE_UNKNOWN_IMPLEMENTATION|SHAPE_NONNUMERIC_3ff3de5e512a|HISTORICAL_ORACLE_UNKNOWN_DTYPE	WEIGHT	MODELED_SIMVA	65536	1	0	NA	NA	SAMPLE_OBSERVED_SET_NOT_Ns_OVER_ns	STRUCTURAL_ONLY	RETROSPECTIVE_SIMULATOR
C16_V2_R_B12_C12_C13_HISTORICAL_ORACLE_Llama32_1B_FROZEN_decode1	decode1	decode1|ATTENTION_CORE|HISTORICAL_ORACLE_UNKNOWN_IMPLEMENTATION|SHAPE_NONNUMERIC_3ff3de5e512a|HISTORICAL_ORACLE_UNKNOWN_DTYPE	KV_CACHE	MODELED_SIMVA	65536	1	7	NA	NA	SAMPLE_OBSERVED_SET_NOT_Ns_OVER_ns	STRUCTURAL_ONLY	RETROSPECTIVE_SIMULATOR
C16_V2_R_B12_C12_C13_HISTORICAL_ORACLE_Llama32_1B_FROZEN_decode1	decode1	decode1|ATTENTION_CORE|HISTORICAL_ORACLE_UNKNOWN_IMPLEMENTATION|SHAPE_NONNUMERIC_3ff3de5e512a|HISTORICAL_ORACLE_UNKNOWN_DTYPE	UNKNOWN	MODELED_SIMVA	65536	1	16	NA	NA	SAMPLE_OBSERVED_SET_NOT_Ns_OVER_ns	STRUCTURAL_ONLY	RETROSPECTIVE_SIMULATOR
C16_V2_R_B12_C12_C13_HISTORICAL_ORACLE_Llama32_1B_FROZEN_decode1	decode1	decode1|ATTENTION_PROJECTION|HISTORICAL_ORACLE_UNKNOWN_IMPLEMENTATION|SHAPE_NONNUMERIC_3ff3de5e512a|HISTORICAL_ORACLE_UNKNOWN_DTYPE	WEIGHT	MODELED_SIMVA	65536	1	33	NA	NA	SAMPLE_OBSERVED_SET_NOT_Ns_OVER_ns	STRUCTURAL_ONLY	RETROSPECTIVE_SIMULATOR
C16_V2_R_B12_C12_C13_HISTORICAL_ORACLE_Llama32_1B_FROZEN_decode1	decode1	decode1|ATTENTION_PROJECTION|HISTORICAL_ORACLE_UNKNOWN_IMPLEMENTATION|SHAPE_NONNUMERIC_3ff3de5e512a|HISTORICAL_ORACLE_UNKNOWN_DTYPE	KV_CACHE	MODELED_SIMVA	65536	1	2	NA	NA	SAMPLE_OBSERVED_SET_NOT_Ns_OVER_ns	STRUCTURAL_ONLY	RETROSPECTIVE_SIMULATOR
C16_V2_R_B12_C12_C13_HISTORICAL_ORACLE_Llama32_1B_FROZEN_decode1	decode1	decode1|ATTENTION_PROJECTION|HISTORICAL_ORACLE_UNKNOWN_IMPLEMENTATION|SHAPE_NONNUMERIC_3ff3de5e512a|HISTORICAL_ORACLE_UNKNOWN_DTYPE	UNKNOWN	MODELED_SIMVA	65536	1	3	NA	NA	SAMPLE_OBSERVED_SET_NOT_Ns_OVER_ns	STRUCTURAL_ONLY	RETROSPECTIVE_SIMULATOR
C16_V2_R_B12_C12_C13_HISTORICAL_ORACLE_Llama32_1B_FROZEN_decode1	decode1	decode1|EMBEDDING_OUTPUT|HISTORICAL_ORACLE_UNKNOWN_IMPLEMENTATION|SHAPE_NONNUMERIC_3ff3de5e512a|HISTORICAL_ORACLE_UNKNOWN_DTYPE	WEIGHT	MODELED_SIMVA	65536	2	8016	NA	NA	SAMPLE_OBSERVED_SET_NOT_Ns_OVER_ns	STRUCTURAL_ONLY	RETROSPECTIVE_SIMULATOR
C16_V2_R_B12_C12_C13_HISTORICAL_ORACLE_Llama32_1B_FROZEN_decode1	decode1	decode1|EMBEDDING_OUTPUT|HISTORICAL_ORACLE_UNKNOWN_IMPLEMENTATION|SHAPE_NONNUMERIC_3ff3de5e512a|HISTORICAL_ORACLE_UNKNOWN_DTYPE	KV_CACHE	MODELED_SIMVA	65536	2	5	NA	NA	SAMPLE_OBSERVED_SET_NOT_Ns_OVER_ns	STRUCTURAL_ONLY	RETROSPECTIVE_SIMULATOR
C16_V2_R_B12_C12_C13_HISTORICAL_ORACLE_Llama32_1B_FROZEN_decode1	decode1	decode1|EMBEDDING_OUTPUT|HISTORICAL_ORACLE_UNKNOWN_IMPLEMENTATION|SHAPE_NONNUMERIC_3ff3de5e512a|HISTORICAL_ORACLE_UNKNOWN_DTYPE	UNKNOWN	MODELED_SIMVA	65536	2	35	NA	NA	SAMPLE_OBSERVED_SET_NOT_Ns_OVER_ns	STRUCTURAL_ONLY	RETROSPECTIVE_SIMULATOR
C16_V2_R_B12_C12_C13_HISTORICAL_ORACLE_Llama32_1B_FROZEN_decode1	decode1	decode1|FFN_MLP|HISTORICAL_ORACLE_UNKNOWN_IMPLEMENTATION|SHAPE_NONNUMERIC_3ff3de5e512a|HISTORICAL_ORACLE_UNKNOWN_DTYPE	WEIGHT	MODELED_SIMVA	65536	1	128	NA	NA	SAMPLE_OBSERVED_SET_NOT_Ns_OVER_ns	STRUCTURAL_ONLY	RETROSPECTIVE_SIMULATOR
