plan_id	selector_kind	universe_id	budget	certainty_units	remaining_after_certainty	stratum_id	N_s	n_s	count_mass	duration_mass_ns	variation_proxy_mass	variation_proxy_source	allocation_score	random_audit_target	random_audit_actual	estimated_capture_cost_ns	status
C16_V2_R_B12_C12_C13_HISTORICAL_ORACLE_Llama32_1B_FROZEN_decode1	SELECTOR_R	C12_C13_HISTORICAL_ORACLE|Llama32_1B_FROZEN|decode1	12	3	9	decode1|ATTENTION_CORE|HISTORICAL_ORACLE_UNKNOWN_IMPLEMENTATION|SHAPE_NONNUMERIC_3ff3de5e512a|HISTORICAL_ORACLE_UNKNOWN_DTYPE	16	1	16	16	18533248	HISTORICAL_ORACLE	0.0237921807727	1	1	12	FROZEN_READY
C16_V2_R_B12_C12_C13_HISTORICAL_ORACLE_Llama32_1B_FROZEN_decode1	SELECTOR_R	C12_C13_HISTORICAL_ORACLE|Llama32_1B_FROZEN|decode1	12	3	9	decode1|ATTENTION_PROJECTION|HISTORICAL_ORACLE_UNKNOWN_IMPLEMENTATION|SHAPE_NONNUMERIC_3ff3de5e512a|HISTORICAL_ORACLE_UNKNOWN_DTYPE	64	1	64	64	79640576	HISTORICAL_ORACLE	0.0970779043311	1	1	12	FROZEN_READY
C16_V2_R_B12_C12_C13_HISTORICAL_ORACLE_Llama32_1B_FROZEN_decode1	SELECTOR_R	C12_C13_HISTORICAL_ORACLE|Llama32_1B_FROZEN|decode1	12	3	9	decode1|FFN_MLP|HISTORICAL_ORACLE_UNKNOWN_IMPLEMENTATION|SHAPE_NONNUMERIC_3ff3de5e512a|HISTORICAL_ORACLE_UNKNOWN_DTYPE	48	1	48	48	466227200	HISTORICAL_ORACLE	0.213718853516	1	1	12	FROZEN_READY
C16_V2_R_B12_C12_C13_HISTORICAL_ORACLE_Llama32_1B_FROZEN_decode1	SELECTOR_R	C12_C13_HISTORICAL_ORACLE|Llama32_1B_FROZEN|decode1	12	3	9	decode1|NORM|HISTORICAL_ORACLE_UNKNOWN_IMPLEMENTATION|SHAPE_NONNUMERIC_3ff3de5e512a|HISTORICAL_ORACLE_UNKNOWN_DTYPE	33	1	33	33	868352	HISTORICAL_ORACLE	0.0361219061558	1	1	12	FROZEN_READY
C16_V2_R_B12_C12_C13_HISTORICAL_ORACLE_Llama32_1B_FROZEN_decode1	SELECTOR_R	C12_C13_HISTORICAL_ORACLE|Llama32_1B_FROZEN|decode1	12	3	9	decode1|OTHER_COMPUTE|HISTORICAL_ORACLE_UNKNOWN_IMPLEMENTATION|SHAPE_NONNUMERIC_3ff3de5e512a|HISTORICAL_ORACLE_UNKNOWN_DTYPE	576	5	576	576	11688315	HISTORICAL_ORACLE	0.629289155225	1	1	12	FROZEN_READY
C16_V2_M_B12_C12_C13_HISTORICAL_ORACLE_Llama32_1B_FROZEN_decode1	SELECTOR_M	C12_C13_HISTORICAL_ORACLE|Llama32_1B_FROZEN|decode1	12	3	9	decode1|ATTENTION_CORE|HISTORICAL_ORACLE_UNKNOWN_IMPLEMENTATION|SHAPE_NONNUMERIC_3ff3de5e512a|HISTORICAL_ORACLE_UNKNOWN_DTYPE	16	1	16	16	18533248	HISTORICAL_ORACLE	0.0237921807727	1	0	12	FROZEN_READY
C16_V2_M_B12_C12_C13_HISTORICAL_ORACLE_Llama32_1B_FROZEN_decode1	SELECTOR_M	C12_C13_HISTORICAL_ORACLE|Llama32_1B_FROZEN|decode1	12	3	9	decode1|ATTENTION_PROJECTION|HISTORICAL_ORACLE_UNKNOWN_IMPLEMENTATION|SHAPE_NONNUMERIC_3ff3de5e512a|HISTORICAL_ORACLE_UNKNOWN_DTYPE	64	1	64	64	79640576	HISTORICAL_ORACLE	0.0970779043311	1	0	12	FROZEN_READY
C16_V2_M_B12_C12_C13_HISTORICAL_ORACLE_Llama32_1B_FROZEN_decode1	SELECTOR_M	C12_C13_HISTORICAL_ORACLE|Llama32_1B_FROZEN|decode1	12	3	9	decode1|FFN_MLP|HISTORICAL_ORACLE_UNKNOWN_IMPLEMENTATION|SHAPE_NONNUMERIC_3ff3de5e512a|HISTORICAL_ORACLE_UNKNOWN_DTYPE	48	1	48	48	466227200	HISTORICAL_ORACLE	0.213718853516	1	0	12	FROZEN_READY
C16_V2_M_B12_C12_C13_HISTORICAL_ORACLE_Llama32_1B_FROZEN_decode1	SELECTOR_M	C12_C13_HISTORICAL_ORACLE|Llama32_1B_FROZEN|decode1	12	3	9	decode1|NORM|HISTORICAL_ORACLE_UNKNOWN_IMPLEMENTATION|SHAPE_NONNUMERIC_3ff3de5e512a|HISTORICAL_ORACLE_UNKNOWN_DTYPE	33	1	33	33	868352	HISTORICAL_ORACLE	0.0361219061558	1	0	12	FROZEN_READY
C16_V2_M_B12_C12_C13_HISTORICAL_ORACLE_Llama32_1B_FROZEN_decode1	SELECTOR_M	C12_C13_HISTORICAL_ORACLE|Llama32_1B_FROZEN|decode1	12	3	9	decode1|OTHER_COMPUTE|HISTORICAL_ORACLE_UNKNOWN_IMPLEMENTATION|SHAPE_NONNUMERIC_3ff3de5e512a|HISTORICAL_ORACLE_UNKNOWN_DTYPE	576	5	576	576	11688315	HISTORICAL_ORACLE	0.629289155225	1	0	12	FROZEN_READY
