plan_id	identity	phase	rate	numerator_metric	denominator_metric	weighted_numerator	weighted_denominator	ratio_estimate	ratio_exact	ci_low	ci_high	variance_status	method	evidence_tier
C16_V2_R_B12_C12_C13_HISTORICAL_ORACLE_Llama32_1B_FROZEN_decode1	C13-LAT-D11-REPAIRED-EXACTMODE-A1	decode1	vm_l1_tlb_miss_rate	vm_l1_tlb_misses	vm_l1_tlb_accesses	8425372	87625185.2	0.0961524016271	0.105966754623	NA	NA	INSUFFICIENT_N_FOR_RATIO_VARIANCE	INDEPENDENT_WEIGHTED_NUMERATOR_DENOMINATOR_THEN_RATIO	RETROSPECTIVE_SIMULATOR
C16_V2_R_B12_C12_C13_HISTORICAL_ORACLE_Llama32_1B_FROZEN_decode1	C13-LAT-D11-REPAIRED-EXACTMODE-A1	decode1	vm_l2_tlb_miss_rate	vm_l2_tlb_misses	vm_l2_tlb_accesses	107	14901	0.00718072612576	0.0908047625879	NA	NA	INSUFFICIENT_N_FOR_RATIO_VARIANCE	INDEPENDENT_WEIGHTED_NUMERATOR_DENOMINATOR_THEN_RATIO	RETROSPECTIVE_SIMULATOR
C16_V2_R_B12_C12_C13_HISTORICAL_ORACLE_Llama32_1B_FROZEN_decode1	C13-LAT-D11-REPAIRED-EXACTMODE-A1	decode1	vm_pte_dram_response_rate	vm_pte_dram_responses	vm_pte_requests	35	36	0.972222222222	0.571428571429	NA	NA	INSUFFICIENT_N_FOR_RATIO_VARIANCE	INDEPENDENT_WEIGHTED_NUMERATOR_DENOMINATOR_THEN_RATIO	RETROSPECTIVE_SIMULATOR
C16_V2_R_B12_C12_C13_HISTORICAL_ORACLE_Llama32_1B_FROZEN_decode1	C13-SEL-D10-CTRL-NEWBIN-REPAIRED-EXACTMODE-A1	decode1	vm_l1_tlb_miss_rate	vm_l1_tlb_misses	vm_l1_tlb_accesses	8452251	87665269.2	0.0964150464275	0.10629493496	NA	NA	INSUFFICIENT_N_FOR_RATIO_VARIANCE	INDEPENDENT_WEIGHTED_NUMERATOR_DENOMINATOR_THEN_RATIO	RETROSPECTIVE_SIMULATOR
C16_V2_R_B12_C12_C13_HISTORICAL_ORACLE_Llama32_1B_FROZEN_decode1	C13-SEL-D10-CTRL-NEWBIN-REPAIRED-EXACTMODE-A1	decode1	vm_l2_tlb_miss_rate	vm_l2_tlb_misses	vm_l2_tlb_accesses	81	14869	0.00544757549264	0.0864610296232	NA	NA	INSUFFICIENT_N_FOR_RATIO_VARIANCE	INDEPENDENT_WEIGHTED_NUMERATOR_DENOMINATOR_THEN_RATIO	RETROSPECTIVE_SIMULATOR
C16_V2_R_B12_C12_C13_HISTORICAL_ORACLE_Llama32_1B_FROZEN_decode1	C13-SEL-D10-CTRL-NEWBIN-REPAIRED-EXACTMODE-A1	decode1	vm_pte_dram_response_rate	vm_pte_dram_responses	vm_pte_requests	35	36	0.972222222222	0.568306010929	NA	NA	INSUFFICIENT_N_FOR_RATIO_VARIANCE	INDEPENDENT_WEIGHTED_NUMERATOR_DENOMINATOR_THEN_RATIO	RETROSPECTIVE_SIMULATOR
C16_V2_R_B12_C12_C13_HISTORICAL_ORACLE_Llama32_1B_FROZEN_decode1	C13-SEL-D10-REPAIRED-EXACTMODE-A1	decode1	vm_l1_tlb_miss_rate	vm_l1_tlb_misses	vm_l1_tlb_accesses	4234165	87652578.2	0.0483062231249	0.0508172843566	NA	NA	INSUFFICIENT_N_FOR_RATIO_VARIANCE	INDEPENDENT_WEIGHTED_NUMERATOR_DENOMINATOR_THEN_RATIO	RETROSPECTIVE_SIMULATOR
C16_V2_R_B12_C12_C13_HISTORICAL_ORACLE_Llama32_1B_FROZEN_decode1	C13-SEL-D10-REPAIRED-EXACTMODE-A1	decode1	vm_l2_tlb_miss_rate	vm_l2_tlb_misses	vm_l2_tlb_accesses	8136	22965	0.35427824951	0.290817462969	NA	NA	INSUFFICIENT_N_FOR_RATIO_VARIANCE	INDEPENDENT_WEIGHTED_NUMERATOR_DENOMINATOR_THEN_RATIO	RETROSPECTIVE_SIMULATOR
C16_V2_R_B12_C12_C13_HISTORICAL_ORACLE_Llama32_1B_FROZEN_decode1	C13-SEL-D10-REPAIRED-EXACTMODE-A1	decode1	vm_pte_dram_response_rate	vm_pte_dram_responses	vm_pte_requests	2093	8102	0.258331276228	0.262034679277	NA	NA	INSUFFICIENT_N_FOR_RATIO_VARIANCE	INDEPENDENT_WEIGHTED_NUMERATOR_DENOMINATOR_THEN_RATIO	RETROSPECTIVE_SIMULATOR
C16_V2_R_B12_C12_C13_HISTORICAL_ORACLE_Llama32_1B_FROZEN_decode1	decode1:F0:NONE	decode1	vm_l1_tlb_miss_rate	vm_l1_tlb_misses	vm_l1_tlb_accesses	36533	87657662.2	0.000416769043152	0.000762306129234	NA	NA	INSUFFICIENT_N_FOR_RATIO_VARIANCE	INDEPENDENT_WEIGHTED_NUMERATOR_DENOMINATOR_THEN_RATIO	RETROSPECTIVE_SIMULATOR
C16_V2_R_B12_C12_C13_HISTORICAL_ORACLE_Llama32_1B_FROZEN_decode1	decode1:F0:NONE	decode1	vm_l2_tlb_miss_rate	vm_l2_tlb_misses	vm_l2_tlb_accesses	18354	36533	0.502395094846	0.383453845756	NA	NA	INSUFFICIENT_N_FOR_RATIO_VARIANCE	INDEPENDENT_WEIGHTED_NUMERATOR_DENOMINATOR_THEN_RATIO	RETROSPECTIVE_SIMULATOR
C16_V2_R_B12_C12_C13_HISTORICAL_ORACLE_Llama32_1B_FROZEN_decode1	decode1:F0:NONE	decode1	vm_pte_dram_response_rate	vm_pte_dram_responses	vm_pte_requests	4312	16386	0.263151470768	0.261711825779	NA	NA	INSUFFICIENT_N_FOR_RATIO_VARIANCE	INDEPENDENT_WEIGHTED_NUMERATOR_DENOMINATOR_THEN_RATIO	RETROSPECTIVE_SIMULATOR
C16_V2_R_B12_C12_C13_HISTORICAL_ORACLE_Llama32_1B_FROZEN_decode1	decode1:F1:NONE	decode1	vm_l1_tlb_miss_rate	vm_l1_tlb_misses	vm_l1_tlb_accesses	36501	87651392.2	0.000416433773427	0.000761674703409	NA	NA	INSUFFICIENT_N_FOR_RATIO_VARIANCE	INDEPENDENT_WEIGHTED_NUMERATOR_DENOMINATOR_THEN_RATIO	RETROSPECTIVE_SIMULATOR
C16_V2_R_B12_C12_C13_HISTORICAL_ORACLE_Llama32_1B_FROZEN_decode1	decode1:F1:NONE	decode1	vm_l2_tlb_miss_rate	vm_l2_tlb_misses	vm_l2_tlb_accesses	18407	36501	0.504287553766	0.366221024631	NA	NA	INSUFFICIENT_N_FOR_RATIO_VARIANCE	INDEPENDENT_WEIGHTED_NUMERATOR_DENOMINATOR_THEN_RATIO	RETROSPECTIVE_SIMULATOR
