layer_id	tensor_bytes
0	1246241280
1	1246241280
2	1246241280
3	1246241280
4	1246241280
5	1246241280
6	1246241280
7	1246241280
8	1246241280
9	1246241280
10	1246241280
11	1246241280
12	1246241280
13	1246241280
14	1246241280
15	1246241280
16	1246241280
17	1246241280
18	1246241280
19	1246241280
20	1246241280
21	1246241280
22	1246241280
23	1246241280
24	1246241280
25	1246241280
26	1246241280
27	1246241280
28	1246241280
29	1246241280
30	1246241280
31	1246241280
32	1246241280
33	1246241280
34	1246241280
35	1246241280
36	1246241280
37	1246241280
38	1246241280
39	1246241280
40	1246241280
41	1246241280
42	1246241280
43	1246241280
44	1246241280
45	1246241280
46	1246241280
47	1246241280
	1244663808
