layer_id	expert_id	tensor_bytes
0	0	9437184
0	1	9437184
0	10	9437184
0	100	9437184
0	101	9437184
0	102	9437184
0	103	9437184
0	104	9437184
0	105	9437184
0	106	9437184
0	107	9437184
0	108	9437184
0	109	9437184
0	11	9437184
0	110	9437184
0	111	9437184
0	112	9437184
0	113	9437184
0	114	9437184
0	115	9437184
0	116	9437184
0	117	9437184
0	118	9437184
0	119	9437184
0	12	9437184
0	120	9437184
0	121	9437184
0	122	9437184
0	123	9437184
0	124	9437184
0	125	9437184
0	126	9437184
0	127	9437184
0	13	9437184
0	14	9437184
0	15	9437184
0	16	9437184
0	17	9437184
0	18	9437184
0	19	9437184
0	2	9437184
0	20	9437184
0	21	9437184
0	22	9437184
0	23	9437184
0	24	9437184
0	25	9437184
0	26	9437184
0	27	9437184
0	28	9437184
0	29	9437184
0	3	9437184
0	30	9437184
0	31	9437184
0	32	9437184
0	33	9437184
0	34	9437184
0	35	9437184
0	36	9437184
0	37	9437184
0	38	9437184
0	39	9437184
0	4	9437184
0	40	9437184
0	41	9437184
0	42	9437184
0	43	9437184
0	44	9437184
0	45	9437184
0	46	9437184
0	47	9437184
0	48	9437184
0	49	9437184
0	5	9437184
0	50	9437184
0	51	9437184
0	52	9437184
0	53	9437184
0	54	9437184
0	55	9437184
0	56	9437184
0	57	9437184
0	58	9437184
0	59	9437184
0	6	9437184
0	60	9437184
0	61	9437184
0	62	9437184
0	63	9437184
0	64	9437184
0	65	9437184
0	66	9437184
0	67	9437184
0	68	9437184
0	69	9437184
0	7	9437184
0	70	9437184
0	71	9437184
0	72	9437184
0	73	9437184
0	74	9437184
0	75	9437184
0	76	9437184
0	77	9437184
0	78	9437184
0	79	9437184
0	8	9437184
0	80	9437184
0	81	9437184
0	82	9437184
0	83	9437184
0	84	9437184
0	85	9437184
0	86	9437184
0	87	9437184
0	88	9437184
0	89	9437184
0	9	9437184
0	90	9437184
0	91	9437184
0	92	9437184
0	93	9437184
0	94	9437184
0	95	9437184
0	96	9437184
0	97	9437184
0	98	9437184
0	99	9437184
1	0	9437184
1	1	9437184
1	10	9437184
1	100	9437184
