stage_id	owner	tier	prerequisites	work	validation_tests	pass_condition	required_artifacts	failure_action
C15-0.1	ALL	SETUP	NONE	独立worktree及冻结authority	T00,T01,T23	branch和owner明确;输入固定;无受保护路径写入	ENV_PREFLIGHT.json;STAGE_STATUS.tsv	隔离不明worktree;只做安全读取
C15-0.2	A	T0	C15-0.1	已有模型与数据资产bootstrap	T00,T01	资产可追溯;未知型号不推断;bootstrap已发布	ASSET_INVENTORY.tsv;BOOTSTRAP_REGISTRY.tsv;EVIDENCE_LINEAGE.md	逐项标不可用;不阻塞工具开发
C15-0.3	B	CAPABILITY	C15-0.1	实际GPU工具权重能力盘点	T00,T07,T24	设备与环境实查;native可运行性不虚构	CAPABILITY_MATRIX.tsv;DEPLOYMENT_PREFLIGHT.tsv	无GPU走importer和fixture路径
C15-0.4	C	HISTORICAL	C15-0.1	C12/C13/C14及operator输入adapter	T00,T16,T17	冻结来源及索引一致;排除C13旧mode1	HISTORICAL_INPUTS.tsv;FIELD_OBSERVABILITY_AUDIT.tsv	隔离不合法来源;compact只用于支持范围
C15-1.1	A	T0	C15-0.2	候选覆盖计划和revision冻结	T01,T14	计划先于结果;目标8-12配置;模型与部署数分开	MODEL_SELECTION_PLAN.tsv	缺来源列明;不凑数
C15-1.2	A	T0	C15-1.1	有界config/index/header读取器	T02,T03,T21,T24	Range响应超限测试通过;元数据来源固定	METADATA_FETCH_RECEIPTS.tsv;HEADER_VALIDATION.tsv	拒绝整权重响应;有界重试
C15-1.3	A	T0	C15-1.2	量化Weight存储和共享核算	T03,T04	offset/storage去重一致;逻辑与packed分开	TENSOR_STORAGE_CATALOG.tsv;WEIGHT_STORAGE_BREAKDOWN.tsv;TENSOR_ALIAS_AUDIT.md	未知packing/repack留NA
C15-1.4	A	T0	C15-1.2	KV表示与rank-local容量适配	T05,T01	标准公式fixture精确;不支持表示显式拒绝	KV_REPRESENTATION_AUDIT.tsv;KV_CAPACITY_CURVES.tsv	MLA等缺证据不套通式
C15-1.5	A	T0	C15-1.3;C15-1.4	多页粒度静态指纹	T06,T01,T20	页数布局假设明确;并集及bytes同源闭合	MODEL_REGISTRY.tsv;DEPLOYMENT_MANIFEST.json;STATIC_FOOTPRINT.tsv	禁止将解析页数标真实miss
C15-1.6	A	PUBLISH	C15-1.5	静态库发布	T01,T21,T23	schema/hash/来源测试可再生;费用完整	PUBLISH_MANIFEST.json;COST_LEDGER.tsv;LATEST_REPORT.md	保留partial并标不足
C15-2.1	B	T1	C15-0.3	真实部署preflight与后端冻结	T07,T01,T24	本地权重和GPU支持;无silent fallback	DEPLOYMENT_MANIFEST.json;DEPLOYMENT_PREFLIGHT.tsv	不可运行部署降为静态或历史导入
C15-2.2	B	T1	C15-2.1	profiler及语义关联canary	T07,T08	无全SASS;事件关联可证;一个小canary通过	PROFILER_CANARY_RECEIPT.json;PROFILE_CONFIG.json	降低采集配置或替代现有工具
C15-2.3	B	T1	C15-2.2	无profile基线与开销重复	T08,T20	原生时间定义明确;开销目标10%;超限标perturbed	NATIVE_BASELINE.tsv;PROFILE_OVERHEAD.tsv	补有限重复或只保留语义目录
C15-2.4	B	T1	C15-2.2	模型算子kernel完整目录	T01,T08,T15	launch唯一;关联无猜测;原生与header-only隔离	KERNEL_CATALOG.tsv;CATALOG_COVERAGE.tsv	模糊语义保留UNKNOWN
