reference_id	repository_or_source	frozen_revision	path_or_identifier	purpose	read_policy
DESIGN_USER_APPROVED	user-approved Markdown	sha256:f2e5e6d0ba5c724e71f0c588dfc5da55e0506b53bcc4449ec367443908b10604	C15_低成本多模型TLB_Cache表征_调研与实施设计.md	本handoff的研究范围和C15-0至C15-5来源;本包已给完整执行规格	DESIGN_PROVENANCE_NOT_RUNTIME_FILE_DEPENDENCY
C12_FINAL	swayhrl/accel-sim-framework	a268aba0d01310294074ded5bb8017e2092394c0	docs/vm_tlb/review_packs/M4B_SPECULATIVE_DEVELOPMENT/C12_C5_FULL_ROI_FAIR_PERFORMANCE	22-arm正式校准数据;不新增回放	READ_ONLY_FIXED_COMMIT
C12_CORE	swayhrl/gpgpu-sim	57bb71ecd015b6ec0ab32e45b0815e5beaf69172	src/gpgpu-sim	历史模型语义审计;不改Core	READ_ONLY_FIXED_COMMIT
OPERATOR_FINAL	swayhrl/accel-sim-framework	8801f2e9fea4e0df1d79853a5e4440c4da463486	docs/vm_tlb/review_packs/M4B_SPECULATIVE_DEVELOPMENT/C12_OPERATOR_AWARE_CHARACTERIZATION	692/740索引和算子分类;KV语义边界	READ_ONLY_FIXED_COMMIT
OPERATOR_PARSER	swayhrl/accel-sim-framework	8801f2e9fea4e0df1d79853a5e4440c4da463486	util/vm_tlb/analyze_c12_operator_aware.py	显式cycle与累计counter保护;复用时只写C15私有输出	VENDOR_READ_ONLY_SOURCE_WITH_HASH
OPERATOR_DEEP_DIVE	swayhrl/accel-sim-framework	8801f2e9fea4e0df1d79853a5e4440c4da463486	docs/vm_tlb/review_packs/M4B_SPECULATIVE_DEVELOPMENT/C12_OPERATOR_AWARE_MECHANISM_DEEP_DIVE	历史机制响应/层校准;不能用响应选primary样本	READ_ONLY_EVALUATOR_INPUT
C13_CORRECTED	swayhrl/accel-sim-framework	9ab1e0708af66a533d9327f35f1a3e63a34c4285	docs/vm_tlb/review_packs/M4B_SPECULATIVE_DEVELOPMENT/C13_EFFECTIVE_CONFIG_AUDIT	仅EQ后mode0 SUPERSEDING_C13_RESULTS;旧9行禁止	READ_ONLY_RETROSPECTIVE_TEST
C14_CONTEXT	swayhrl/accel-sim-framework	d3ac4c7b12f8e9253e6d14f34e58dbf484b39a05	docs/vm_tlb/review_packs/M4B_SPECULATIVE_DEVELOPMENT/C14_DUAL_PATH_EXPLORATION	cold/full上下文偏差和局部proxy限制;旧full-ROI建议不继承	READ_ONLY_FIXED_COMMIT
CAPTURE_METADATA	swayhrl/accel-sim-framework	a268aba0d01310294074ded5bb8017e2092394c0	docs/vm_tlb/llm/METADATA_SCHEMA.md	SimVA/Weight flatten/KV UNKNOWN_ACTIVE;新V2不改历史	READ_ONLY_FIXED_COMMIT
CAPTURE_WORKLOAD	swayhrl/accel-sim-framework	a268aba0d01310294074ded5bb8017e2092394c0	util/llm_trace_capture/llama_tp_workload.py	已有采集适配入口;先实查再复用	READ_ONLY_SOURCE
TRACER_README	swayhrl/accel-sim-framework	a268aba0d01310294074ded5bb8017e2092394c0	util/tracer_nvbit/README.md	DYNAMIC_KERNEL_RANGE与CTA组织;实际binary必须canary验证	READ_ONLY_SOURCE_NOT_RUNTIME_PROOF
TRACE_DECODER	swayhrl/accel-sim-framework	a268aba0d01310294074ded5bb8017e2092394c0	util/llm_trace_capture/analyze_trace_address_coverage.py	现有地址解码参考;B/C私有vendor与fixtures验证	READ_ONLY_SOURCE
PREFILL_LIST	C12 frozen trace-list	sha256:a40d6832219e5b0a6232875bb181754ac121bb5f867c9b13c84370e2a2cb6e6f	692 compute-only entries	列表身份不等于所有trace字节hash	LOCATE_VIA_SOURCE_MANIFEST
DECODE_LIST	C12 frozen trace-list	sha256:b6c42eb1932fcacefc2429b91a2015d38003a764a5319fe4bcbaf65b3d0cd0dc	740 compute-only entries	列表身份不等于所有trace字节hash	LOCATE_VIA_SOURCE_MANIFEST
DESIGN_METHOD_REFERENCES	approved design bibliography	RESEARCH_MOTIVATION_ONLY	PKA;Sieve;Photon;STEM+ROOT;SHARDS;Vidur;LLMCompass	借鉴分层/轻量目录/有界局部性统计;不继承论文误差和加速保证	NO_EXTERNAL_ARTIFACT_INSTALL_REQUIRED
