artifact	result	path
cold clean Core+Framework build	PASS	/tmp/m2d-runtime-memory/D5_FINAL_CLEAN_BUILD.log
M1 directed regression	PASS	/tmp/m2d-runtime-memory/D5_POSTFIX_M1_DIRECTED.log
G2-1 directed regression	PASS	/tmp/m2d-runtime-memory/D5_POSTFIX_G2_1.log
G2-2 directed regression	PASS	/tmp/m2d-runtime-memory/D5_POSTFIX_G2_2.log
G2-3 directed regression	PASS	/tmp/m2d-runtime-memory/D5_POSTFIX_G2_3.log
G2-4 directed regression	PASS	/tmp/m2d-runtime-memory/D5_POSTFIX_G2_4_DIRECTED.log
M1 disabled/ideal normalized diff	PASS	/tmp/m2d-runtime-memory/D5_POSTFIX_M1_TRANSPARENCY.diff
G2-4 one-kernel functional replay	PASS	/tmp/m2d-runtime-memory/D6_FINAL_FUNCTIONAL_ONE_KERNEL.log
LUD functional smoke	PASS	/tmp/m2d-runtime-memory/G2C_LUD_FUNCTIONAL.log
BFS functional irregular smoke	PASS	/tmp/m2d-runtime-memory/G2C_BFS_FUNCTIONAL.log
BFS L2=1 sensitivity	PASS	/tmp/m2d-runtime-memory/G2C_BFS_L2_1.log
BFS MSHR=1 sensitivity	PASS	/tmp/m2d-runtime-memory/G2C_BFS_MSHR_1.log
BFS walkers=1 sensitivity	PASS	/tmp/m2d-runtime-memory/G2C_BFS_WALKERS_1.log
BFS walk latency=50 sensitivity	PASS	/tmp/m2d-runtime-memory/G2C_BFS_LATENCY_50.log
