workload	frozen_authority_sha256	b16_source_log	b16_stdout_sha256	io_source_log	io_stdout_sha256	oo_source_log	oo_stdout_sha256	tc80_run_dir	tc80_stdout_sha256	tc80_validation_sha256
ATAX	662d8973a5ff34e6039a7823b4417ba8be38bd5b13348aa779defa1356837a62	/workspace/fast64-repaired-ramp3/fast64_atax_base_core95ccdb7a_a1_r1/simulator.stdout	cd2d9a9190d160944980356c383c90c36a4adf3340bf4c16ff86422daf7e7323	/workspace/fast64-repaired-ramp3/fast64_atax_io_core95ccdb7a_a1_r1/simulator.stdout	14b18862709790d3a690520f7bca57b90005dcfb15e2e074ed565443fac7f68a	/workspace/fast64-repaired-ramp/fast64_atax_oo_core95ccdb7a_a1_r1/simulator.stdout	6e51684d10e70aaf234ea60bdb2a005cdae573d5c42a8b181e15bae006fe4208	/workspace/tc80-capacity-matched-runs/cm3_1_ATAX_3c0ada1f-aae1-4caf-aaa8-95eb04b259ba	d610dbed844711f06527d39b32c17b1e06f60a9e53ec3a0eac199e9622bceee6	50a2c21f2d737f931b56c72f8a01e43b041ff821b3cf3c5664b4acaed9ec57ec
BICG	662d8973a5ff34e6039a7823b4417ba8be38bd5b13348aa779defa1356837a62	/workspace/fast64-repaired-ramp2/fast64_bicg_base_core95ccdb7a_a1_r1/simulator.stdout	cd4c5085f872c9c202941daf999efe5a987b402924d905b880f56051c40da39e	/workspace/fast64-repaired-ramp2/fast64_bicg_io_core95ccdb7a_a1_r1/simulator.stdout	0612ae463e2548a11ec7b3328f95d9463a83b406ca4de29f7b09dd400922bb48	/workspace/fast64-repaired-ramp2/fast64_bicg_oo_core95ccdb7a_a1_r1/simulator.stdout	be99312c6ae207d0533c80a3912a6f93ccd7a2447d6d3837a6d689ce159b8a77	/workspace/tc80-capacity-matched-runs/cm3_2_BICG_a138a01b-1e85-4c7e-921e-5f15e92fd74f	71e832e3921c52dd1ebb82aafe53944ec9beca56d5f51cbd6fe83658e36613ad	3e658e3519769791d302e07cefb083f18146dbc2956a44862fdc7b746754d699
GESUMMV	662d8973a5ff34e6039a7823b4417ba8be38bd5b13348aa779defa1356837a62	/workspace/fast64-repaired-ramp2/fast64_gesummv_base_core95ccdb7a_a1_r1/simulator.stdout	a168fe4a40078b432cdaf3b819506d430bcb346b4091a6c661ad40f0ff571ac5	/workspace/fast64-repaired-ramp3/fast64_gesummv_io_core95ccdb7a_a1_r1/simulator.stdout	c40eb836cb8f1cd296af39bc9db8b0949c6e30df8059dc6cf076e41b1b8e09c7	/workspace/fast64-repaired-ramp/fast64_gesummv_oo_core95ccdb7a_a1_r1/simulator.stdout	5974a4c4fd9256a65784216adabfb4a1a1c5af169aac8c712968aeefb1798fc4	/workspace/tc80-capacity-matched-runs/cm3_3_GESUMMV_22e02be8-8037-4c67-9076-66a32185c4b7	ecea79a22fbd117c94aa8fe4752caeec803e0b3d58a514f3bb66129ae4b03ba5	a72a21e3a57813c62912fa0694714d74c2ed82621db9b2a2d7cfad0cbdfeb1c1
GEMM	662d8973a5ff34e6039a7823b4417ba8be38bd5b13348aa779defa1356837a62	/workspace/fast64-runs/fast64_3_precomputed_gemm_base_cap8192_a1_r2/simulator.stdout	272ad1b68025be2eddddaf5d06b736668eb32faa90e250841d27a714d4ca3a8e	/workspace/fast64-runs/fast64_4_gemm_io_cap8192_a1_v3/simulator.stdout	7a1af9c52e6293520edbcb04e6b49c6c804d52054281528957311f3d6c05adfc	/workspace/fast64-runs/fast64_4_gemm_oo_cap8192_a1_v3/simulator.stdout	e280719fd1929d50e2cdd22527e7849e6f4959261d85115838a6137a27f9d2b6	/workspace/tc80-capacity-matched-runs/cm3_4_GEMM_488e7517-276e-46e3-b45c-ad2579d5e0f4	4c112c9a4a466d91b64331145739b116b9e881300882367f452fd2255cb6a3b4	fcf0cd879bd1252c5c943c61afff595f51dfaaac6364d96a2b7b2e33e6403c0e
2DConvolution	662d8973a5ff34e6039a7823b4417ba8be38bd5b13348aa779defa1356837a62	/workspace/fast64-stage3-tag-identity-repair-v2/fast64_3_2DConvolution_base_core6587238c_a1_v1/simulator.stdout	88ba0fd41f8d7160f8ee745917f0b4384ec653c7ea17a95ba4da36045f17fec5	/workspace/fast64-primary-r4-cap-recovery/fast64_4_2DConvolution_io_cap16384_core658_a1_v1/simulator.stdout	6f85aec3eff2e701e2f992c3fba95558d4a4aeb29aa87490a7ec644b11355430	/workspace/fast64-primary-r4-tag-identity-v2/fast64_4_primary_2DConvolution_oo_core6587238c_a1_v1/simulator.stdout	6c6c2285dbb906854d2df956a1bb744860d8434ebb70ae2a3c77436b05d11123	/workspace/tc80-capacity-matched-runs/cm3_5_2DConvolution_9d0a449a-83fe-4277-8a27-ea5cdbc232b4	2634742cdc5a037eec306758ad61c4ef289fc452a54df4c4fbeef6feff09d50a	dd478ef6b846dcc92b561efe3f6621e76a21bde2c5d7bb4c52b5853fdeb2d535
Btree	662d8973a5ff34e6039a7823b4417ba8be38bd5b13348aa779defa1356837a62	/workspace/fast64-repaired-ramp/fast64_btree_base_core95ccdb7a_a1_r1/simulator.stdout	887bd9cbdf008abc318273196e77a1e874d95f8516f1d582998ec93d87e8a712	/workspace/fast64-repaired-ramp/fast64_btree_io_core95ccdb7a_a1_r1/simulator.stdout	c574cb8565c9aed79c91ba95b051d3119c2b4bc1c41f1390de9c22cac7b9adc9	/workspace/fast64-repaired-ramp/fast64_btree_oo_core95ccdb7a_a1_r1/simulator.stdout	01f2d8d1215c26f13c337af4a3f9cac552769c41830126838e57dc4a65782ed9	/workspace/tc80-capacity-matched-runs/cm3_6_Btree_7c7a9f79-3981-4292-948c-e16fab322153	2f85964458ca206511c235dffe0ae3df78a0d31f0859f2c5edf7fbec8c96a806	41cda80630d5802f6533e15a3eed2170db72f123428b97d5bd7d1af31a28dddf
DWT2D	662d8973a5ff34e6039a7823b4417ba8be38bd5b13348aa779defa1356837a62	/workspace/fast64-runs/fast64_3_precomputed_dwt2d_base_cap8192_a1_r2/simulator.stdout	1fb004cbe294194c29cfa317c8776289488fc9a63f1afea6fff9b462dccf3af3	/workspace/fast64-runs/fast64_4_dwt2d_io_cap8192_a1_v3/simulator.stdout	fff2a0770802cf0b9f554c9e331314a9f145e34927e3b0927efc40266495af3e	/workspace/fast64-runs/fast64_4_dwt2d_oo_cap8192_a1_v3/simulator.stdout	3cb415e2f97db386990d8d7d21cd43e3ffaee54ebe477b4211e5fa61b93c5f69	/workspace/tc80-capacity-matched-runs/cm3_7_DWT2D_86420b43-03ff-4d6a-8f97-dbb8582cc0e7	590e85f339f17860b0e7840c1665e4ef597c53f59a4798fc6fc614adbcb00735	a2643195b2c327ccf3b9353f22f64b3a869d7712bd13cb24020f45a9b9e37559
Gaussian	662d8973a5ff34e6039a7823b4417ba8be38bd5b13348aa779defa1356837a62	/workspace/fast64-primary-r4-cap-recovery/fast64_4_Gaussian_base_cap16384_core95_a1_v1/simulator.stdout	b794eeaddaeeba8671141c7b2a763f1a84c931697c00e53acae0261d8796f98b	/workspace/fast64-primary-r4-cap-recovery/fast64_4_Gaussian_io_cap16384_core95_a1_v1/simulator.stdout	4e85aaae7bca07b05f6a9bb4b78eb78252b0cfef84ac6046969e6febc15f5407	/workspace/fast64-primary-r4-cap-recovery/fast64_4_Gaussian_oo_cap16384_core95_a1_v1/simulator.stdout	a835837f0114acccc61c07e1a241f9a79aa776a4b2ed6539ed693ef3c66d34cc	/workspace/tc80-capacity-matched-runs/cm3_8_Gaussian_8575c5c4-fbca-47f1-8c4b-a44c12f0c7b7	24ae67c58515b70415299b0f006bfe134c3c2505223ac7bf7037a9858754c1e8	4ca26b7a713349e27d6dbd6f8cef578ca2f117c91a266a1d9608b89e6054d716
Hotspot1	662d8973a5ff34e6039a7823b4417ba8be38bd5b13348aa779defa1356837a62	/workspace/fast64-repair-formal/fast64_hotspot1_base_core95ccdb7a_a1_v1/simulator.stdout	74670a02ef22cee03ba2d42b16f0ece327e23b77414c65aa470c8a39b2fabcf4	/workspace/fast64-primary-r4-cap-recovery/fast64_4_Hotspot1_io_cap32768_core95_a1_v1/simulator.stdout	c90bb3346dd905fa211f38beba52bbd4d85c58cff90947a14bbc5242ad63a12b	/workspace/fast64-primary-r4-cap-recovery/fast64_4_Hotspot1_oo_cap32768_core95_a1_v1/simulator.stdout	6fb016812a87bf98474ba127b9545ef943dfcfc232b97a9fc23de0b69d758322	/workspace/tc80-capacity-matched-runs/cm3_9_Hotspot1_a39e0994-0a10-403e-ab42-62819a9484c0	30f2fbf7fd6b9d4c72b2048f4e204a870ab8bfb53d3cd3f6be1698eeedde2971	4954e9bdfb604518c3a5e1c3c56f53cedb8120839a7b15e4d5b75cc09647cc0c
LUD	662d8973a5ff34e6039a7823b4417ba8be38bd5b13348aa779defa1356837a62	/workspace/fast64-primary-r4-cap-recovery/fast64_4_LUD_base_cap16384_core95_a1_v1/simulator.stdout	0a44e692398f3c49f40f2be0dbbd8856ec54de1f1150479a4e17887e76037af9	/workspace/fast64-primary-r4-cap-recovery/fast64_4_LUD_io_cap16384_core95_a1_v1/simulator.stdout	8f3b56acc7004a482aec624c90411cac98bdb51326c58e3d5e561d7535241589	/workspace/fast64-primary-r4-cap-recovery/fast64_4_LUD_oo_cap16384_core95_a1_v1/simulator.stdout	5dc714fa523d12b98ad4baac8be740d4624bd56ef0a6c3b5dec4964a6cce605c	/workspace/tc80-capacity-matched-runs/cm3_10_LUD_f57c4cf1-6671-45fe-814c-1d56b125c64b	c20d63f8832e94780d5aaa748da8c431ee314abc0ba0923b8e7c4444bad97aa9	319bcf604d2a24df2095e7518b87b08e6199796943c0a38d35c482f26db72e2b
NN	662d8973a5ff34e6039a7823b4417ba8be38bd5b13348aa779defa1356837a62	/workspace/fast64-repaired-ramp3/fast64_3_nn_base_core95ccdb7a_a1_v1/simulator.stdout	1fe386053fe3e92315cc5242172acf99091c3807d782dc9c79a5f2f97fb9871a	/workspace/fast64-primary-r4/fast64_4_primary_nn_io_core95ccdb7a_a1_v1/simulator.stdout	d5359e2f1db90e7e84d7043d08d2f959639aab04b474061bda86904fa6a60c84	/workspace/fast64-primary-r4/fast64_4_primary_nn_oo_core95ccdb7a_a1_v1/simulator.stdout	92aa7483c8cfc387e4d554f856af50055c519621735b616728dcc55fd12a9835	/workspace/tc80-capacity-matched-runs/cm3_11_NN_ce3befeb-01c3-4e29-9d55-47f2d0a1c5a3	863eeb985df9755811c5c8650a956f2fbdd235951b25e9dbe944d93bf5373da5	0ee17acc971c7fdc92c5dc873f11dbb63689019e905bdf30af2e12d41a1b95d9
