ordinal	workload	instructions	trace_list	trace_list_sha256	trace_member_count	trace_total_bytes	trace_member_manifest_sha256	b16_cycles	io_cycles	oo_cycles	b16_source_log	b16_source_stdout_sha256	io_source_log	io_source_stdout_sha256	oo_source_log	oo_source_stdout_sha256	run_core_sha	runtime_path	runtime_sha256	frozen_framework_sha	frozen_b16_config_sha256	frozen_trace_config_sha256	selection_reason
1	ATAX	145666048	/workspace/worktrees/accel-sim-decoupled-l2/hw_run/c2p-polybench-full-20260821/polybench/11.0/polybench-atax/NO_ARGS/traces/kernelslist.g	b6dcd0e3807bd71449d2283f97ba43a91868cb761e7b4924dd3d3063340a94ba	2	238280936	7f2f8fa96fe6ab88a3b5ff04f0cb344cb22a3189bf15a0922dbe1b88d35ffb5d	87750512	88363340	48078114	/workspace/fast64-repaired-ramp3/fast64_atax_base_core95ccdb7a_a1_r1/simulator.stdout	cd2d9a9190d160944980356c383c90c36a4adf3340bf4c16ff86422daf7e7323	/workspace/fast64-repaired-ramp3/fast64_atax_io_core95ccdb7a_a1_r1/simulator.stdout	14b18862709790d3a690520f7bca57b90005dcfb15e2e074ed565443fac7f68a	/workspace/fast64-repaired-ramp/fast64_atax_oo_core95ccdb7a_a1_r1/simulator.stdout	6e51684d10e70aaf234ea60bdb2a005cdae573d5c42a8b181e15bae006fe4208	95ccdb7a056f2d53f740d90869785cac6d4ee0f5	/tmp/dtc-fast64-zero-access-formal-95ccdb7a/accel-sim.out	462d105cf28efe98a8a20131fd671f3d28ad374a3e4b5448a597df702cc4dbc9	037f008b330eb230353b60edf126d6be9f45afdc	1a016e3cac65376330a92dd3fcf037d5fdcab5e7d295920be568e04600dd1cde	19dd14b3a4b6c1a1cb2833bd091f0dbd485ad79336ef7d4b0c9db1f7c46f504e	Frozen formal Core95 conventional Base path; its zero-access change is IO/OO-only.
2	BICG	145666048	/workspace/worktrees/accel-sim-decoupled-l2/hw_run/c2p-polybench-full-20260821/polybench/11.0/polybench-bicg/NO_ARGS/traces/kernelslist.g	388740a7be05d5596ffb77ff3f4812ff93f41afa0ee5082c1e179745cf5e0a4b	2	238281448	c42f02f628aced78847c3445f662f7023c70aaa4494ef3f5abb1df516f85dfa8	88495620	93942704	47231655	/workspace/fast64-repaired-ramp2/fast64_bicg_base_core95ccdb7a_a1_r1/simulator.stdout	cd4c5085f872c9c202941daf999efe5a987b402924d905b880f56051c40da39e	/workspace/fast64-repaired-ramp2/fast64_bicg_io_core95ccdb7a_a1_r1/simulator.stdout	0612ae463e2548a11ec7b3328f95d9463a83b406ca4de29f7b09dd400922bb48	/workspace/fast64-repaired-ramp2/fast64_bicg_oo_core95ccdb7a_a1_r1/simulator.stdout	be99312c6ae207d0533c80a3912a6f93ccd7a2447d6d3837a6d689ce159b8a77	95ccdb7a056f2d53f740d90869785cac6d4ee0f5	/tmp/dtc-fast64-zero-access-formal-95ccdb7a/accel-sim.out	462d105cf28efe98a8a20131fd671f3d28ad374a3e4b5448a597df702cc4dbc9	037f008b330eb230353b60edf126d6be9f45afdc	1a016e3cac65376330a92dd3fcf037d5fdcab5e7d295920be568e04600dd1cde	19dd14b3a4b6c1a1cb2833bd091f0dbd485ad79336ef7d4b0c9db1f7c46f504e	Frozen formal Core95 conventional Base path; its zero-access change is IO/OO-only.
3	GESUMMV	190918656	/workspace/worktrees/accel-sim-decoupled-l2/hw_run/c2p-polybench-full-20260821/polybench/11.0/polybench-gesummv/NO_ARGS/traces/kernelslist.g	ed0da283145c822bb1b9fc13c78fe41088b43478b706fcb17d078d83111044a8	1	316381690	50d7edf900048468bb8a8b94f17d2f9262e363513085896f6cb75b686132f71a	194986098	210667785	143059605	/workspace/fast64-repaired-ramp2/fast64_gesummv_base_core95ccdb7a_a1_r1/simulator.stdout	a168fe4a40078b432cdaf3b819506d430bcb346b4091a6c661ad40f0ff571ac5	/workspace/fast64-repaired-ramp3/fast64_gesummv_io_core95ccdb7a_a1_r1/simulator.stdout	c40eb836cb8f1cd296af39bc9db8b0949c6e30df8059dc6cf076e41b1b8e09c7	/workspace/fast64-repaired-ramp/fast64_gesummv_oo_core95ccdb7a_a1_r1/simulator.stdout	5974a4c4fd9256a65784216adabfb4a1a1c5af169aac8c712968aeefb1798fc4	95ccdb7a056f2d53f740d90869785cac6d4ee0f5	/tmp/dtc-fast64-zero-access-formal-95ccdb7a/accel-sim.out	462d105cf28efe98a8a20131fd671f3d28ad374a3e4b5448a597df702cc4dbc9	037f008b330eb230353b60edf126d6be9f45afdc	1a016e3cac65376330a92dd3fcf037d5fdcab5e7d295920be568e04600dd1cde	19dd14b3a4b6c1a1cb2833bd091f0dbd485ad79336ef7d4b0c9db1f7c46f504e	Frozen formal Core95 conventional Base path; its zero-access change is IO/OO-only.
4	GEMM	739246080	/workspace/worktrees/accel-sim-decoupled-l2/hw_run/c2p-polybench-full-20260821/polybench/11.0/polybench-gemm/NO_ARGS/traces/kernelslist.g	fd9a9430fc95eb0af4c73b9710db271f8e32bff4ea2f5dd08a4e8e17c9b02057	1	1110675117	ed445dd5115841ab2aeb934f003716aef0137cace5a091bad8e3931081f65109	2662394	1488845	1396643	/workspace/fast64-runs/fast64_3_precomputed_gemm_base_cap8192_a1_r2/simulator.stdout	272ad1b68025be2eddddaf5d06b736668eb32faa90e250841d27a714d4ca3a8e	/workspace/fast64-runs/fast64_4_gemm_io_cap8192_a1_v3/simulator.stdout	7a1af9c52e6293520edbcb04e6b49c6c804d52054281528957311f3d6c05adfc	/workspace/fast64-runs/fast64_4_gemm_oo_cap8192_a1_v3/simulator.stdout	e280719fd1929d50e2cdd22527e7849e6f4959261d85115838a6137a27f9d2b6	95ccdb7a056f2d53f740d90869785cac6d4ee0f5	/tmp/dtc-fast64-zero-access-formal-95ccdb7a/accel-sim.out	462d105cf28efe98a8a20131fd671f3d28ad374a3e4b5448a597df702cc4dbc9	037f008b330eb230353b60edf126d6be9f45afdc	1a016e3cac65376330a92dd3fcf037d5fdcab5e7d295920be568e04600dd1cde	19dd14b3a4b6c1a1cb2833bd091f0dbd485ad79336ef7d4b0c9db1f7c46f504e	Frozen formal Core95 conventional Base path; its zero-access change is IO/OO-only.
5	2DConvolution	620347492	/workspace/worktrees/accel-sim-decoupled-l2/hw_run/c2p-polybench-full-20260821/polybench/11.0/polybench-2DConvolution/NO_ARGS/traces/kernelslist.g	23bcc08b04d82fc527ffc1365d3199f4d1f3057bf6a2705d1110c5c226227d64	1	840990934	88bd288fd83497a2afdf1bb762ce071e365382b2a933764f63521cf3ce56a6e8	2247155	627281	593208	/workspace/fast64-stage3-tag-identity-repair-v2/fast64_3_2DConvolution_base_core6587238c_a1_v1/simulator.stdout	88ba0fd41f8d7160f8ee745917f0b4384ec653c7ea17a95ba4da36045f17fec5	/workspace/fast64-primary-r4-cap-recovery/fast64_4_2DConvolution_io_cap16384_core658_a1_v1/simulator.stdout	6f85aec3eff2e701e2f992c3fba95558d4a4aeb29aa87490a7ec644b11355430	/workspace/fast64-primary-r4-tag-identity-v2/fast64_4_primary_2DConvolution_oo_core6587238c_a1_v1/simulator.stdout	6c6c2285dbb906854d2df956a1bb744860d8434ebb70ae2a3c77436b05d11123	6587238c60214d99491f4048e28ce8a3458c1509	/tmp/dtc-fast64-2d-reserved-tag-repair-v1/accel-sim.out	29a3dd9f57a5accb89822ca3fcf06b11c437bfe864ee43d2ff5f26c8c056f3c1	037f008b330eb230353b60edf126d6be9f45afdc	1a016e3cac65376330a92dd3fcf037d5fdcab5e7d295920be568e04600dd1cde	19dd14b3a4b6c1a1cb2833bd091f0dbd485ad79336ef7d4b0c9db1f7c46f504e	Required repaired conventional-MSHR Core658 identity for the frozen 2DConvolution path.
6	Btree	444467849	/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/rodinia-first-batch/rodinia-3.1/9.1/b+tree-rodinia-3.1/file___data_mil_txt_command___data_command_txt/traces/kernelslist.g	26315d4ae044e91094d54134ec94e25d70fd4eda8c0fe01767bc2a9437d73467	2	809709439	c0146aad012181e7d066b013a43a88f8ca3b4deaf36452cc9f8da64892748aa1	369977	244231	172795	/workspace/fast64-repaired-ramp/fast64_btree_base_core95ccdb7a_a1_r1/simulator.stdout	887bd9cbdf008abc318273196e77a1e874d95f8516f1d582998ec93d87e8a712	/workspace/fast64-repaired-ramp/fast64_btree_io_core95ccdb7a_a1_r1/simulator.stdout	c574cb8565c9aed79c91ba95b051d3119c2b4bc1c41f1390de9c22cac7b9adc9	/workspace/fast64-repaired-ramp/fast64_btree_oo_core95ccdb7a_a1_r1/simulator.stdout	01f2d8d1215c26f13c337af4a3f9cac552769c41830126838e57dc4a65782ed9	95ccdb7a056f2d53f740d90869785cac6d4ee0f5	/tmp/dtc-fast64-zero-access-formal-95ccdb7a/accel-sim.out	462d105cf28efe98a8a20131fd671f3d28ad374a3e4b5448a597df702cc4dbc9	037f008b330eb230353b60edf126d6be9f45afdc	1a016e3cac65376330a92dd3fcf037d5fdcab5e7d295920be568e04600dd1cde	19dd14b3a4b6c1a1cb2833bd091f0dbd485ad79336ef7d4b0c9db1f7c46f504e	Frozen formal Core95 conventional Base path; its zero-access change is IO/OO-only.
7	DWT2D	148684429	/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/rodinia-first-batch/rodinia-3.1/9.1/dwt2d-rodinia-3.1/__data_rgb_bmp__d_1024x1024__f__5__l_3/traces/kernelslist.g	337087fedad435cd92cbd7e0f962f90d567ec9e77038fd8150977b7c6beb7164	10	423214689	44763711a37ef00a2f12f351652faeec271b8e758d720a38ae46063ba26ee8f6	344119	241380	234651	/workspace/fast64-runs/fast64_3_precomputed_dwt2d_base_cap8192_a1_r2/simulator.stdout	1fb004cbe294194c29cfa317c8776289488fc9a63f1afea6fff9b462dccf3af3	/workspace/fast64-runs/fast64_4_dwt2d_io_cap8192_a1_v3/simulator.stdout	fff2a0770802cf0b9f554c9e331314a9f145e34927e3b0927efc40266495af3e	/workspace/fast64-runs/fast64_4_dwt2d_oo_cap8192_a1_v3/simulator.stdout	3cb415e2f97db386990d8d7d21cd43e3ffaee54ebe477b4211e5fa61b93c5f69	95ccdb7a056f2d53f740d90869785cac6d4ee0f5	/tmp/dtc-fast64-zero-access-formal-95ccdb7a/accel-sim.out	462d105cf28efe98a8a20131fd671f3d28ad374a3e4b5448a597df702cc4dbc9	037f008b330eb230353b60edf126d6be9f45afdc	1a016e3cac65376330a92dd3fcf037d5fdcab5e7d295920be568e04600dd1cde	19dd14b3a4b6c1a1cb2833bd091f0dbd485ad79336ef7d4b0c9db1f7c46f504e	Frozen formal Core95 conventional Base path; its zero-access change is IO/OO-only.
8	Gaussian	283685120	/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/rodinia-first-batch/rodinia-3.1/9.1/gaussian-rodinia-3.1/_s_256/traces/kernelslist.g	6dc7caba6733657293e8c517467bac28890ae4eb97c732ffd245d7fd1c479fb9	510	877461403	5be2a3c7457b341afa54ca884b572aa8ee840fdeb18fb8d7a336de78f997534a	4229815	3817538	3820325	/workspace/fast64-primary-r4-cap-recovery/fast64_4_Gaussian_base_cap16384_core95_a1_v1/simulator.stdout	b794eeaddaeeba8671141c7b2a763f1a84c931697c00e53acae0261d8796f98b	/workspace/fast64-primary-r4-cap-recovery/fast64_4_Gaussian_io_cap16384_core95_a1_v1/simulator.stdout	4e85aaae7bca07b05f6a9bb4b78eb78252b0cfef84ac6046969e6febc15f5407	/workspace/fast64-primary-r4-cap-recovery/fast64_4_Gaussian_oo_cap16384_core95_a1_v1/simulator.stdout	a835837f0114acccc61c07e1a241f9a79aa776a4b2ed6539ed693ef3c66d34cc	95ccdb7a056f2d53f740d90869785cac6d4ee0f5	/tmp/dtc-fast64-zero-access-formal-95ccdb7a/accel-sim.out	462d105cf28efe98a8a20131fd671f3d28ad374a3e4b5448a597df702cc4dbc9	037f008b330eb230353b60edf126d6be9f45afdc	1e9014102974172ee93879c272e667f65f80607f95a05da231d3dc633cafc2fc	19dd14b3a4b6c1a1cb2833bd091f0dbd485ad79336ef7d4b0c9db1f7c46f504e	Frozen formal Core95 conventional Base path; its zero-access change is IO/OO-only.
9	Hotspot1	377291004	/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/rodinia-first-batch/rodinia-3.1/9.1/hotspot-rodinia-3.1/1024_2_2___data_temp_1024___data_power_1024_output_out/traces/kernelslist.g	a731bfc2cbb90b51888e92f3fb188ff4fceb123612a7b1ceb1817bc752e89461	1	1041309456	f62d7a490808c61c8299091edd18a87917fd2ad98c4208ce0d1418daa9fb8c5b	160486	85633	84173	/workspace/fast64-repair-formal/fast64_hotspot1_base_core95ccdb7a_a1_v1/simulator.stdout	74670a02ef22cee03ba2d42b16f0ece327e23b77414c65aa470c8a39b2fabcf4	/workspace/fast64-primary-r4-cap-recovery/fast64_4_Hotspot1_io_cap32768_core95_a1_v1/simulator.stdout	c90bb3346dd905fa211f38beba52bbd4d85c58cff90947a14bbc5242ad63a12b	/workspace/fast64-primary-r4-cap-recovery/fast64_4_Hotspot1_oo_cap32768_core95_a1_v1/simulator.stdout	6fb016812a87bf98474ba127b9545ef943dfcfc232b97a9fc23de0b69d758322	95ccdb7a056f2d53f740d90869785cac6d4ee0f5	/tmp/dtc-fast64-zero-access-formal-95ccdb7a/accel-sim.out	462d105cf28efe98a8a20131fd671f3d28ad374a3e4b5448a597df702cc4dbc9	037f008b330eb230353b60edf126d6be9f45afdc	1a016e3cac65376330a92dd3fcf037d5fdcab5e7d295920be568e04600dd1cde	19dd14b3a4b6c1a1cb2833bd091f0dbd485ad79336ef7d4b0c9db1f7c46f504e	Frozen formal Core95 conventional Base path; its zero-access change is IO/OO-only.
10	LUD	184963840	/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/rodinia-first-batch/rodinia-3.1/9.1/lud-rodinia-3.1/_i___data_512_dat/traces/kernelslist.g	6bf8f1fd5951793b1b2c563ee13203591e3d53d5985d4d1d6e3b5cf8f64a39e0	94	1515997918	59f59f4d43d7534927936fa8a6dfbd0fdd12f675084686631ed6536c01ea0277	1113878	1091487	1087849	/workspace/fast64-primary-r4-cap-recovery/fast64_4_LUD_base_cap16384_core95_a1_v1/simulator.stdout	0a44e692398f3c49f40f2be0dbbd8856ec54de1f1150479a4e17887e76037af9	/workspace/fast64-primary-r4-cap-recovery/fast64_4_LUD_io_cap16384_core95_a1_v1/simulator.stdout	8f3b56acc7004a482aec624c90411cac98bdb51326c58e3d5e561d7535241589	/workspace/fast64-primary-r4-cap-recovery/fast64_4_LUD_oo_cap16384_core95_a1_v1/simulator.stdout	5dc714fa523d12b98ad4baac8be740d4624bd56ef0a6c3b5dec4964a6cce605c	95ccdb7a056f2d53f740d90869785cac6d4ee0f5	/tmp/dtc-fast64-zero-access-formal-95ccdb7a/accel-sim.out	462d105cf28efe98a8a20131fd671f3d28ad374a3e4b5448a597df702cc4dbc9	037f008b330eb230353b60edf126d6be9f45afdc	1e9014102974172ee93879c272e667f65f80607f95a05da231d3dc633cafc2fc	19dd14b3a4b6c1a1cb2833bd091f0dbd485ad79336ef7d4b0c9db1f7c46f504e	Frozen formal Core95 conventional Base path; its zero-access change is IO/OO-only.
