workload	tc80_over_b16	io_over_b16	oo_over_b16	io_over_tc80	oo_over_tc80
ATAX	2.808201051301	0.993064680443	1.825165438062	0.353630193245	0.649941156178
BICG	3.121080645662	0.942016955356	1.873650626894	0.301823971343	0.600321119385
GESUMMV	2.220962703573	0.925562007499	1.362971035744	0.416739104178	0.613684792433
GEMM	1.249258743634	1.788227787312	1.906280989487	1.431431075767	1.525929675658
2DConvolution	1.416958824642	3.582373768694	3.788140079028	2.528213033712	2.673429893056
Btree	1.156141995563	1.514865025324	2.141132555919	1.310275927298	1.851963309124
DWT2D	1.015495709244	1.425631783909	1.466514099663	1.403877703207	1.444136185228
Gaussian	1.247600549794	1.107995519625	1.107187215747	0.888101179346	0.887453292586
Hotspot1	1.507094762741	1.874113951397	1.906620887933	1.243527612019	1.265096883799
LUD	1.024200066387	1.020514215927	1.023927033991	0.996401239777	0.999733418884
NN	1.000000000000	1.146021328958	1.144144144144	1.146021328958	1.144144144144
MRI-Q	0.999893647772	1.017005236648	1.014531770956	1.017113408924	1.014639680146
