ordinal	workload	attempt_uuid	run_dir	geometry	core_source_head	runner_sha256	runtime_sha256	trace_list_sha256	trace_member_manifest_sha256	instructions	cycles	natural_exit	strict_validation_sha256	disposition
1	ATAX	3c0ada1f-aae1-4caf-aaa8-95eb04b259ba	/workspace/tc80-capacity-matched-runs/cm3_1_ATAX_3c0ada1f-aae1-4caf-aaa8-95eb04b259ba	32x20x128=640_lines=81920_bytes	95ccdb7a056f2d53f740d90869785cac6d4ee0f5	06b22f4f911cb0a3d6b7067bfc7b54426a2f92c4d23412cd3397b3e7355b6926	462d105cf28efe98a8a20131fd671f3d28ad374a3e4b5448a597df702cc4dbc9	b6dcd0e3807bd71449d2283f97ba43a91868cb761e7b4924dd3d3063340a94ba	7f2f8fa96fe6ab88a3b5ff04f0cb344cb22a3189bf15a0922dbe1b88d35ffb5d	145666048	31247945	0	50a2c21f2d737f931b56c72f8a01e43b041ff821b3cf3c5664b4acaed9ec57ec	ACCEPTED_STRICT_PASS
2	BICG	a138a01b-1e85-4c7e-921e-5f15e92fd74f	/workspace/tc80-capacity-matched-runs/cm3_2_BICG_a138a01b-1e85-4c7e-921e-5f15e92fd74f	32x20x128=640_lines=81920_bytes	95ccdb7a056f2d53f740d90869785cac6d4ee0f5	06b22f4f911cb0a3d6b7067bfc7b54426a2f92c4d23412cd3397b3e7355b6926	462d105cf28efe98a8a20131fd671f3d28ad374a3e4b5448a597df702cc4dbc9	388740a7be05d5596ffb77ff3f4812ff93f41afa0ee5082c1e179745cf5e0a4b	c42f02f628aced78847c3445f662f7023c70aaa4494ef3f5abb1df516f85dfa8	145666048	28354160	0	3e658e3519769791d302e07cefb083f18146dbc2956a44862fdc7b746754d699	ACCEPTED_STRICT_PASS
3	GESUMMV	22e02be8-8037-4c67-9076-66a32185c4b7	/workspace/tc80-capacity-matched-runs/cm3_3_GESUMMV_22e02be8-8037-4c67-9076-66a32185c4b7	32x20x128=640_lines=81920_bytes	95ccdb7a056f2d53f740d90869785cac6d4ee0f5	06b22f4f911cb0a3d6b7067bfc7b54426a2f92c4d23412cd3397b3e7355b6926	462d105cf28efe98a8a20131fd671f3d28ad374a3e4b5448a597df702cc4dbc9	ed0da283145c822bb1b9fc13c78fe41088b43478b706fcb17d078d83111044a8	50d7edf900048468bb8a8b94f17d2f9262e363513085896f6cb75b686132f71a	190918656	87793504	0	a72a21e3a57813c62912fa0694714d74c2ed82621db9b2a2d7cfad0cbdfeb1c1	ACCEPTED_STRICT_PASS
4	GEMM	488e7517-276e-46e3-b45c-ad2579d5e0f4	/workspace/tc80-capacity-matched-runs/cm3_4_GEMM_488e7517-276e-46e3-b45c-ad2579d5e0f4	32x20x128=640_lines=81920_bytes	95ccdb7a056f2d53f740d90869785cac6d4ee0f5	06b22f4f911cb0a3d6b7067bfc7b54426a2f92c4d23412cd3397b3e7355b6926	462d105cf28efe98a8a20131fd671f3d28ad374a3e4b5448a597df702cc4dbc9	fd9a9430fc95eb0af4c73b9710db271f8e32bff4ea2f5dd08a4e8e17c9b02057	ed445dd5115841ab2aeb934f003716aef0137cace5a091bad8e3931081f65109	739246080	2131179	0	fcf0cd879bd1252c5c943c61afff595f51dfaaac6364d96a2b7b2e33e6403c0e	ACCEPTED_STRICT_PASS
5	2DConvolution	9d0a449a-83fe-4277-8a27-ea5cdbc232b4	/workspace/tc80-capacity-matched-runs/cm3_5_2DConvolution_9d0a449a-83fe-4277-8a27-ea5cdbc232b4	32x20x128=640_lines=81920_bytes	6587238c60214d99491f4048e28ce8a3458c1509	06b22f4f911cb0a3d6b7067bfc7b54426a2f92c4d23412cd3397b3e7355b6926	29a3dd9f57a5accb89822ca3fcf06b11c437bfe864ee43d2ff5f26c8c056f3c1	23bcc08b04d82fc527ffc1365d3199f4d1f3057bf6a2705d1110c5c226227d64	88bd288fd83497a2afdf1bb762ce071e365382b2a933764f63521cf3ce56a6e8	620347492	1585900	0	dd478ef6b846dcc92b561efe3f6621e76a21bde2c5d7bb4c52b5853fdeb2d535	ACCEPTED_STRICT_PASS
6	Btree	7c7a9f79-3981-4292-948c-e16fab322153	/workspace/tc80-capacity-matched-runs/cm3_6_Btree_7c7a9f79-3981-4292-948c-e16fab322153	32x20x128=640_lines=81920_bytes	95ccdb7a056f2d53f740d90869785cac6d4ee0f5	06b22f4f911cb0a3d6b7067bfc7b54426a2f92c4d23412cd3397b3e7355b6926	462d105cf28efe98a8a20131fd671f3d28ad374a3e4b5448a597df702cc4dbc9	26315d4ae044e91094d54134ec94e25d70fd4eda8c0fe01767bc2a9437d73467	c0146aad012181e7d066b013a43a88f8ca3b4deaf36452cc9f8da64892748aa1	444467849	320010	0	41cda80630d5802f6533e15a3eed2170db72f123428b97d5bd7d1af31a28dddf	ACCEPTED_STRICT_PASS
7	DWT2D	86420b43-03ff-4d6a-8f97-dbb8582cc0e7	/workspace/tc80-capacity-matched-runs/cm3_7_DWT2D_86420b43-03ff-4d6a-8f97-dbb8582cc0e7	32x20x128=640_lines=81920_bytes	95ccdb7a056f2d53f740d90869785cac6d4ee0f5	06b22f4f911cb0a3d6b7067bfc7b54426a2f92c4d23412cd3397b3e7355b6926	462d105cf28efe98a8a20131fd671f3d28ad374a3e4b5448a597df702cc4dbc9	337087fedad435cd92cbd7e0f962f90d567ec9e77038fd8150977b7c6beb7164	44763711a37ef00a2f12f351652faeec271b8e758d720a38ae46063ba26ee8f6	148684429	338868	0	a2643195b2c327ccf3b9353f22f64b3a869d7712bd13cb24020f45a9b9e37559	ACCEPTED_STRICT_PASS
8	Gaussian	8575c5c4-fbca-47f1-8c4b-a44c12f0c7b7	/workspace/tc80-capacity-matched-runs/cm3_8_Gaussian_8575c5c4-fbca-47f1-8c4b-a44c12f0c7b7	32x20x128=640_lines=81920_bytes	95ccdb7a056f2d53f740d90869785cac6d4ee0f5	06b22f4f911cb0a3d6b7067bfc7b54426a2f92c4d23412cd3397b3e7355b6926	462d105cf28efe98a8a20131fd671f3d28ad374a3e4b5448a597df702cc4dbc9	6dc7caba6733657293e8c517467bac28890ae4eb97c732ffd245d7fd1c479fb9	5be2a3c7457b341afa54ca884b572aa8ee840fdeb18fb8d7a336de78f997534a	283685120	3390360	0	4ca26b7a713349e27d6dbd6f8cef578ca2f117c91a266a1d9608b89e6054d716	ACCEPTED_STRICT_PASS
9	Hotspot1	a39e0994-0a10-403e-ab42-62819a9484c0	/workspace/tc80-capacity-matched-runs/cm3_9_Hotspot1_a39e0994-0a10-403e-ab42-62819a9484c0	32x20x128=640_lines=81920_bytes	95ccdb7a056f2d53f740d90869785cac6d4ee0f5	06b22f4f911cb0a3d6b7067bfc7b54426a2f92c4d23412cd3397b3e7355b6926	462d105cf28efe98a8a20131fd671f3d28ad374a3e4b5448a597df702cc4dbc9	a731bfc2cbb90b51888e92f3fb188ff4fceb123612a7b1ceb1817bc752e89461	f62d7a490808c61c8299091edd18a87917fd2ad98c4208ce0d1418daa9fb8c5b	377291004	106487	0	4954e9bdfb604518c3a5e1c3c56f53cedb8120839a7b15e4d5b75cc09647cc0c	ACCEPTED_STRICT_PASS
10	LUD	f57c4cf1-6671-45fe-814c-1d56b125c64b	/workspace/tc80-capacity-matched-runs/cm3_10_LUD_f57c4cf1-6671-45fe-814c-1d56b125c64b	32x20x128=640_lines=81920_bytes	95ccdb7a056f2d53f740d90869785cac6d4ee0f5	06b22f4f911cb0a3d6b7067bfc7b54426a2f92c4d23412cd3397b3e7355b6926	462d105cf28efe98a8a20131fd671f3d28ad374a3e4b5448a597df702cc4dbc9	6bf8f1fd5951793b1b2c563ee13203591e3d53d5985d4d1d6e3b5cf8f64a39e0	59f59f4d43d7534927936fa8a6dfbd0fdd12f675084686631ed6536c01ea0277	184963840	1087559	0	319bcf604d2a24df2095e7518b87b08e6199796943c0a38d35c482f26db72e2b	ACCEPTED_STRICT_PASS
