workload	b16_cycles	tc80_cycles	io_cycles	oo_cycles	tc80_over_b16	io_over_b16	oo_over_b16	io_over_tc80	oo_over_tc80	tc80_vs_io_classification	tc80_vs_oo_classification	classification_tolerance
ATAX	87750512	31247945	88363340	48078114	2.808201051301	0.993064680443	1.825165438062	0.353630193245	0.649941156178	TC80_BEATS_IO	TC80_BEATS_OO	symmetric_1_percent: ratio>1.01 numerator faster; 0.99<=ratio<=1.01 NEAR_TIE; ratio<0.99 denominator faster
BICG	88495620	28354160	93942704	47231655	3.121080645662	0.942016955356	1.873650626894	0.301823971343	0.600321119385	TC80_BEATS_IO	TC80_BEATS_OO	symmetric_1_percent: ratio>1.01 numerator faster; 0.99<=ratio<=1.01 NEAR_TIE; ratio<0.99 denominator faster
GESUMMV	194986098	87793504	210667785	143059605	2.220962703573	0.925562007499	1.362971035744	0.416739104178	0.613684792433	TC80_BEATS_IO	TC80_BEATS_OO	symmetric_1_percent: ratio>1.01 numerator faster; 0.99<=ratio<=1.01 NEAR_TIE; ratio<0.99 denominator faster
GEMM	2662394	2131179	1488845	1396643	1.249258743634	1.788227787312	1.906280989487	1.431431075767	1.525929675658	IO_BEATS_TC80	OO_BEATS_TC80	symmetric_1_percent: ratio>1.01 numerator faster; 0.99<=ratio<=1.01 NEAR_TIE; ratio<0.99 denominator faster
2DConvolution	2247155	1585900	627281	593208	1.416958824642	3.582373768694	3.788140079028	2.528213033712	2.673429893056	IO_BEATS_TC80	OO_BEATS_TC80	symmetric_1_percent: ratio>1.01 numerator faster; 0.99<=ratio<=1.01 NEAR_TIE; ratio<0.99 denominator faster
Btree	369977	320010	244231	172795	1.156141995563	1.514865025324	2.141132555919	1.310275927298	1.851963309124	IO_BEATS_TC80	OO_BEATS_TC80	symmetric_1_percent: ratio>1.01 numerator faster; 0.99<=ratio<=1.01 NEAR_TIE; ratio<0.99 denominator faster
DWT2D	344119	338868	241380	234651	1.015495709244	1.425631783909	1.466514099663	1.403877703207	1.444136185228	IO_BEATS_TC80	OO_BEATS_TC80	symmetric_1_percent: ratio>1.01 numerator faster; 0.99<=ratio<=1.01 NEAR_TIE; ratio<0.99 denominator faster
Gaussian	4229815	3390360	3817538	3820325	1.247600549794	1.107995519625	1.107187215747	0.888101179346	0.887453292586	TC80_BEATS_IO	TC80_BEATS_OO	symmetric_1_percent: ratio>1.01 numerator faster; 0.99<=ratio<=1.01 NEAR_TIE; ratio<0.99 denominator faster
Hotspot1	160486	106487	85633	84173	1.507094762741	1.874113951397	1.906620887933	1.243527612019	1.265096883799	IO_BEATS_TC80	OO_BEATS_TC80	symmetric_1_percent: ratio>1.01 numerator faster; 0.99<=ratio<=1.01 NEAR_TIE; ratio<0.99 denominator faster
LUD	1113878	1087559	1091487	1087849	1.024200066387	1.020514215927	1.023927033991	0.996401239777	0.999733418884	NEAR_TIE	NEAR_TIE	symmetric_1_percent: ratio>1.01 numerator faster; 0.99<=ratio<=1.01 NEAR_TIE; ratio<0.99 denominator faster
NN	6985	6985	6095	6105	1.000000000000	1.146021328958	1.144144144144	1.146021328958	1.144144144144	IO_BEATS_TC80	OO_BEATS_TC80	symmetric_1_percent: ratio>1.01 numerator faster; 0.99<=ratio<=1.01 NEAR_TIE; ratio<0.99 denominator faster
MRI-Q	366667	366706	360536	361415	0.999893647772	1.017005236648	1.014531770956	1.017113408924	1.014639680146	IO_BEATS_TC80	OO_BEATS_TC80	symmetric_1_percent: ratio>1.01 numerator faster; 0.99<=ratio<=1.01 NEAR_TIE; ratio<0.99 denominator faster
GM_TC80_OVER_B16	N/A	N/A	N/A	N/A	1.437564501098	N/A	N/A	N/A	N/A	N/A	N/A	N/A
GM_IO_OVER_B16	N/A	N/A	N/A	N/A	N/A	1.326143376158	N/A	N/A	N/A	N/A	N/A	N/A
GM_OO_OVER_B16	N/A	N/A	N/A	N/A	N/A	N/A	1.592062401603	N/A	N/A	N/A	N/A	N/A
GM_IO_OVER_TC80	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0.922493129975	N/A	N/A	N/A	N/A
GM_OO_OVER_TC80	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	1.107471978049	N/A	N/A	N/A
