trace_id	semantic	latency	gpu_sim_cycle	gpu_sim_insn	cta	translation_lookups	mshr_active	pwq_active	walkers_active	run_log_sha256	status	vm_requests	vm_ideal_translations	l1_tlb_hits	l1_tlb_misses	l2_tlb_hits	l2_tlb_misses	walk_starts	walk_completions	l1d_accesses	l1d_misses	l2_cache_accesses	l2_cache_misses	lookup_entries	lookup_ready	segment_activity	ready_duplicate_attempts	quiescent	coverage_note
M0	LEGACY	0/80	78096	5648	1	1028	0	0	0	66befc9679ed3bc814f87a4d81c1e8c2bab1d954c80c20b0d89e8f8c25f59544	TERMINAL_PASS	3242	1026	1026	2	0	2	2	2	1026	17	23	21	0	0	0	0	1	explicit untranslated/unobserved not emitted; terminal VM/quiescence counters published
M0	LEGACY	10/80	88356	5648	1	1028	0	0	0	2dd74c0c328e8958cb072ba92696c77c77c39c9a2b2616e4b35baede10f5001e	TERMINAL_PASS	13522	1026	1026	2	0	2	2	2	1026	17	23	21	0	0	0	0	1	explicit untranslated/unobserved not emitted; terminal VM/quiescence counters published
M0	V1_PIPELINED_LAUNCH	0/80	78096	5648	1	1028	0	0	0	7abebe33d90d57e59fe5f11e62b4565c6020d6035d5fe23d885f99d93f9560cb	TERMINAL_PASS	3242	1026	1026	2	0	2	2	2	1026	17	23	21	0	0	0	0	1	explicit untranslated/unobserved not emitted; terminal VM/quiescence counters published
M0	V1_PIPELINED_LAUNCH	10/80	88356	5648	1	1028	0	0	0	f3ac11f3b6223442a44e295dcab0880097991353b1c223115863f6801207aa94	TERMINAL_PASS	13522	1026	1026	2	0	2	2	2	1026	17	23	21	0	0	0	0	1	explicit untranslated/unobserved not emitted; terminal VM/quiescence counters published
M0	V2R1_READY_CONSUME_APPLY	0/80	78096	5648	1	1028	0	0	0	e5f2f3c84487bf0d681e1eb8b5caaafb6e2acce35083ba8a24ad3f555718b532	TERMINAL_PASS	3242	1026	1026	2	0	2	2	2	1026	17	23	21	0	0	0	0	1	explicit untranslated/unobserved not emitted; terminal VM/quiescence counters published
M0	V2R1_READY_CONSUME_APPLY	10/80	88356	5648	1	1028	0	0	0	5714c170cecc86158daefac4d93473c316765f8125c8dd7b19db458f4da0d908	TERMINAL_PASS	13522	1026	1026	2	0	2	2	2	1026	17	23	21	0	0	0	0	1	explicit untranslated/unobserved not emitted; terminal VM/quiescence counters published
M1	LEGACY	0/80	682722	5648	1	1279	0	0	0	3c335456f12e47553542df15aab21d3baee79a97f7711558c46fd6b25d46bfac	TERMINAL_PASS	141967	1026	366	913	660	253	253	253	1026	1025	1282	1045	0	0	0	0	1	explicit untranslated/unobserved not emitted; terminal VM/quiescence counters published
M1	LEGACY	10/80	695553	5648	1	1279	0	0	0	6b98af5aa0241f00a5e4d223823da0720176fa602476658c48051bcc7d2fac83	TERMINAL_PASS	154756	1026	366	913	660	253	253	253	1026	1025	1282	1045	0	0	0	0	1	explicit untranslated/unobserved not emitted; terminal VM/quiescence counters published
M1	V1_PIPELINED_LAUNCH	0/80	682722	5648	1	1279	0	0	0	a59b5ea644d2556a00b5df4df2a1deb9a6252c5ef31e53ff57e55d927f64a5df	TERMINAL_PASS	141967	1026	366	913	660	253	253	253	1026	1025	1282	1045	0	0	0	0	1	explicit untranslated/unobserved not emitted; terminal VM/quiescence counters published
M1	V1_PIPELINED_LAUNCH	10/80	695553	5648	1	1279	0	0	0	8746c41dabaf6479044e961e9a6e849a2d82a85ae901411cb76dd4ec6d5d817b	TERMINAL_PASS	154756	1026	366	913	660	253	253	253	1026	1025	1282	1045	0	0	0	0	1	explicit untranslated/unobserved not emitted; terminal VM/quiescence counters published
