trace_id	semantic	captured_brackets	mean_10_80	median_10_80	p10_10_80	p90_10_80	cv_10_80	mean_0_80	model_relative_sensitivity
M0	LEGACY	2	80.601562500	80.601562500	73.360937500	87.842187500	0.112290394	70.591796875	12.418823301%
M0	V1_PIPELINED_LAUNCH	2	80.601562500	80.601562500	73.360937500	87.842187500	0.112290394	70.591796875	12.418823301%
M0	V2R1_READY_CONSUME_APPLY	2	80.601562500	80.601562500	73.360937500	87.842187500	0.112290394	70.591796875	12.418823301%
M1	LEGACY	2	672.851562500	672.851562500	616.926562500	728.776562500	0.103895501	660.350585938	1.857910015%
M1	V1_PIPELINED_LAUNCH	2	672.851562500	672.851562500	616.926562500	728.776562500	0.103895501	660.350585938	1.857910015%
M1	V2R1_READY_CONSUME_APPLY	2	672.851562500	672.851562500	616.926562500	728.776562500	0.103895501	660.350585938	1.857910015%
M2	LEGACY	32	1255.004089355	1233.273437500	1161.544921875	1377.273437500	0.066136270	1058.172058105	15.683776086%
M2	V1_PIPELINED_LAUNCH	32	1255.004089355	1233.273437500	1161.544921875	1377.273437500	0.066136270	1058.172058105	15.683776086%
M2	V2R1_READY_CONSUME_APPLY	32	1255.004089355	1233.273437500	1161.544921875	1377.273437500	0.066136270	1058.172058105	15.683776086%
M3	LEGACY	2	755.239257812	755.239257812	593.532226562	916.946289062	0.267642058	737.843750000	2.303310856%
M3	V1_PIPELINED_LAUNCH	2	755.239257812	755.239257812	593.532226562	916.946289062	0.267642058	737.843750000	2.303310856%
M3	V2R1_READY_CONSUME_APPLY	2	755.239257812	755.239257812	593.532226562	916.946289062	0.267642058	737.843750000	2.303310856%
