trace_id	payload_sha256	runner_index_sha256	semantic	pipelined_launch	ready_application	diagnostics	latency	binary_sha256	output_directory
M0	b9f87594b0279d8b489aa5181e6fcf37551e04553b154a7848c88fa44fc03e7e	68d3023992803d9a08e52a218c0eb010cf5a2414df8ff68cee6d6dd68512c168	LEGACY	0	0	1	0/80	bd4ae00214f834f7c3fd7d49616b8ed834dc47eed0cc2e2118344ff0f763ac14	/root/awma_native_simulator_cross_calibration_v1_runtime/final_mx_m0_legacy_0
M0	b9f87594b0279d8b489aa5181e6fcf37551e04553b154a7848c88fa44fc03e7e	68d3023992803d9a08e52a218c0eb010cf5a2414df8ff68cee6d6dd68512c168	LEGACY	0	0	1	10/80	bd4ae00214f834f7c3fd7d49616b8ed834dc47eed0cc2e2118344ff0f763ac14	/root/awma_native_simulator_cross_calibration_v1_runtime/final_mx_m0_legacy_10
M0	b9f87594b0279d8b489aa5181e6fcf37551e04553b154a7848c88fa44fc03e7e	68d3023992803d9a08e52a218c0eb010cf5a2414df8ff68cee6d6dd68512c168	V1_PIPELINED_LAUNCH	1	0	1	0/80	bd4ae00214f834f7c3fd7d49616b8ed834dc47eed0cc2e2118344ff0f763ac14	/root/awma_native_simulator_cross_calibration_v1_runtime/final_mx_m0_v1_0
M0	b9f87594b0279d8b489aa5181e6fcf37551e04553b154a7848c88fa44fc03e7e	68d3023992803d9a08e52a218c0eb010cf5a2414df8ff68cee6d6dd68512c168	V1_PIPELINED_LAUNCH	1	0	1	10/80	bd4ae00214f834f7c3fd7d49616b8ed834dc47eed0cc2e2118344ff0f763ac14	/root/awma_native_simulator_cross_calibration_v1_runtime/final_mx_m0_v1_10
M0	b9f87594b0279d8b489aa5181e6fcf37551e04553b154a7848c88fa44fc03e7e	68d3023992803d9a08e52a218c0eb010cf5a2414df8ff68cee6d6dd68512c168	V2R1_READY_CONSUME_APPLY	1	1	1	0/80	bd4ae00214f834f7c3fd7d49616b8ed834dc47eed0cc2e2118344ff0f763ac14	/root/awma_native_simulator_cross_calibration_v1_runtime/final_mx_m0_v2_0
M0	b9f87594b0279d8b489aa5181e6fcf37551e04553b154a7848c88fa44fc03e7e	68d3023992803d9a08e52a218c0eb010cf5a2414df8ff68cee6d6dd68512c168	V2R1_READY_CONSUME_APPLY	1	1	1	10/80	bd4ae00214f834f7c3fd7d49616b8ed834dc47eed0cc2e2118344ff0f763ac14	/root/awma_native_simulator_cross_calibration_v1_runtime/final_mx_m0_v2_10
M1	bea5cf39d41f9807d95be659984fe850c56d910214ecfe85d6379df705cc9ec5	6827723e8035072593b073f0f54670758ecb28f72c21665a981010d3c9bb82c3	LEGACY	0	0	1	0/80	bd4ae00214f834f7c3fd7d49616b8ed834dc47eed0cc2e2118344ff0f763ac14	/root/awma_native_simulator_cross_calibration_v1_runtime/final_mx_m1_legacy_0
M1	bea5cf39d41f9807d95be659984fe850c56d910214ecfe85d6379df705cc9ec5	6827723e8035072593b073f0f54670758ecb28f72c21665a981010d3c9bb82c3	LEGACY	0	0	1	10/80	bd4ae00214f834f7c3fd7d49616b8ed834dc47eed0cc2e2118344ff0f763ac14	/root/awma_native_simulator_cross_calibration_v1_runtime/final_mx_m1_legacy_10
M1	bea5cf39d41f9807d95be659984fe850c56d910214ecfe85d6379df705cc9ec5	6827723e8035072593b073f0f54670758ecb28f72c21665a981010d3c9bb82c3	V1_PIPELINED_LAUNCH	1	0	1	0/80	bd4ae00214f834f7c3fd7d49616b8ed834dc47eed0cc2e2118344ff0f763ac14	/root/awma_native_simulator_cross_calibration_v1_runtime/final_mx_m1_v1_0
M1	bea5cf39d41f9807d95be659984fe850c56d910214ecfe85d6379df705cc9ec5	6827723e8035072593b073f0f54670758ecb28f72c21665a981010d3c9bb82c3	V1_PIPELINED_LAUNCH	1	0	1	10/80	bd4ae00214f834f7c3fd7d49616b8ed834dc47eed0cc2e2118344ff0f763ac14	/root/awma_native_simulator_cross_calibration_v1_runtime/final_mx_m1_v1_10
M1	bea5cf39d41f9807d95be659984fe850c56d910214ecfe85d6379df705cc9ec5	6827723e8035072593b073f0f54670758ecb28f72c21665a981010d3c9bb82c3	V2R1_READY_CONSUME_APPLY	1	1	1	0/80	bd4ae00214f834f7c3fd7d49616b8ed834dc47eed0cc2e2118344ff0f763ac14	/root/awma_native_simulator_cross_calibration_v1_runtime/final_mx_m1_v2_0
M1	bea5cf39d41f9807d95be659984fe850c56d910214ecfe85d6379df705cc9ec5	6827723e8035072593b073f0f54670758ecb28f72c21665a981010d3c9bb82c3	V2R1_READY_CONSUME_APPLY	1	1	1	10/80	bd4ae00214f834f7c3fd7d49616b8ed834dc47eed0cc2e2118344ff0f763ac14	/root/awma_native_simulator_cross_calibration_v1_runtime/final_mx_m1_v2_10
M2	c165749ff06013f7bebc6ceecb2915f5de0b3d88171366a4832001cd6da2642f	8dfa99a6c3d49e00ab6bdfa5b80ae323d54188ed2509a98d2adbb40b7d4da6ad	LEGACY	0	0	1	0/80	bd4ae00214f834f7c3fd7d49616b8ed834dc47eed0cc2e2118344ff0f763ac14	/root/awma_native_simulator_cross_calibration_v1_runtime/final_mx_m2_legacy_0
M2	c165749ff06013f7bebc6ceecb2915f5de0b3d88171366a4832001cd6da2642f	8dfa99a6c3d49e00ab6bdfa5b80ae323d54188ed2509a98d2adbb40b7d4da6ad	LEGACY	0	0	1	10/80	bd4ae00214f834f7c3fd7d49616b8ed834dc47eed0cc2e2118344ff0f763ac14	/root/awma_native_simulator_cross_calibration_v1_runtime/final_mx_m2_legacy_10
M2	c165749ff06013f7bebc6ceecb2915f5de0b3d88171366a4832001cd6da2642f	8dfa99a6c3d49e00ab6bdfa5b80ae323d54188ed2509a98d2adbb40b7d4da6ad	V1_PIPELINED_LAUNCH	1	0	1	0/80	bd4ae00214f834f7c3fd7d49616b8ed834dc47eed0cc2e2118344ff0f763ac14	/root/awma_native_simulator_cross_calibration_v1_runtime/final_mx_m2_v1_0
M2	c165749ff06013f7bebc6ceecb2915f5de0b3d88171366a4832001cd6da2642f	8dfa99a6c3d49e00ab6bdfa5b80ae323d54188ed2509a98d2adbb40b7d4da6ad	V1_PIPELINED_LAUNCH	1	0	1	10/80	bd4ae00214f834f7c3fd7d49616b8ed834dc47eed0cc2e2118344ff0f763ac14	/root/awma_native_simulator_cross_calibration_v1_runtime/final_mx_m2_v1_10
