trace_id	semantic	latency	kernel_uid	sid	warp	dynamic_warp	sample_index	start_cycle	end_cycle	dependent_steps	cycles_per_step	observable	status
M0	LEGACY	0/80	1	0	0	0	0	5152	45934	512	79.652343750	CLOCK64_BRACKET_SIM_CYCLES_PER_DEPENDENT_STEP	VALID_CAPTURED_BRACKET
M0	LEGACY	0/80	1	0	0	0	1	46201	77705	512	61.531250000	CLOCK64_BRACKET_SIM_CYCLES_PER_DEPENDENT_STEP	VALID_CAPTURED_BRACKET
M0	LEGACY	10/80	1	0	0	0	0	5152	51054	512	89.652343750	CLOCK64_BRACKET_SIM_CYCLES_PER_DEPENDENT_STEP	VALID_CAPTURED_BRACKET
M0	LEGACY	10/80	1	0	0	0	1	51321	87955	512	71.550781250	CLOCK64_BRACKET_SIM_CYCLES_PER_DEPENDENT_STEP	VALID_CAPTURED_BRACKET
M0	V1_PIPELINED_LAUNCH	0/80	1	0	0	0	0	5152	45934	512	79.652343750	CLOCK64_BRACKET_SIM_CYCLES_PER_DEPENDENT_STEP	VALID_CAPTURED_BRACKET
M0	V1_PIPELINED_LAUNCH	0/80	1	0	0	0	1	46201	77705	512	61.531250000	CLOCK64_BRACKET_SIM_CYCLES_PER_DEPENDENT_STEP	VALID_CAPTURED_BRACKET
M0	V1_PIPELINED_LAUNCH	10/80	1	0	0	0	0	5152	51054	512	89.652343750	CLOCK64_BRACKET_SIM_CYCLES_PER_DEPENDENT_STEP	VALID_CAPTURED_BRACKET
M0	V1_PIPELINED_LAUNCH	10/80	1	0	0	0	1	51321	87955	512	71.550781250	CLOCK64_BRACKET_SIM_CYCLES_PER_DEPENDENT_STEP	VALID_CAPTURED_BRACKET
M0	V2R1_READY_CONSUME_APPLY	0/80	1	0	0	0	0	5152	45934	512	79.652343750	CLOCK64_BRACKET_SIM_CYCLES_PER_DEPENDENT_STEP	VALID_CAPTURED_BRACKET
M0	V2R1_READY_CONSUME_APPLY	0/80	1	0	0	0	1	46201	77705	512	61.531250000	CLOCK64_BRACKET_SIM_CYCLES_PER_DEPENDENT_STEP	VALID_CAPTURED_BRACKET
M0	V2R1_READY_CONSUME_APPLY	10/80	1	0	0	0	0	5152	51054	512	89.652343750	CLOCK64_BRACKET_SIM_CYCLES_PER_DEPENDENT_STEP	VALID_CAPTURED_BRACKET
M0	V2R1_READY_CONSUME_APPLY	10/80	1	0	0	0	1	51321	87955	512	71.550781250	CLOCK64_BRACKET_SIM_CYCLES_PER_DEPENDENT_STEP	VALID_CAPTURED_BRACKET
M1	LEGACY	0/80	1	0	0	0	0	5152	378064	512	728.343750000	CLOCK64_BRACKET_SIM_CYCLES_PER_DEPENDENT_STEP	VALID_CAPTURED_BRACKET
M1	LEGACY	0/80	1	0	0	0	1	378788	682075	512	592.357421875	CLOCK64_BRACKET_SIM_CYCLES_PER_DEPENDENT_STEP	VALID_CAPTURED_BRACKET
M1	LEGACY	10/80	1	0	0	0	0	5152	385444	512	742.757812500	CLOCK64_BRACKET_SIM_CYCLES_PER_DEPENDENT_STEP	VALID_CAPTURED_BRACKET
M1	LEGACY	10/80	1	0	0	0	1	386178	694886	512	602.945312500	CLOCK64_BRACKET_SIM_CYCLES_PER_DEPENDENT_STEP	VALID_CAPTURED_BRACKET
M1	V1_PIPELINED_LAUNCH	0/80	1	0	0	0	0	5152	378064	512	728.343750000	CLOCK64_BRACKET_SIM_CYCLES_PER_DEPENDENT_STEP	VALID_CAPTURED_BRACKET
M1	V1_PIPELINED_LAUNCH	0/80	1	0	0	0	1	378788	682075	512	592.357421875	CLOCK64_BRACKET_SIM_CYCLES_PER_DEPENDENT_STEP	VALID_CAPTURED_BRACKET
M1	V1_PIPELINED_LAUNCH	10/80	1	0	0	0	0	5152	385444	512	742.757812500	CLOCK64_BRACKET_SIM_CYCLES_PER_DEPENDENT_STEP	VALID_CAPTURED_BRACKET
M1	V1_PIPELINED_LAUNCH	10/80	1	0	0	0	1	386178	694886	512	602.945312500	CLOCK64_BRACKET_SIM_CYCLES_PER_DEPENDENT_STEP	VALID_CAPTURED_BRACKET
M1	V2R1_READY_CONSUME_APPLY	0/80	1	0	0	0	0	5152	378064	512	728.343750000	CLOCK64_BRACKET_SIM_CYCLES_PER_DEPENDENT_STEP	VALID_CAPTURED_BRACKET
M1	V2R1_READY_CONSUME_APPLY	0/80	1	0	0	0	1	378788	682075	512	592.357421875	CLOCK64_BRACKET_SIM_CYCLES_PER_DEPENDENT_STEP	VALID_CAPTURED_BRACKET
M1	V2R1_READY_CONSUME_APPLY	10/80	1	0	0	0	0	5152	385444	512	742.757812500	CLOCK64_BRACKET_SIM_CYCLES_PER_DEPENDENT_STEP	VALID_CAPTURED_BRACKET
M1	V2R1_READY_CONSUME_APPLY	10/80	1	0	0	0	1	386178	694886	512	602.945312500	CLOCK64_BRACKET_SIM_CYCLES_PER_DEPENDENT_STEP	VALID_CAPTURED_BRACKET
M2	LEGACY	0/80	1	0	9	9	0	5246	508187	512	982.306640625	CLOCK64_BRACKET_SIM_CYCLES_PER_DEPENDENT_STEP	VALID_CAPTURED_BRACKET
M2	LEGACY	0/80	1	0	7	7	0	5243	513696	512	993.072265625	CLOCK64_BRACKET_SIM_CYCLES_PER_DEPENDENT_STEP	VALID_CAPTURED_BRACKET
M2	LEGACY	0/80	1	0	14	14	0	5288	523681	512	1012.486328125	CLOCK64_BRACKET_SIM_CYCLES_PER_DEPENDENT_STEP	VALID_CAPTURED_BRACKET
M2	LEGACY	0/80	1	0	0	0	0	5274	531195	512	1027.189453125	CLOCK64_BRACKET_SIM_CYCLES_PER_DEPENDENT_STEP	VALID_CAPTURED_BRACKET
M2	LEGACY	0/80	1	0	5	5	0	5310	534592	512	1033.753906250	CLOCK64_BRACKET_SIM_CYCLES_PER_DEPENDENT_STEP	VALID_CAPTURED_BRACKET
M2	LEGACY	0/80	1	0	15	15	0	5308	537484	512	1039.406250000	CLOCK64_BRACKET_SIM_CYCLES_PER_DEPENDENT_STEP	VALID_CAPTURED_BRACKET
M2	LEGACY	0/80	1	0	4	4	0	5246	538069	512	1040.669921875	CLOCK64_BRACKET_SIM_CYCLES_PER_DEPENDENT_STEP	VALID_CAPTURED_BRACKET
M2	LEGACY	0/80	1	0	13	13	0	5287	548960	512	1061.861328125	CLOCK64_BRACKET_SIM_CYCLES_PER_DEPENDENT_STEP	VALID_CAPTURED_BRACKET
M2	LEGACY	0/80	1	0	8	8	0	5254	561919	512	1087.236328125	CLOCK64_BRACKET_SIM_CYCLES_PER_DEPENDENT_STEP	VALID_CAPTURED_BRACKET
