workload,resource,aggregation,source_field,selected_stat,raw_entries,capacity_entries,utilization_percent,semantic_mapping
dwt2d,Set-reservation,max across 64 application slices,c7d_reserved_p95,P95,28,128,21.875000,reserved entries / slice (C7D reservation pressure)
dwt2d,MSHR-entry,max across 64 application slices,line_mshr_p95,P95,28,128,21.875000,line-MSHR entries / slice
dwt2d,MissQ,max across 64 application slices,missq_avg,AVG,0,128,0.000000,MissQ entries / slice; no P95 field emitted
dwt2d,WB-path proxy (WAD),max across 64 application slices,wad_p95,P95,48,128,37.500000,"live WAD entries / slice; proxy for the broader WB path, not a physical baseline WBUF"
convolutionSeparable,Set-reservation,max across 64 application slices,c7d_reserved_p95,P95,128,128,100.000000,reserved entries / slice (C7D reservation pressure)
convolutionSeparable,MSHR-entry,max across 64 application slices,line_mshr_p95,P95,128,128,100.000000,line-MSHR entries / slice
convolutionSeparable,MissQ,max across 64 application slices,missq_avg,AVG,39,128,30.468750,MissQ entries / slice; no P95 field emitted
convolutionSeparable,WB-path proxy (WAD),max across 64 application slices,wad_p95,P95,102,128,79.687500,"live WAD entries / slice; proxy for the broader WB path, not a physical baseline WBUF"
spmv,Set-reservation,max across 64 application slices,c7d_reserved_p95,P95,115,128,89.843750,reserved entries / slice (C7D reservation pressure)
spmv,MSHR-entry,max across 64 application slices,line_mshr_p95,P95,116,128,90.625000,line-MSHR entries / slice
spmv,MissQ,max across 64 application slices,missq_avg,AVG,57,128,44.531250,MissQ entries / slice; no P95 field emitted
spmv,WB-path proxy (WAD),max across 64 application slices,wad_p95,P95,0,128,0.000000,"live WAD entries / slice; proxy for the broader WB path, not a physical baseline WBUF"
scan,Set-reservation,max across 64 application slices,c7d_reserved_p95,P95,95,128,74.218750,reserved entries / slice (C7D reservation pressure)
scan,MSHR-entry,max across 64 application slices,line_mshr_p95,P95,95,128,74.218750,line-MSHR entries / slice
scan,MissQ,max across 64 application slices,missq_avg,AVG,98,128,76.562500,MissQ entries / slice; no P95 field emitted
scan,WB-path proxy (WAD),max across 64 application slices,wad_p95,P95,110,128,85.937500,"live WAD entries / slice; proxy for the broader WB path, not a physical baseline WBUF"
FWT_7_21,Set-reservation,max across 64 application slices,c7d_reserved_p95,P95,81,128,63.281250,reserved entries / slice (C7D reservation pressure)
FWT_7_21,MSHR-entry,max across 64 application slices,line_mshr_p95,P95,81,128,63.281250,line-MSHR entries / slice
FWT_7_21,MissQ,max across 64 application slices,missq_avg,AVG,7,128,5.468750,MissQ entries / slice; no P95 field emitted
FWT_7_21,WB-path proxy (WAD),max across 64 application slices,wad_p95,P95,53,128,41.406250,"live WAD entries / slice; proxy for the broader WB path, not a physical baseline WBUF"
cfd_097k,Set-reservation,max across 64 application slices,c7d_reserved_p95,P95,37,128,28.906250,reserved entries / slice (C7D reservation pressure)
cfd_097k,MSHR-entry,max across 64 application slices,line_mshr_p95,P95,38,128,29.687500,line-MSHR entries / slice
cfd_097k,MissQ,max across 64 application slices,missq_avg,AVG,0,128,0.000000,MissQ entries / slice; no P95 field emitted
cfd_097k,WB-path proxy (WAD),max across 64 application slices,wad_p95,P95,29,128,22.656250,"live WAD entries / slice; proxy for the broader WB path, not a physical baseline WBUF"
btree,Set-reservation,max across 64 application slices,c7d_reserved_p95,P95,15,128,11.718750,reserved entries / slice (C7D reservation pressure)
btree,MSHR-entry,max across 64 application slices,line_mshr_p95,P95,15,128,11.718750,line-MSHR entries / slice
btree,MissQ,max across 64 application slices,missq_avg,AVG,0,128,0.000000,MissQ entries / slice; no P95 field emitted
btree,WB-path proxy (WAD),max across 64 application slices,wad_p95,P95,0,128,0.000000,"live WAD entries / slice; proxy for the broader WB path, not a physical baseline WBUF"
