target	semantic	vm_config	cycles	instructions	cta	coverage_admissions	coverage_translated	unique_uid	translated_unique_uid	untranslated	unobserved	segment_activity	duplicate_applications	mshr_final	pwq_final	walkers_final	run_log_sha256	status
T0	LEGACY	10/80	1035626	368696302	224	3090304	3090304	3090304	3090304	0	0	0	0	0	0	0	a02b7a8033f822e248a60a7bdf4aa46366d0a69e6f9ec68700c42de4d8487dbc	PASS
T0	LEGACY	0/80	475330	368696302	224	3090304	3090304	3090304	3090304	0	0	0	0	0	0	0	c42922b3bd7d80194d0aa83008a99735a810eb1d67f012377befea8d0642e626	PASS
T0	V1	10/80	527896	368696302	224	3090304	3090304	3090304	3090304	0	0	0	0	0	0	0	c3c55c18a61f5a341aa8467a70ef462d0d15eccb9e716f1c3231ca771852d3d3	PASS
T0	V1	0/80	496170	368696302	224	3090304	3090304	3090304	3090304	0	0	0	0	0	0	0	49801d83c42cde5c027a0c2e77dff4d1e3e82163fce3f02cd595fc1359078427	PASS
T1	LEGACY	10/80	1413880	369131520	384	7159808	7159808	7159808	7159808	0	0	0	0	0	0	0	99eaaab2cd503c5d43378101c3b8b04d1437b5c0940b6b8f916f82d1ccb3b6bb	PASS
T1	LEGACY	0/80	622016	369131520	384	7270769	7270769	7159808	7159808	0	0	0	0	0	0	0	34a515a19e33e7ab9b26de9568c47cf8b14382359f9bd8e97671254a4be99ed3	PASS
T1	V1	10/80	665802	369131520	384	7160265	7160265	7159808	7159808	0	0	0	0	0	0	0	b6983e9283f06578e7c1148e4b741d2993b7b4351bd98c89e60f61fcfff89ce3	PASS
T1	V1	0/80	664805	369131520	384	7234397	7234397	7159808	7159808	0	0	0	0	0	0	0	63dace5bdc3b416d59f47ef64b324ba068219ddfbefd9dd85a6324e78a077f6e	PASS
T2	LEGACY	10/80	95835	43357696	1216	416441	416441	411008	411008	0	0	0	0	0	0	0	9d78172e1a6fc194b1e24bd728d370cba7feba91cee49e6e487c8dc7df146444	PASS
T2	LEGACY	0/80	83665	43357696	1216	1236392	1236392	411008	411008	0	0	0	0	0	0	0	eb4ea67fb05c3c545e879a7cf47e6091cbecfe66d0e1f34d4e908067f2afe770	PASS
T2	V1	10/80	93079	43357696	1216	715333	715333	411008	411008	0	0	0	0	0	0	0	e6b656d1aa2cc4a934f07b042de194e590fb7fc6491e15851093a6c55a091eb4	PASS
T2	V1	0/80	83439	43357696	1216	1166219	1166219	411008	411008	0	0	0	0	0	0	0	f9d8d453ec806c6d0a06e1da50e19cd35eef632455e5e89ab1c921501088fb63	PASS
