kind	status	path
mode-control-pre-fix	OBSOLETE	/tmp/m2d-runtime-memory/D0_VM_{DISABLED,IDEAL_IDENTITY,FUNCTIONAL}.log
clean-commit-isolation	PASS	/tmp/m2d-runtime-memory/D1_CLEAN_G2_{1,2,3,4}.log
controller-test	PASS	/tmp/m2d-runtime-memory/D3_CONTROLLER.log
allocation-strace	PASS	/tmp/m2d-runtime-memory/D4_DISABLED{,_STACK}.strace
allocation-new-probe	PASS	/tmp/m2d-runtime-memory/D4_NEW_PROBE.log
cold-build	PASS	/tmp/m2d-runtime-memory/D5_FINAL_CLEAN_BUILD.log
postfix-directed	PASS	/tmp/m2d-runtime-memory/D5_POSTFIX_{M1_DIRECTED,G2_1,G2_2,G2_3,G2_4_DIRECTED}.log
postfix-transparency	PASS	/tmp/m2d-runtime-memory/D5_POSTFIX_M1_RTX_{DISABLED,IDEAL}_FULL.log
postfix-functional	PASS	/tmp/m2d-runtime-memory/D6_FINAL_FUNCTIONAL_ONE_KERNEL.log
memory-baseline	PASS	/tmp/m2d-runtime-memory/D6_DISABLED_ONE_KERNEL_POSTFIX.log
