relative_path	size_bytes	receipt_sha256	representation	runtime_subset
.gitattributes	1570	34448b82c17d60fec9b65b1f093c115ddbaadc04beb1b0140b6bfed2e012a930	support	NO
LICENSE	11357	58d1e17ffe5109a7ae296caafcadfdbe6a7d176f0bc4ab01e12a689b0499d8bd	support	NO
README.md	7095	03c2fcf292549176757b85c911e7dcf527aef3e4241d64b6caec94af3ecf3ac2	support	NO
USAGE_POLICY	200	d6387ef7985019c45db8d9801e6ac5fd9f98f02b9f1c56f8c5af80c3e8f385d0	support	NO
chat_template.jinja	16738	a4c9919cbbd4acdd51ccffe22da049264b1b73e59055fa58811a99efbd7c8146	support	YES
config.json	1806	3a2a26ded679375b7928ddeca59764df7cea83220c1961035f6d6e232659e9ce	support	YES
generation_config.json	177	f9970ada892d2d1f72e3ed0a6535ccebadd11897318794ca671d8c7014c957da	support	YES
metal/model.bin	13750886400	725b7f996b5a226d922f034a731aefc398652f670dcafc2efd78620509a0fef1	metal_alternate	NO
model-00000-of-00002.safetensors	4792272488	16d0f997dcfc4462089d536bffe51b4bcea2f872f5c430be09ef8ed392312427	native_hf_safetensors	YES
model-00001-of-00002.safetensors	4798702184	4fbe328ab445455d6f58dc73852b85873bd626986310abd91cd4d2ce3245eaea	native_hf_safetensors	YES
model-00002-of-00002.safetensors	4170342232	a18106b209e9ab35c3406db4f6f12a927364a058b21e9d1373d682e20674b303	native_hf_safetensors	YES
model.safetensors.index.json	36355	0e085b977c4c9942f85938828e8c989ed7d5cdabf852e4da6a67c116cd502cd1	support	YES
original/config.json	376	317522155fc243327ee341857d0c752d0094a0817e0e9aee2890d5ad8e009e04	original_format	NO
original/dtypes.json	13082	566c9e6aded8957f41f1589cabaf73e39f2d1fcda3351d63efdfb7e9e78d376b	original_format	NO
original/model.safetensors	13761300984	3340a61d1a0391e8c5b5d3463d18d4c48129a84bbc04a554c762c99020aa06ed	original_format	NO
special_tokens_map.json	98	dd5e191d20c12d2fee1da5bae14ca1db0f5f4215300af691f23cdee97120a293	support	YES
tokenizer.json	27868174	0614fe83cadab421296e664e1f48f4261fa8fef6e03e63bb75c20f38e37d07d3	support	YES
tokenizer_config.json	4200	9279e942392b742d633c7adbb89ebe002c98399db8926a7af5125c726f404070	support	YES
