workload	io_head_not_ready_cycles	io_pib_head_ready_cycles	io_hol_ready_younger_count_sum	io_hol_ready_younger_cycles	io_cycles	sm_count	io_hol_sm_cycle_fraction	io_hol_formula	oo_out_of_order_retires	oo_retire_count	oo_ooo_retire_fraction	oo_ooo_formula	oo_immediate_reclaims	oo_deferred_reclaims	oo_final_ref_reclaims	oo_wakeups	oo_instructions	oo_immediate_reclaims_per_million_instructions	oo_deferred_reclaims_per_million_instructions	oo_final_ref_reclaims_per_million_instructions	oo_wakeups_per_million_instructions	reclaim_wakeup_normalization_formula	reclaim_wakeup_denominator_provenance	formula_provenance	evidence_class	accepted_source
ATAX	1270837882	3145995	13419388021	1270809804	88363340	64	0.224713135	io_hol_ready_younger_cycles / (64 * io_cycles)	2190874	3145984	0.696403415	oo_out_of_order_retires / oo_retire_count	1579029	16231679	16231679	17832141	145666048	10840.062057563	111430.763879858	111430.763879858	122417.963862107	raw_count / oo_instructions * 1,000,000	FAST64_FINAL/FAST12_summary.tsv instructions (identical accepted triplet payload)	FAST64.5 metric provenance: raw counter identities; Lane-A stated arithmetic	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/io_oo_mechanism.tsv + FAST12_summary.tsv
BICG	1356535063	3146139	17155905613	1356530036	93942704	64	0.225624566	io_hol_ready_younger_cycles / (64 * io_cycles)	2249832	3145984	0.715144133	oo_out_of_order_retires / oo_retire_count	1641294	16169523	16169523	17832419	145666048	11267.512385590	111004.061838761	111004.061838761	122419.872337032	raw_count / oo_instructions * 1,000,000	FAST64_FINAL/FAST12_summary.tsv instructions (identical accepted triplet payload)	FAST64.5 metric provenance: raw counter identities; Lane-A stated arithmetic	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/io_oo_mechanism.tsv + FAST12_summary.tsv
GESUMMV	3230927294	4194616	63997359255	3230867787	210667785	64	0.239629942	io_hol_ready_younger_cycles / (64 * io_cycles)	3463067	4194560	0.825609122	oo_out_of_order_retires / oo_retire_count	1554745	33041305	33041305	34607548	190918656	8143.494368617	173064.831338431	173064.831338431	181268.550308672	raw_count / oo_instructions * 1,000,000	FAST64_FINAL/FAST12_summary.tsv instructions (identical accepted triplet payload)	FAST64.5 metric provenance: raw counter identities; Lane-A stated arithmetic	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/io_oo_mechanism.tsv + FAST12_summary.tsv
GEMM	79834907	12817214	11423690256	79816676	1488845	64	0.837653055	io_hol_ready_younger_cycles / (64 * io_cycles)	11418863	12599296	0.906309607	oo_out_of_order_retires / oo_retire_count	1096036	3008971	3008971	6995242	739246080	1482.640259655	4070.323917037	4070.323917037	9462.670400633	raw_count / oo_instructions * 1,000,000	FAST64_FINAL/FAST12_summary.tsv instructions (identical accepted triplet payload)	FAST64.5 metric provenance: raw counter identities; Lane-A stated arithmetic	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/io_oo_mechanism.tsv + FAST12_summary.tsv
2DConvolution	34624450	5425372	3276837069	34587905	627281	64	0.861553300	io_hol_ready_younger_cycles / (64 * io_cycles)	4828138	5240320	0.921344116	oo_out_of_order_retires / oo_retire_count	625323	2672439	2672439	7829925	620347492	1008.020517636	4307.970991201	4307.970991201	12621.837117059	raw_count / oo_instructions * 1,000,000	FAST64_FINAL/FAST12_summary.tsv instructions (identical accepted triplet payload)	FAST64.5 metric provenance: raw counter identities; Lane-A stated arithmetic	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/io_oo_mechanism.tsv + FAST12_summary.tsv
Btree	12960767	2019447	267591627	12693418	244231	64	0.812078140	io_hol_ready_younger_cycles / (64 * io_cycles)	1642331	1927551	0.852029856	oo_out_of_order_retires / oo_retire_count	489403	4855	4855	1248707	444467849	1101.098765864	10.923174783	10.923174783	2809.442804040	raw_count / oo_instructions * 1,000,000	FAST64_FINAL/FAST12_summary.tsv instructions (identical accepted triplet payload)	FAST64.5 metric provenance: raw counter identities; Lane-A stated arithmetic	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/io_oo_mechanism.tsv + FAST12_summary.tsv
DWT2D	8186553	445601	188484327	5856475	241380	64	0.379101093	io_hol_ready_younger_cycles / (64 * io_cycles)	260305	437886	0.594458375	oo_out_of_order_retires / oo_retire_count	143947	79876	79876	248470	148684429	968.137692482	537.218325666	537.218325666	1671.123208201	raw_count / oo_instructions * 1,000,000	FAST64_FINAL/FAST12_summary.tsv instructions (identical accepted triplet payload)	FAST64.5 metric provenance: raw counter identities; Lane-A stated arithmetic	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/io_oo_mechanism.tsv + FAST12_summary.tsv
Gaussian	32467868	747742	817315971	28548785	3817538	64	0.116848808	io_hol_ready_younger_cycles / (64 * io_cycles)	491940	743656	0.661515539	oo_out_of_order_retires / oo_retire_count	588968	838754	838754	5046491	283685120	2076.132861674	2956.637274454	2956.637274454	17789.057811703	raw_count / oo_instructions * 1,000,000	FAST64_FINAL/FAST12_summary.tsv instructions (identical accepted triplet payload)	FAST64.5 metric provenance: raw counter identities; Lane-A stated arithmetic	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/io_oo_mechanism.tsv + FAST12_summary.tsv
Hotspot1	4683711	169476	107569464	4519392	85633	64	0.824629524	io_hol_ready_younger_cycles / (64 * io_cycles)	139329	161336	0.863595230	oo_out_of_order_retires / oo_retire_count	38090	305582	305582	352675	377291004	100.956555010	809.937148674	809.937148674	934.755921188	raw_count / oo_instructions * 1,000,000	FAST64_FINAL/FAST12_summary.tsv instructions (identical accepted triplet payload)	FAST64.5 metric provenance: raw counter identities; Lane-A stated arithmetic	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/io_oo_mechanism.tsv + FAST12_summary.tsv
LUD	9960393	383018	323967035	8880847	1091487	64	0.127132283	io_hol_ready_younger_cycles / (64 * io_cycles)	276741	373488	0.740963565	oo_out_of_order_retires / oo_retire_count	163771	346509	346509	522005	184963840	885.421712698	1873.387792987	1873.387792987	2822.200274389	raw_count / oo_instructions * 1,000,000	FAST64_FINAL/FAST12_summary.tsv instructions (identical accepted triplet payload)	FAST64.5 metric provenance: raw counter identities; Lane-A stated arithmetic	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/io_oo_mechanism.tsv + FAST12_summary.tsv
