workload	pressure_field	pressure_category	raw_events	base_instructions	base_cycles	events_per_million_base_instructions	events_per_base_cycle	normalization_formulas	denominator_provenance	exclusivity	evidence_class	accepted_source
ATAX	pib_full_events	PIB full	10200202	145666048	87750512	70024.567426996	0.116240940	raw_events / base_instructions * 1,000,000; raw_events / base_cycles	FAST64_FINAL/FAST12_summary.tsv Base instructions and cycles	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/structural_pressure.tsv + FAST12_summary.tsv
ATAX	cacheline_all_lines_reserved_events	true cacheline/all-lines-reserved	1349272650	145666048	87750512	9262780.644670198	15.376236779	raw_events / base_instructions * 1,000,000; raw_events / base_cycles	FAST64_FINAL/FAST12_summary.tsv Base instructions and cycles	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/structural_pressure.tsv + FAST12_summary.tsv
ATAX	tag_bank_conflicts	Tag-bank conflict	20972288	145666048	87750512	143975.128644940	0.238999039	raw_events / base_instructions * 1,000,000; raw_events / base_cycles	FAST64_FINAL/FAST12_summary.tsv Base instructions and cycles	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/structural_pressure.tsv + FAST12_summary.tsv
ATAX	mshr_entry_full_events	MSHR entry full	0	145666048	87750512	0	0	raw_events / base_instructions * 1,000,000; raw_events / base_cycles	FAST64_FINAL/FAST12_summary.tsv Base instructions and cycles	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/structural_pressure.tsv + FAST12_summary.tsv
ATAX	mshr_merge_full_events	MSHR merge full	0	145666048	87750512	0	0	raw_events / base_instructions * 1,000,000; raw_events / base_cycles	FAST64_FINAL/FAST12_summary.tsv Base instructions and cycles	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/structural_pressure.tsv + FAST12_summary.tsv
ATAX	miss_queue_downstream_full_events	missqueue/downstream full	1070	145666048	87750512	7.345568955	0.000012194	raw_events / base_instructions * 1,000,000; raw_events / base_cycles	FAST64_FINAL/FAST12_summary.tsv Base instructions and cycles	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/structural_pressure.tsv + FAST12_summary.tsv
BICG	pib_full_events	PIB full	10203224	145666048	88495620	70045.313510531	0.115296373	raw_events / base_instructions * 1,000,000; raw_events / base_cycles	FAST64_FINAL/FAST12_summary.tsv Base instructions and cycles	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/structural_pressure.tsv + FAST12_summary.tsv
BICG	cacheline_all_lines_reserved_events	true cacheline/all-lines-reserved	1369006149	145666048	88495620	9398251.464884941	15.469761656	raw_events / base_instructions * 1,000,000; raw_events / base_cycles	FAST64_FINAL/FAST12_summary.tsv Base instructions and cycles	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/structural_pressure.tsv + FAST12_summary.tsv
BICG	tag_bank_conflicts	Tag-bank conflict	20972288	145666048	88495620	143975.128644940	0.236986734	raw_events / base_instructions * 1,000,000; raw_events / base_cycles	FAST64_FINAL/FAST12_summary.tsv Base instructions and cycles	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/structural_pressure.tsv + FAST12_summary.tsv
BICG	mshr_entry_full_events	MSHR entry full	0	145666048	88495620	0	0	raw_events / base_instructions * 1,000,000; raw_events / base_cycles	FAST64_FINAL/FAST12_summary.tsv Base instructions and cycles	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/structural_pressure.tsv + FAST12_summary.tsv
