counter	P1	P2	P4	P8	P16	P34
L2_Alloc	0	0	0	0	0	0
L2_BW	-41	-35	-39	-36	-55	-57
L2_BW_total	-39	-30	-25	-10	-7	-5
L2_WB	15313	15424	15456	15408	15356	15532
L2_cache_data_port_util	0	0	0	0	0	0
L2_cache_fill_port_util	0	0	0	0	0	0
L2_total_cache_accesses	2462732	2462843	2464175	2463303	2462815	2463206
L2_total_cache_miss_rate	0	0	0	0	0	0
L2_total_cache_misses	1180646	1173919	1175927	1183770	1181047	1190722
L2_total_cache_pending_hits	89	143	85	338	658	360
L2_total_cache_reservation_fails	2898	1654	2401	3196	2729	3565
gpgpu_n_cmem_portconflict	0	0	0	0	0	0
gpgpu_n_const_mem_insn	0	0	0	0	0	0
gpgpu_n_intrawarp_mshr_merge	0	0	0	0	0	0
gpgpu_n_l1cache_bkconflict	0	0	0	0	0	0
gpgpu_n_load_insn	8723456	8723456	8723456	8723456	8723456	8723456
gpgpu_n_mem_const	0	0	0	0	0	0
gpgpu_n_mem_read_global	2064384	2064384	2064384	2064384	2064384	2064384
gpgpu_n_mem_read_local	29428	29624	30956	30196	29708	30100
gpgpu_n_mem_texture	0	0	0	0	0	0
gpgpu_n_mem_write_global	118272	118272	118272	118272	118272	118272
gpgpu_n_mem_write_local	250432	250432	250432	250432	250432	250432
gpgpu_n_param_mem_insn	0	0	0	0	0	0
gpgpu_n_shmem_bkconflict	1666560	1666560	1666560	1666560	1666560	1666560
gpgpu_n_shmem_insn	18694144	18694144	18694144	18694144	18694144	18694144
gpgpu_n_sstarr_insn	0	0	0	0	0	0
gpgpu_n_stall_shd_mem	10841014	10806698	10774440	10797564	10727524	10773001
gpgpu_n_store_insn	2146816	2146816	2146816	2146816	2146816	2146816
gpgpu_n_tex_insn	0	0	0	0	0	0
gpgpu_n_tot_thrd_icount	431699968	431699968	431699968	431699968	431699968	431699968
gpgpu_n_tot_w_icount	13490624	13490624	13490624	13490624	13490624	13490624
gpgpu_silicon_slowdown	-351550	-303497	-221794	-187537	-30624	-41955
gpgpu_simulation_rate	914	686	606	465	96	119
gpgpu_simulation_time	0	0	0	0	0	0
icnt_total_pkts_mem_to_simt	2462732	2462843	2464175	2463303	2462815	2463206
icnt_total_pkts_simt_to_mem	2462516	2462712	2464044	2463284	2462796	2463188
partiton_level_parallism	-1	-1	-1	-1	-2	-2
partiton_level_parallism_total	-1	-1	-1	0	0	0
partiton_level_parallism_util	-1	-1	-1	-1	-1	-1
partiton_level_parallism_util_total	-1	-1	-1	-1	0	-1
total_CMD	2089360	1980141	2036285	1948950	2013074	2034573
total_req	38493	38612	38688	38572	38492	38848
vm_disabled_bypasses	0	0	0	0	0	0
vm_fair_arm_charged_bits	0	0	0	0	0	0
vm_fair_arm_id	0	0	0	0	0	0
vm_fair_l2_associativity_realized	0	0	0	0	0	0
vm_fair_l2_entries_realized	0	0	0	0	0	0
vm_fair_l2_sets_realized	0	0	0	0	0	0
vm_functional_completed	776245	776892	776772	777364	777385	776666
vm_functional_mapper_lookups	184	128	128	16	16	15
vm_ideal_translations	776245	776892	776772	777364	777385	776666
vm_identity_equal	776245	776892	776772	777364	777385	776666
vm_l1_tlb_accesses	776755	777307	777222	777656	777626	776915
vm_l1_tlb_evictions	3368	3424	3343	3384	3431	3414
vm_l1_tlb_hits	773387	773883	773879	774272	774195	773501
vm_l1_tlb_lookup_completions	776755	777307	777222	777656	777626	776915
vm_l1_tlb_lookup_latency_cycles	0	0	0	0	0	0
vm_l1_tlb_lookup_launches	776755	777307	777222	777656	777626	776915
vm_l1_tlb_lookup_service_cycles	7767550	7773070	7772220	7776560	7776260	7769150
vm_l1_tlb_misses	3368	3424	3343	3384	3431	3414
vm_l1_tlb_occupancy	0	0	0	0	0	0
vm_l1_tlb_port_stalls	0	0	0	0	0	0
vm_l2_tlb_accesses	3368	3424	3343	3384	3431	3414
vm_l2_tlb_evictions	0	0	0	0	0	0
vm_l2_tlb_hits	2858	3009	2893	3092	3190	3165
vm_l2_tlb_lookup_completions	3368	3424	3343	3384	3431	3414
vm_l2_tlb_lookup_latency_cycles	0	0	0	0	0	0
vm_l2_tlb_lookup_launches	3368	3424	3343	3384	3431	3414
vm_l2_tlb_lookup_service_cycles	269440	273920	267440	270720	274480	273120
vm_l2_tlb_misses	510	415	450	292	241	249
vm_l2_tlb_mode	0	0	0	0	0	0
vm_l2_tlb_occupancy	184	128	128	16	16	15
vm_l2_tlb_port_stalls	3323	3314	3447	3466	3448	2912
vm_l2_tlb_replacement_incoming_KV_CACHE_victim_KV_CACHE	0	0	0	0	0	0
vm_l2_tlb_replacement_incoming_KV_CACHE_victim_UNKNOWN	0	0	0	0	0	0
vm_l2_tlb_replacement_incoming_KV_CACHE_victim_WEIGHT	0	0	0	0	0	0
vm_l2_tlb_replacement_incoming_UNKNOWN_victim_KV_CACHE	0	0	0	0	0	0
vm_l2_tlb_replacement_incoming_UNKNOWN_victim_UNKNOWN	0	0	0	0	0	0
vm_l2_tlb_replacement_incoming_UNKNOWN_victim_WEIGHT	0	0	0	0	0	0
vm_l2_tlb_replacement_incoming_WEIGHT_victim_KV_CACHE	0	0	0	0	0	0
vm_l2_tlb_replacement_incoming_WEIGHT_victim_UNKNOWN	0	0	0	0	0	0
vm_l2_tlb_replacement_incoming_WEIGHT_victim_WEIGHT	0	0	0	0	0	0
vm_object_KV_CACHE_completed	776755	777307	777222	777656	777626	776915
vm_object_KV_CACHE_l1_hits	773387	773883	773879	774272	774195	773501
vm_object_KV_CACHE_l1_lookup_launches	776755	777307	777222	777656	777626	776915
vm_object_KV_CACHE_l1_misses	3368	3424	3343	3384	3431	3414
vm_object_KV_CACHE_l2_fills	184	128	128	16	16	15
vm_object_KV_CACHE_l2_hits	2858	3009	2893	3092	3190	3165
vm_object_KV_CACHE_l2_lookup_launches	3368	3424	3343	3384	3431	3414
vm_object_KV_CACHE_l2_misses	510	415	450	292	241	249
vm_object_KV_CACHE_mshr_allocations	184	128	128	16	16	15
vm_object_KV_CACHE_mshr_merges	326	287	322	276	225	234
vm_object_KV_CACHE_pte_dram_responses	66	39	39	10	11	10
vm_object_KV_CACHE_pte_l2_only_responses	150	92	92	9	8	8
vm_object_KV_CACHE_pte_memory_wait_cycles_max	4790	5506	4120	1749	1807	3185
vm_object_KV_CACHE_pte_memory_wait_cycles_total	169745	68173	65489	28569	26040	33398
vm_object_KV_CACHE_pte_requests	216	131	131	19	19	18
vm_object_KV_CACHE_pwc_accesses	552	384	384	48	48	45
vm_object_KV_CACHE_pwc_hits	520	381	381	45	45	42
vm_object_KV_CACHE_pwc_misses	32	3	3	3	3	3
vm_object_KV_CACHE_requester_latency_cycles_max	3638	4376	3437	1749	1344	3185
vm_object_KV_CACHE_requester_latency_cycles_total	8608743	8466142	8474748	8466455	8371120	8477382
vm_object_KV_CACHE_requester_mshr_wait_cycles_max	3639	4377	3437	1749	1344	3185
vm_object_KV_CACHE_requester_mshr_wait_cycles_total	570977	418380	434294	418370	319577	434431
vm_object_KV_CACHE_translation_requesters	776755	777307	777222	777656	777626	776915
vm_object_KV_CACHE_unique_translation_keys	184	128	128	16	16	15
vm_object_KV_CACHE_walk_starts	184	128	128	16	16	15
vm_object_UNKNOWN_completed	0	0	0	0	0	0
vm_object_UNKNOWN_l1_hits	0	0	0	0	0	0
vm_object_UNKNOWN_l1_lookup_launches	0	0	0	0	0	0
vm_object_UNKNOWN_l1_misses	0	0	0	0	0	0
vm_object_UNKNOWN_l2_fills	0	0	0	0	0	0
vm_object_UNKNOWN_l2_hits	0	0	0	0	0	0
vm_object_UNKNOWN_l2_lookup_launches	0	0	0	0	0	0
vm_object_UNKNOWN_l2_misses	0	0	0	0	0	0
vm_object_UNKNOWN_mshr_allocations	0	0	0	0	0	0
vm_object_UNKNOWN_mshr_merges	0	0	0	0	0	0
vm_object_UNKNOWN_pte_dram_responses	0	0	0	0	0	0
vm_object_UNKNOWN_pte_l2_only_responses	0	0	0	0	0	0
vm_object_UNKNOWN_pte_memory_wait_cycles_max	0	0	0	0	0	0
vm_object_UNKNOWN_pte_memory_wait_cycles_total	0	0	0	0	0	0
vm_object_UNKNOWN_pte_requests	0	0	0	0	0	0
vm_object_UNKNOWN_pwc_accesses	0	0	0	0	0	0
vm_object_UNKNOWN_pwc_hits	0	0	0	0	0	0
vm_object_UNKNOWN_pwc_misses	0	0	0	0	0	0
vm_object_UNKNOWN_requester_latency_cycles_max	0	0	0	0	0	0
vm_object_UNKNOWN_requester_latency_cycles_total	0	0	0	0	0	0
vm_object_UNKNOWN_requester_mshr_wait_cycles_max	0	0	0	0	0	0
vm_object_UNKNOWN_requester_mshr_wait_cycles_total	0	0	0	0	0	0
vm_object_UNKNOWN_translation_requesters	0	0	0	0	0	0
vm_object_UNKNOWN_unique_translation_keys	0	0	0	0	0	0
vm_object_UNKNOWN_walk_starts	0	0	0	0	0	0
vm_object_WEIGHT_completed	0	0	0	0	0	0
vm_object_WEIGHT_l1_hits	0	0	0	0	0	0
vm_object_WEIGHT_l1_lookup_launches	0	0	0	0	0	0
vm_object_WEIGHT_l1_misses	0	0	0	0	0	0
vm_object_WEIGHT_l2_fills	0	0	0	0	0	0
vm_object_WEIGHT_l2_hits	0	0	0	0	0	0
vm_object_WEIGHT_l2_lookup_launches	0	0	0	0	0	0
vm_object_WEIGHT_l2_misses	0	0	0	0	0	0
vm_object_WEIGHT_mshr_allocations	0	0	0	0	0	0
vm_object_WEIGHT_mshr_merges	0	0	0	0	0	0
vm_object_WEIGHT_pte_dram_responses	0	0	0	0	0	0
vm_object_WEIGHT_pte_l2_only_responses	0	0	0	0	0	0
vm_object_WEIGHT_pte_memory_wait_cycles_max	0	0	0	0	0	0
vm_object_WEIGHT_pte_memory_wait_cycles_total	0	0	0	0	0	0
vm_object_WEIGHT_pte_requests	0	0	0	0	0	0
vm_object_WEIGHT_pwc_accesses	0	0	0	0	0	0
vm_object_WEIGHT_pwc_hits	0	0	0	0	0	0
vm_object_WEIGHT_pwc_misses	0	0	0	0	0	0
vm_object_WEIGHT_requester_latency_cycles_max	0	0	0	0	0	0
vm_object_WEIGHT_requester_latency_cycles_total	0	0	0	0	0	0
vm_object_WEIGHT_requester_mshr_wait_cycles_max	0	0	0	0	0	0
