contrast	counter	left	right	right_minus_left
P2_vs_P4	L2_BW	-35	-39	-4
P2_vs_P4	L2_BW_total	-30	-25	5
P2_vs_P4	L2_WB	15424	15456	32
P2_vs_P4	L2_total_cache_accesses	2462843	2464175	1332
P2_vs_P4	L2_total_cache_misses	1173919	1175927	2008
P2_vs_P4	L2_total_cache_pending_hits	143	85	-58
P2_vs_P4	L2_total_cache_reservation_fails	1654	2401	747
P2_vs_P4	gpgpu_n_mem_read_local	29624	30956	1332
P2_vs_P4	gpgpu_n_stall_shd_mem	10806698	10774440	-32258
P2_vs_P4	gpgpu_silicon_slowdown	-303497	-221794	81703
P2_vs_P4	gpgpu_simulation_rate	686	606	-80
P2_vs_P4	icnt_total_pkts_mem_to_simt	2462843	2464175	1332
P2_vs_P4	icnt_total_pkts_simt_to_mem	2462712	2464044	1332
P2_vs_P4	total_CMD	1980141	2036285	56144
P2_vs_P4	total_req	38612	38688	76
P2_vs_P4	vm_functional_completed	776892	776772	-120
P2_vs_P4	vm_ideal_translations	776892	776772	-120
P2_vs_P4	vm_identity_equal	776892	776772	-120
P2_vs_P4	vm_l1_tlb_accesses	777307	777222	-85
P2_vs_P4	vm_l1_tlb_evictions	3424	3343	-81
P2_vs_P4	vm_l1_tlb_hits	773883	773879	-4
P2_vs_P4	vm_l1_tlb_lookup_completions	777307	777222	-85
P2_vs_P4	vm_l1_tlb_lookup_launches	777307	777222	-85
P2_vs_P4	vm_l1_tlb_lookup_service_cycles	7773070	7772220	-850
P2_vs_P4	vm_l1_tlb_misses	3424	3343	-81
P2_vs_P4	vm_l2_tlb_accesses	3424	3343	-81
P2_vs_P4	vm_l2_tlb_hits	3009	2893	-116
P2_vs_P4	vm_l2_tlb_lookup_completions	3424	3343	-81
P2_vs_P4	vm_l2_tlb_lookup_launches	3424	3343	-81
P2_vs_P4	vm_l2_tlb_lookup_service_cycles	273920	267440	-6480
P2_vs_P4	vm_l2_tlb_misses	415	450	35
P2_vs_P4	vm_l2_tlb_port_stalls	3314	3447	133
P2_vs_P4	vm_object_KV_CACHE_completed	777307	777222	-85
P2_vs_P4	vm_object_KV_CACHE_l1_hits	773883	773879	-4
P2_vs_P4	vm_object_KV_CACHE_l1_lookup_launches	777307	777222	-85
P2_vs_P4	vm_object_KV_CACHE_l1_misses	3424	3343	-81
P2_vs_P4	vm_object_KV_CACHE_l2_hits	3009	2893	-116
P2_vs_P4	vm_object_KV_CACHE_l2_lookup_launches	3424	3343	-81
P2_vs_P4	vm_object_KV_CACHE_l2_misses	415	450	35
P2_vs_P4	vm_object_KV_CACHE_mshr_merges	287	322	35
