control	metric	accepted_r0	diagnostic_disabled	result
P8	gpu_sim_cycle	835145	835145	PASS
P8	gpu_sim_insn	368696302	368696302	PASS
P8	gpu_tot_issued_cta	224	224	PASS
P8	vm_l1_tlb_accesses	777656	777656	PASS
P8	vm_l1_tlb_hits	774272	774272	PASS
P8	vm_l1_tlb_misses	3384	3384	PASS
P8	vm_l2_tlb_accesses	3384	3384	PASS
P8	vm_l2_tlb_hits	3092	3092	PASS
P8	vm_l2_tlb_misses	292	292	PASS
P8	vm_translation_walk_starts	16	16	PASS
P8	vm_translation_walk_completions	16	16	PASS
P8	vm_pwc_accesses	48	48	PASS
P8	vm_pwc_hits	45	45	PASS
P8	vm_pwc_misses	3	3	PASS
P8	vm_pte_requests	19	19	PASS
P8	vm_pte_responses	19	19	PASS
P8	vm_pte_l2_only_responses	9	9	PASS
P8	vm_pte_dram_responses	10	10	PASS
P8	vm_translation_requester_latency_cycles_total	8466455	8466455	PASS
P8	L2_total_cache_accesses	2463303	2463303	PASS
P8	L2_total_cache_misses	1183770	1183770	PASS
P34	gpu_sim_cycle	871835	871835	PASS
P34	gpu_sim_insn	368696302	368696302	PASS
P34	gpu_tot_issued_cta	224	224	PASS
P34	vm_l1_tlb_accesses	776915	776915	PASS
P34	vm_l1_tlb_hits	773501	773501	PASS
P34	vm_l1_tlb_misses	3414	3414	PASS
P34	vm_l2_tlb_accesses	3414	3414	PASS
P34	vm_l2_tlb_hits	3165	3165	PASS
P34	vm_l2_tlb_misses	249	249	PASS
P34	vm_translation_walk_starts	15	15	PASS
P34	vm_translation_walk_completions	15	15	PASS
P34	vm_pwc_accesses	45	45	PASS
P34	vm_pwc_hits	42	42	PASS
P34	vm_pwc_misses	3	3	PASS
P34	vm_pte_requests	18	18	PASS
P34	vm_pte_responses	18	18	PASS
P34	vm_pte_l2_only_responses	8	8	PASS
P34	vm_pte_dram_responses	10	10	PASS
P34	vm_translation_requester_latency_cycles_total	8477382	8477382	PASS
P34	L2_total_cache_accesses	2463206	2463206	PASS
P34	L2_total_cache_misses	1190722	1190722	PASS
