arm_id	selector	charged_bits	geometry	segment_contract	pwc_status	selection_status
F0	baseline_exact_64k	66000	768 exact/16-way/48 sets	none	NA	OFFICIAL
F1	subentry_g96	59802	96 groups*16 leaves/16-way/6 sets	none	NA	OFFICIAL_REFERENCE_APPROX_SUBENTRY_16
F2	exact_e688	59125	688 exact/16-way/43 sets	none	NA	OFFICIAL_COMPARATOR
F3	exact_sweep_e	E*85+(E/16)*15	E multiple of 16/16-way	charged separately	NA	OFFICIAL_CHARGED_SWEEP
F4	exact_e1536	132000	1536 exact/16-way/96 sets	none	NA	DIAGNOSTIC_NOT_EQUAL_COST
F5	exact_e656_plus_pwc120	64745	656 exact/16-way/41 sets	none	40/40/40 pointer-payload model absent	F5_MODEL_IMPLEMENTATION_INCOMPLETE_C10B_BLOCKER
F6	exact_2m_e848	65243	848 exact/16-way/53 sets/2MiB	none	NA	DIAGNOSTIC_PAGE_POLICY_REQUIRED
F7	segment_n8_plus_exact_e320	65300	320 exact/16-way/20 sets	35 replicas*N8; Lseg 5/10/20; 1 accept/local cycle	NA	OFFICIAL_SPECULATIVE_CANDIDATE
F8	segment_n8_plus_subentry_g32	57734	32 groups*16 leaves/16-way/2 sets	35 replicas*N8; Lseg 5/10/20; 1 accept/local cycle	NA	OFFICIAL_REFERENCE_APPROX_SUBENTRY_16_SPECULATIVE_CANDIDATE
F9	exact_e656	56375	656 exact/16-way/41 sets	none	NA	OFFICIAL_COMPARATOR
H0	legacy_subentry_g768	478416	768 groups*16 leaves/16-way/48 sets	none	NA	HISTORICAL_UNFAIR_SPECULATIVE_CANDIDATE_DO_NOT_SELECT
