field	value	role	status
framework_repository	swayhrl/accel-sim-framework	working repository	AUTHORITATIVE
framework_input_head	0df947d4b35f7e916e7396540295bef73bb20c81	C10-A authorization handoff input	VERIFIED
framework_branch	hrl/vm-m4b-speculative-v0	C10-A branch	VERIFIED
core_repository	swayhrl/gpgpu-sim	functional model repository	AUTHORITATIVE
core_frozen_input	c21137bcb86010215c008292f272aacefac175d3	sole C10-A functional-delta parent	VERIFIED
core_branch	hrl/vm-m4b-speculative-v0	C10-A branch	VERIFIED
core_checkpoint_real_pa	5191bb5b	registered PA mapping checkpoint	PUSHED
core_checkpoint_ordering	c27bf0e2fc5e24c54966426840bd56748ef92028	local table/ordering/fair-subentry checkpoint	PUSHED
c9_architecture_record	C9_SEGMENT_SUBENTRY_ARCHITECTURE_DECISION/ARCHITECTURE_DECISION_RECORD.md	frozen design authority	READ
c9_weight_spec	C9_SEGMENT_SUBENTRY_ARCHITECTURE_DECISION/WEIGHT_SEGMENT_ARCHITECTURE_SPEC.md	descriptor/topology/order authority	READ
c9_subentry_budget	C9_SEGMENT_SUBENTRY_ARCHITECTURE_DECISION/SUBENTRY_EQUAL_BIT_BUDGET.md	C9 accounting ABI	READ
c9_fair_policy	C9_SEGMENT_SUBENTRY_ARCHITECTURE_DECISION/FAIR_BASELINE_POLICY.md	F0--F9 authority	READ
c9_c10_requirements	C9_SEGMENT_SUBENTRY_ARCHITECTURE_DECISION/C10_IMPLEMENTATION_REQUIREMENTS.md	implementation requirements	READ
c10a_handoff	docs/vm_tlb/codex_handoff/spec_m4b/C10A_ARCHITECTURE_MODEL_IMPLEMENTATION_LOW_RESOURCE.md	current authorization	READ
c10a_matrix	docs/vm_tlb/codex_handoff/spec_m4b/C10A_ACCEPTANCE_MATRIX.md	acceptance authority	READ
c8_risk_pack	C8_HARDWARE_COST_AND_MODEL_RISK_AUDIT	model-risk context	READ
window_a_early_c4	git object 2e491abec2afb0c745ca26aae0d86f8f35ad096b	methodology-only external reference	NOT_USED_FOR_CALIBRATION
labels	REFERENCE_APPROX_SUBENTRY_16; SPECULATIVE_CANDIDATE	candidate labels	PRESERVED
