scenario	suite	evidence_class	full_scenario_gpu_duration_ns	exact_covered_ns	exact_coverage	implementation_recurrence_covered_ns	implementation_recurrence_coverage	family_archetype_covered_ns	family_archetype_coverage	uncovered_exact_ns	uncovered_implementation_ns	uncovered_family_ns	prefill_exact_coverage	decode_exact_coverage	high_mass_exact_gap_strata_count	high_mass_exact_gap_ns
S2	S2_BALANCED_ONLY	ACCEPTED_S2	154876910	139333064	0.8996374217434994	139333064	0.8996374217434994	149598467	0.9659184638949732	15543846	15543846	5278443	0.7540127582564607	0.939382320474591	0	0
S2	PROPOSED_META_SUITE	ACCEPTED_S2	154876910	140881452	0.9096349610797374	141842736	0.9158417223070889	153953195	0.9940358120522936	13995458	13034174	923715	0.7540127582564607	0.9520269286837508	0	0
T256	S2_BALANCED_ONLY	DERIVED_CONTROL	113218961	89677302	0.7920696428224597	102399651	0.904439062994051	111212144	0.9822749035826251	23541659	10819310	2006817	0.0	0.8348965491276084	6	12941807
T256	PROPOSED_META_SUITE	DERIVED_CONTROL	113218961	101746049	0.8986661606972352	104104485	0.9194969118291061	112580721	0.9943627816898973	11472912	9114476	638240	0.2957705257562322	0.9317889665846436	3	4491943
T8192	S2_BALANCED_ONLY	ACCEPTED_S3_TEXT	317794729	124074749	0.39042418793547706	235324202	0.7404912055668488	287352417	0.9042076245386688	193719980	82470527	30442312	0.0	0.7661787815158314	8	139315544
T8192	PROPOSED_META_SUITE	ACCEPTED_S3_TEXT	317794729	288745652	0.9085916966231369	292326165	0.9198584442223395	315573641	0.9930109350555024	29049077	25468564	2221088	0.8490839509290173	0.966819219968462	2	7136290
B4	S2_BALANCED_ONLY	REPLICATED_CONTROL	308549681	21984165	0.0712500007413717	149706727	0.48519488503376546	209654264	0.6794830035815205	286565516	158842954	98895417	0.0	0.12210743317255142	17	220484208
B4	PROPOSED_META_SUITE	REPLICATED_CONTROL	308549681	246928323	0.8002870792143194	274911400	0.8909793687325186	306269037	0.9926085031343785	61621358	33638281	2280644	0.8155756524956457	0.7904002982544983	6	28408190
D128	S2_BALANCED_ONLY	ACCEPTED_S2_TEXT	497208082	432805811	0.8704721959849397	461460139	0.9281026509943175	491163079	0.9878421063155607	64402271	35747943	6045003	0.7539373563848573	0.8798583691848753	3	16784903
D128	PROPOSED_META_SUITE	ACCEPTED_S2_TEXT	497208082	467122262	0.9394904847906314	468080758	0.9414182410655183	495627278	0.9968206389694204	30085820	29127324	1580804	0.7539373563848573	0.9537705050631635	2	11122780
