capture_group_id	source_kind	phase	normalized_kernel_family	implementation_family_key	target_ids	cross_context_reuse_value	native_time_mass_across_scenarios_ns	scenario_diversity	scenario_mass_ns	actual_measurement_target_count	representative_grid_ctas	estimated_capture_sim_burden_points	priority_score	capture_authorized	priority_rank
STR_01503476cf8d	S2_BALANCED_MISSING	DECODE	COPY_KERNEL	EXACT_SHA256_1dcd309bfcaf4619985c9773e3174747e99765bae9400e943b6c6c44db5ba036	STR_01503476cf8d_P1	7.0	54336981	5	B4:14567774;D128:19175581;S2:4982632;T256:2767265;T8192:12843729	1	304	6.0631663581125625	313663558.39063936	NO	1
STR_8bc741e5debc	S2_BALANCED_MISSING	DECODE	CUBLAS_GEMV	CUBLAS_GEMV_EXACT_9c8b8197c254fdbf63a135e8bd63b6485df1c077c48dcadd41f00f2c59e81469	STR_8bc741e5debc_P1	5.5	81233060	4	D128:46396681;S2:11757630;T256:11629254;T8192:11449495	1	224	5.95344529780426	300183713.900777	NO	2
STR_fb002dc5652b	S2_BALANCED_MISSING	DECODE	CUBLAS_GEMV	CUBLAS_GEMV_EXACT_9c8b8197c254fdbf63a135e8bd63b6485df1c077c48dcadd41f00f2c59e81469	STR_fb002dc5652b_P1	5.5	91526230	4	D128:52366232;S2:13107325;T256:12974508;T8192:13078165	1	18992	7.553295045236148	266582603.7432445	NO	3
STR_8a5773a1d265	S2_BALANCED_MISSING	DECODE	CUBLAS_GEMV	CUBLAS_GEMV_EXACT_64f86c20cfc766d359c75d4b471c98ecf3fa8577e91f37cfb5564379668a2353	STR_8a5773a1d265_P1	5.5	46561446	4	D128:26307049;S2:6837034;T256:6818440;T8192:6598923	1	224	5.95344529780426	172060338.30155453	NO	4
STR_1e8f76f5cafe	S2_BALANCED_MISSING	DECODE	AT_NATIVE_ELEMENTWISE	EXACT_SHA256_bdd4f2099fa3c9f8e3b033bd895b8cab81b6e96352879bf37854ae6723f62c16	STR_1e8f76f5cafe_P1	7.0	16738581	5	B4:999234;D128:8762279;S2:2397031;T256:2402947;T8192:2177090	1	1	4.25	137847137.6470588	NO	5
STR_9222044406be	S2_BALANCED_MISSING	DECODE	COPY_KERNEL	EXACT_SHA256_e593dab8aec90bd69f8465eb6a67ce3b4db21258884d7c33fec094f870a90650	STR_9222044406be_P1	7.0	23677760	5	B4:3917700;D128:10569233;S2:3071111;T256:2945953;T8192:3173763	1	304	6.0631663581125625	136681323.09963164	NO	6
STR_e0922aa2a506	S2_BALANCED_MISSING	DECODE	AT_NATIVE_REDUCE	EXACT_SHA256_d1934c1198203f32a8446aa6060a5371f039492e919c517e67a0ff56e061d5c8	STR_e0922aa2a506_P1	6.0	22788384	4	D128:12704080;S2:3475750;T256:3476132;T8192:3132422	1	1	4.25	128687344.94117647	NO	7
STR_e5778137820d	S2_BALANCED_MISSING	DECODE	AT_NATIVE_ELEMENTWISE	EXACT_SHA256_3152a5cb6f7e1e6677da5888d1fefa8b3ca559fddf1fb0c4617d0cb56def4477	STR_e5778137820d_P1	7.0	15343257	5	B4:2499457;D128:7140682;S2:1953708;T256:1963776;T8192:1785634	1	1	4.25	126356234.11764705	NO	8
STR_6d8d2509696c	S2_BALANCED_MISSING	DECODE	CUBLAS_GEMV	CUBLAS_GEMV_EXACT_64f86c20cfc766d359c75d4b471c98ecf3fa8577e91f37cfb5564379668a2353	STR_6d8d2509696c_P1	5.5	29902803	4	D128:16775357;S2:4468140;T256:4439139;T8192:4220167	1	32	5.261098529839614	125042643.1416891	NO	9
STR_48b98b28a393	S2_BALANCED_MISSING	DECODE	AT_NATIVE_UNROLLED_ELEMENTWISE	EXACT_SHA256_26d2f4f0b5d9d5b83d006b5e996d302bc2540a6b46e756e9c77b55f1b382e8bb	STR_48b98b28a393_P1	6.0	22256443	4	D128:12349647;S2:3378439;T256:3439809;T8192:3088548	1	2	4.396240625180289	121502592.22403106	NO	10
STR_c6105f5a2136	S2_BALANCED_MISSING	DECODE	AT_NATIVE_UNROLLED_ELEMENTWISE	EXACT_SHA256_3702ca85440b806203a31d138d80432ce866ff4ba454c09654edbe7c32daf526	STR_c6105f5a2136_P1	6.0	20758113	4	D128:11545744;S2:3157799;T256:3183144;T8192:2871426	1	2	4.396240625180289	113322894.3717268	NO	11
STR_1a4d1a138a59	S2_BALANCED_MISSING	DECODE	AT_NATIVE_ELEMENTWISE	EXACT_SHA256_3152a5cb6f7e1e6677da5888d1fefa8b3ca559fddf1fb0c4617d0cb56def4477	STR_1a4d1a138a59_P1	6.0	18491622	4	D128:10295095;S2:2816200;T256:2824547;T8192:2555780	1	2	4.396240625180289	100949644.4434954	NO	12
STR_860680a18dcd	S2_BALANCED_MISSING	DECODE	AT_NATIVE_VECTORIZED_ELEMENTWISE	EXACT_SHA256_2cd3f805e75b60f437e0ecf47f1945becd532a081eeb10bb36e7cc262e6f7e26	STR_860680a18dcd_P1	6.0	15002681	4	D128:8310957;S2:2274215;T256:2329314;T8192:2088195	1	2	4.396240625180289	81902783.46859913	NO	13
STR_ccdc733edc2b	S2_BALANCED_MISSING	DECODE	AT_NATIVE_ELEMENTWISE	EXACT_SHA256_91297a911e5ce0bc544f9f1e69b7e03db76a50894146196e6db519747eea57d6	STR_ccdc733edc2b_P1	6.0	14207574	4	D128:7893383;S2:2160965;T256:2179780;T8192:1973446	1	4	4.58048202372184	74442334.7224355	NO	14
STR_1f2dafe69bb0	S2_BALANCED_MISSING	DECODE	AT_NATIVE_VECTORIZED_ELEMENTWISE	EXACT_SHA256_e88663be9a32f280a8174eef80811f6610d41523e6f08d34561f29442abd05c4	STR_1f2dafe69bb0_P1	6.0	11144847	4	D128:6214246;S2:1684834;T256:1603651;T8192:1642116	1	2	4.396240625180289	60842058.20490795	NO	15
EXT_EXACT_44d57d3e244c	EXACT_SHAPE_EXTENSION	DECODE	AT_NATIVE_VECTORIZED_ELEMENTWISE	EXACT_SHA256_3d29b9d568dac897004721d1cb9b00837e19e4db53054e85678fd4b8a9ca1e47	EXT_EXACT_44d57d3e244c_P1	6.0	10071342	4	B4:1433793;D128:5662123;T256:1560994;T8192:1414432	1	1	4.25	56873460.705882356	NO	16
EXT_EXACT_a01c2b11d255	EXACT_SHAPE_EXTENSION	PREFILL	CUBLAS_GEMM	EXACT_SHA256_6772506365e233da090e0ec1971f29a2a97bb416727f6cee57157daa8f9f1462	EXT_EXACT_a01c2b11d255_P1	2.5	73663594	2	B4:36828986;T8192:36834608	1	2432	6.812130151234607	54067958.4539716	NO	17
EXT_EXACT_237af3de300d	EXACT_SHAPE_EXTENSION	PREFILL	CUBLAS_GEMM	CUTLASS_F16_GEMM_256X128_32X3_TN_ALIGN8	EXT_EXACT_237af3de300d_P1	4.0	48954954	2	B4:24483238;T8192:24471716	1	38400	7.807214065047512	50163813.716002755	NO	18
EXT_EXACT_b9e960de7c28	EXACT_SHAPE_EXTENSION	PREFILL	CUBLAS_GEMM	EXACT_SHA256_8530e1eefcc894c7e7a5fc850f51ffdce69371602db40ea0cca0c9242443f1f5	EXT_EXACT_b9e960de7c28_P1	4.0	36531069	2	B4:18267771;T8192:18263298	1	448	6.202642908685286	47116778.493048064	NO	19
EXT_EXACT_b32af2ffd236	EXACT_SHAPE_EXTENSION	PREFILL	AT_NATIVE_VECTORIZED_ELEMENTWISE	EXACT_SHA256_e88663be9a32f280a8174eef80811f6610d41523e6f08d34561f29442abd05c4	EXT_EXACT_b32af2ffd236_P1	4.0	18743089	2	B4:9365871;T8192:9377218	1	77824	8.061986512810975	18598978.274365623	NO	20
EXT_EXACT_002cdb044939	EXACT_SHAPE_EXTENSION	PREFILL	PYTORCH_FLASH_FWD	FLASH_FWD	EXT_EXACT_002cdb044939_P1	3.0	37437222	1	T8192:37437222	1	896	6.452241043729815	17406613.491159428	NO	21
EXT_EXACT_73cbec7be9f1	EXACT_SHAPE_EXTENSION	DECODE	PYTORCH_FLASH_FWD	FLASH_FWD_SPLITKV	EXT_EXACT_73cbec7be9f1_P1	3.0	28056212	1	B4:28056212	1	280	6.033606580055231	13949970.864561992	NO	22
STR_4d6a458e05a7	S2_BALANCED_MISSING	PREFILL	CUBLAS_GEMM	CUTLASS_F16_GEMM_256X128_32X3_TN_ALIGN8	STR_4d6a458e05a7_P1	4.0	12311257	2	D128:6155691;S2:6155566	1	9600	7.307242240850682	13478416.720523851	NO	23
STR_ca7222ce4e26	S2_BALANCED_MISSING	PREFILL	CUBLAS_GEMM	EXACT_SHA256_8530e1eefcc894c7e7a5fc850f51ffdce69371602db40ea0cca0c9242443f1f5	STR_ca7222ce4e26_P1	4.0	9563155	2	D128:4779337;S2:4783818	1	448	6.202642908685286	12334297.028912159	NO	24
EXT_EXACT_d24393dd9bd1	EXACT_SHAPE_EXTENSION	PREFILL	AT_NATIVE_VECTORIZED_ELEMENTWISE	EXACT_SHA256_0c13d038c2620873928ae5a36dd84e84b24a70287e3637f75bc0f3ed71c8a4d1	EXT_EXACT_d24393dd9bd1_P1	4.0	11591872	2	B4:5796680;T8192:5795192	1	77824	8.061986512810975	11502745.117799269	NO	25
TRJ_a372e5defa43	S2_BALANCED_MISSING	DECODE	AT_NATIVE_ELEMENTWISE	EXACT_SHA256_d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	TRJ_a372e5defa43_P1;TRJ_a372e5defa43_P2;TRJ_a372e5defa43_P3	4.0	21055627	2	D128:10394612;S2:10661015	3	10838	22.0529580301152	7638205.077521752	NO	26
EXT_EXACT_d01bca44e9a3	EXACT_SHAPE_EXTENSION	PREFILL	PYTORCH_FLASH_FWD	FLASH_FWD	EXT_EXACT_d01bca44e9a3_P1	3.0	9882478	1	B4:9882478	1	896	6.452241043729815	4594904.901888453	NO	27
EXT_TRJ_c23e188c1e40	CONTEXT_SHAPE_TRAJECTORY	DECODE	AT_NATIVE_ELEMENTWISE	EXACT_SHA256_d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	EXT_TRJ_c23e188c1e40_P1;EXT_TRJ_c23e188c1e40_P2;EXT_TRJ_c23e188c1e40_P3	3.0	31434347	1	B4:31434347	3	43351	23.552858198839523	4003889.4729407583	NO	28
EXT_TRJ_874f0472206c	CONTEXT_SHAPE_TRAJECTORY	DECODE	AT_NATIVE_ELEMENTWISE	EXACT_SHA256_d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	EXT_TRJ_874f0472206c_P1;EXT_TRJ_874f0472206c_P2;EXT_TRJ_874f0472206c_P3	3.0	31077217	1	T8192:31077217	3	43094	23.54642465485578	3959482.272429569	NO	29
EXT_TRJ_f72c35c4785d	HORIZON_SHAPE_CONTINUATION	DECODE	AT_NATIVE_ELEMENTWISE	EXACT_SHA256_d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	EXT_TRJ_f72c35c4785d_P1;EXT_TRJ_f72c35c4785d_P2;EXT_TRJ_f72c35c4785d_P3	3.0	28654328	1	D128:28654328	3	11174	22.085990408218528	3892195.1160502126	NO	30
EXT_EXACT_954048933e32	EXACT_SHAPE_EXTENSION	DECODE	CUBLAS_GEMM	EXACT_SHA256_b222ed3c50b83fc08d44b95f8e2b6efab304392da9252c918dd6edf51446b02a	EXT_EXACT_954048933e32_P1	1.0	23128106	1	B4:23128106	1	304	6.0631663581125625	3814526.0469481293	NO	31
EXT_EXACT_07c56f6ca0ef	EXACT_SHAPE_EXTENSION	DECODE	PYTORCH_FLASH_FWD	FLASH_FWD_SPLITKV	EXT_EXACT_07c56f6ca0ef_P1	3.0	5489477	1	T256:5489477	1	28	5.214495248781893	3158202.3214705256	NO	32
