scenario	phase	family_archetype	normalized_kernel_family	exact_implementation_sha256	implementation_family_key	recurrence_signature	grid	block	launch_count	accumulated_gpu_duration_ns	scenario_gpu_time_share	s2_balanced_relation	scenario_specific_high_mass_gap	meta_suite_relation	remaining_high_mass_exact_gap
S2	AUXILIARY	REDUCE	AT_NATIVE_REDUCE	7e92bc5c05f71ba4e365f817703efeb2ee9218a1ab865776f0b91b6f46fa4a37	EXACT_SHA256_7e92bc5c05f71ba4e365f817703efeb2ee9218a1ab865776f0b91b6f46fa4a37	AUXILIARY	1,19,1	512,1,1	33	192864	0.0012452727782340182	UNCOVERED_ARCHETYPE	NO	UNCOVERED_ARCHETYPE	NO
S2	DECODE	GEMV	CUBLAS_GEMV	9c8b8197c254fdbf63a135e8bd63b6485df1c077c48dcadd41f00f2c59e81469	CUBLAS_GEMV_EXACT_9c8b8197c254fdbf63a135e8bd63b6485df1c077c48dcadd41f00f2c59e81469	STABLE_48	1216,1,1	16,4,1	1536	24759017	0.1598625450365713	LEVEL3_EXACT	NO	LEVEL3_EXACT	NO
S2	DECODE	GEMV	CUBLAS_GEMV	9c8b8197c254fdbf63a135e8bd63b6485df1c077c48dcadd41f00f2c59e81469	CUBLAS_GEMV_EXACT_9c8b8197c254fdbf63a135e8bd63b6485df1c077c48dcadd41f00f2c59e81469	STABLE_1	18992,1,1	8,8,1	32	13107325	0.08463059470904992	LEVEL3_EXACT	NO	LEVEL3_EXACT	NO
S2	DECODE	GEMV	CUBLAS_GEMV	9c8b8197c254fdbf63a135e8bd63b6485df1c077c48dcadd41f00f2c59e81469	CUBLAS_GEMV_EXACT_9c8b8197c254fdbf63a135e8bd63b6485df1c077c48dcadd41f00f2c59e81469	STABLE_24	224,1,1	16,4,1	768	11757630	0.07591596449076883	LEVEL3_EXACT	NO	LEVEL3_EXACT	NO
S2	DECODE	FLASH	PYTORCH_FLASH_FWD	acd9e92a7282d0c17ce34f2bda8a7972bb8913b66629d00bdecf3b119a81d426	FLASH_FWD_SPLITKV	STABLE_24	1,9,14	128,1,1	768	9924399	0.0640792678521285	LEVEL3_EXACT	NO	LEVEL3_EXACT	NO
S2	DECODE	GEMV	CUBLAS_GEMV	64f86c20cfc766d359c75d4b471c98ecf3fa8577e91f37cfb5564379668a2353	CUBLAS_GEMV_EXACT_64f86c20cfc766d359c75d4b471c98ecf3fa8577e91f37cfb5564379668a2353	STABLE_48	224,1,1	32,4,1	1536	6837034	0.044144953563445964	LEVEL3_EXACT	NO	LEVEL3_EXACT	NO
S2	DECODE	COPY	COPY_KERNEL	1dcd309bfcaf4619985c9773e3174747e99765bae9400e943b6c6c44db5ba036	EXACT_SHA256_1dcd309bfcaf4619985c9773e3174747e99765bae9400e943b6c6c44db5ba036	VARIABLE_0_48	152,2,1	512,1,1	1488	4982632	0.0321715612740466	LEVEL3_EXACT	NO	LEVEL3_EXACT	NO
S2	DECODE	GEMV	CUBLAS_GEMV	64f86c20cfc766d359c75d4b471c98ecf3fa8577e91f37cfb5564379668a2353	CUBLAS_GEMV_EXACT_64f86c20cfc766d359c75d4b471c98ecf3fa8577e91f37cfb5564379668a2353	STABLE_48	32,1,1	32,4,1	1536	4468140	0.02884961999822956	LEVEL3_EXACT	NO	LEVEL3_EXACT	NO
S2	DECODE	REDUCE	AT_NATIVE_REDUCE	d1934c1198203f32a8446aa6060a5371f039492e919c517e67a0ff56e061d5c8	EXACT_SHA256_d1934c1198203f32a8446aa6060a5371f039492e919c517e67a0ff56e061d5c8	STABLE_49	1,1,1	128,1,1	1568	3475750	0.022442015404362085	LEVEL3_EXACT	NO	LEVEL3_EXACT	NO
S2	DECODE	ELEMENTWISE	AT_NATIVE_UNROLLED_ELEMENTWISE	26d2f4f0b5d9d5b83d006b5e996d302bc2540a6b46e756e9c77b55f1b382e8bb	EXACT_SHA256_26d2f4f0b5d9d5b83d006b5e996d302bc2540a6b46e756e9c77b55f1b382e8bb	STABLE_49	2,1,1	128,1,1	1568	3378439	0.02181370354044383	LEVEL3_EXACT	NO	LEVEL3_EXACT	NO
S2	DECODE	ELEMENTWISE	AT_NATIVE_UNROLLED_ELEMENTWISE	3702ca85440b806203a31d138d80432ce866ff4ba454c09654edbe7c32daf526	EXACT_SHA256_3702ca85440b806203a31d138d80432ce866ff4ba454c09654edbe7c32daf526	STABLE_49	2,1,1	128,1,1	1568	3157799	0.020389088341186558	LEVEL3_EXACT	NO	LEVEL3_EXACT	NO
S2	DECODE	COPY	COPY_KERNEL	e593dab8aec90bd69f8465eb6a67ce3b4db21258884d7c33fec094f870a90650	EXACT_SHA256_e593dab8aec90bd69f8465eb6a67ce3b4db21258884d7c33fec094f870a90650	VARIABLE_48_96	152,2,1	512,1,1	1584	3071111	0.019829366430412384	LEVEL3_EXACT	NO	LEVEL3_EXACT	NO
S2	DECODE	ELEMENTWISE	AT_NATIVE_ELEMENTWISE	3152a5cb6f7e1e6677da5888d1fefa8b3ca559fddf1fb0c4617d0cb56def4477	EXACT_SHA256_3152a5cb6f7e1e6677da5888d1fefa8b3ca559fddf1fb0c4617d0cb56def4477	STABLE_48	2,1,1	128,1,1	1536	2816200	0.018183472281310363	LEVEL3_EXACT	NO	LEVEL3_EXACT	NO
S2	DECODE	ELEMENTWISE	AT_NATIVE_ELEMENTWISE	bdd4f2099fa3c9f8e3b033bd895b8cab81b6e96352879bf37854ae6723f62c16	EXACT_SHA256_bdd4f2099fa3c9f8e3b033bd895b8cab81b6e96352879bf37854ae6723f62c16	STABLE_48	1,1,1	128,1,1	1536	2397031	0.015477006869519801	LEVEL3_EXACT	NO	LEVEL3_EXACT	NO
S2	DECODE	ELEMENTWISE	AT_NATIVE_VECTORIZED_ELEMENTWISE	2cd3f805e75b60f437e0ecf47f1945becd532a081eeb10bb36e7cc262e6f7e26	EXACT_SHA256_2cd3f805e75b60f437e0ecf47f1945becd532a081eeb10bb36e7cc262e6f7e26	STABLE_72	2,1,1	128,1,1	2304	2274215	0.014684015841999947	LEVEL3_EXACT	NO	LEVEL3_EXACT	NO
S2	DECODE	FLASH	PYTORCH_FLASH_FWD	e38eb3e5e78b49fe8f9e20a45f95c9b321ce9747e88a1c36a627e74929bc5eec	FLASH_FWD_SPLITKV_COMBINE	STABLE_24	2,1,1	128,1,1	768	2164261	0.013974071409353401	LEVEL3_EXACT	NO	LEVEL3_EXACT	NO
S2	DECODE	ELEMENTWISE	AT_NATIVE_ELEMENTWISE	91297a911e5ce0bc544f9f1e69b7e03db76a50894146196e6db519747eea57d6	EXACT_SHA256_91297a911e5ce0bc544f9f1e69b7e03db76a50894146196e6db519747eea57d6	STABLE_49	4,1,1	128,1,1	1568	2160965	0.013952789993033822	LEVEL3_EXACT	NO	LEVEL3_EXACT	NO
S2	DECODE	ELEMENTWISE	AT_NATIVE_ELEMENTWISE	3152a5cb6f7e1e6677da5888d1fefa8b3ca559fddf1fb0c4617d0cb56def4477	EXACT_SHA256_3152a5cb6f7e1e6677da5888d1fefa8b3ca559fddf1fb0c4617d0cb56def4477	STABLE_48	1,1,1	128,1,1	1536	1953708	0.012614585350392128	LEVEL3_EXACT	NO	LEVEL3_EXACT	NO
S2	DECODE	ELEMENTWISE	AT_NATIVE_VECTORIZED_ELEMENTWISE	e88663be9a32f280a8174eef80811f6610d41523e6f08d34561f29442abd05c4	EXACT_SHA256_e88663be9a32f280a8174eef80811f6610d41523e6f08d34561f29442abd05c4	STABLE_49	2,1,1	128,1,1	1568	1684834	0.010878535735249367	LEVEL3_EXACT	NO	LEVEL3_EXACT	NO
S2	DECODE	ELEMENTWISE	AT_NATIVE_VECTORIZED_ELEMENTWISE	3d29b9d568dac897004721d1cb9b00837e19e4db53054e85678fd4b8a9ca1e47	EXACT_SHA256_3d29b9d568dac897004721d1cb9b00837e19e4db53054e85678fd4b8a9ca1e47	STABLE_49	1,1,1	128,1,1	1568	1548388	0.00999753933623805	LEVEL1_ARCHETYPE_ONLY	NO	LEVEL3_EXACT	NO
S2	DECODE	ELEMENTWISE	AT_NATIVE_VECTORIZED_ELEMENTWISE	6d15560c6de4c556736b71012a902ff283d9e88f8b16006697b7b9723dae7877	EXACT_SHA256_6d15560c6de4c556736b71012a902ff283d9e88f8b16006697b7b9723dae7877	STABLE_49	2,1,1	128,1,1	1568	1525381	0.009848989110126228	LEVEL1_ARCHETYPE_ONLY	NO	LEVEL1_ARCHETYPE_ONLY	NO
S2	DECODE	ELEMENTWISE	AT_NATIVE_VECTORIZED_ELEMENTWISE	5711aa9db8c527013d97f362d04044929dca517a8e05fc11bfa622179d9a60ed	EXACT_SHA256_5711aa9db8c527013d97f362d04044929dca517a8e05fc11bfa622179d9a60ed	STABLE_49	1,1,1	128,1,1	1568	1517863	0.009800447335887577	LEVEL1_ARCHETYPE_ONLY	NO	LEVEL1_ARCHETYPE_ONLY	NO
S2	DECODE	ELEMENTWISE	AT_NATIVE_VECTORIZED_ELEMENTWISE	0c13d038c2620873928ae5a36dd84e84b24a70287e3637f75bc0f3ed71c8a4d1	EXACT_SHA256_0c13d038c2620873928ae5a36dd84e84b24a70287e3637f75bc0f3ed71c8a4d1	STABLE_24	10,1,1	128,1,1	768	878978	0.005675332752958462	LEVEL1_ARCHETYPE_ONLY	NO	LEVEL1_ARCHETYPE_ONLY	NO
S2	DECODE	ELEMENTWISE	AT_NATIVE_VECTORIZED_ELEMENTWISE	e88663be9a32f280a8174eef80811f6610d41523e6f08d34561f29442abd05c4	EXACT_SHA256_e88663be9a32f280a8174eef80811f6610d41523e6f08d34561f29442abd05c4	STABLE_24	10,1,1	128,1,1	768	761826	0.004918912702997496	LEVEL1_ARCHETYPE_ONLY	NO	LEVEL1_ARCHETYPE_ONLY	NO
S2	DECODE	ELEMENTWISE	AT_NATIVE_VECTORIZED_ELEMENTWISE	2cd3f805e75b60f437e0ecf47f1945becd532a081eeb10bb36e7cc262e6f7e26	EXACT_SHA256_2cd3f805e75b60f437e0ecf47f1945becd532a081eeb10bb36e7cc262e6f7e26	STABLE_24	1,1,1	128,1,1	768	751650	0.004853208912806951	LEVEL1_ARCHETYPE_ONLY	NO	LEVEL1_ARCHETYPE_ONLY	NO
S2	DECODE	ELEMENTWISE	AT_NATIVE_ELEMENTWISE	d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	EXACT_SHA256_d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	ONE_STEP_SHAPE_48	3635,1,1	128,1,1	48	338529	0.0021857938668843535	LEVEL3_EXACT	NO	LEVEL3_EXACT	NO
S2	DECODE	ELEMENTWISE	AT_NATIVE_ELEMENTWISE	d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	EXACT_SHA256_d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	ONE_STEP_SHAPE_48	3630,1,1	128,1,1	48	338464	0.002185374178759119	LEVEL3_EXACT	NO	LEVEL3_EXACT	NO
S2	DECODE	ELEMENTWISE	AT_NATIVE_ELEMENTWISE	d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	EXACT_SHA256_d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	ONE_STEP_SHAPE_48	3633,1,1	128,1,1	48	338336	0.002184547715989427	LEVEL3_EXACT	NO	LEVEL3_EXACT	NO
S2	DECODE	ELEMENTWISE	AT_NATIVE_ELEMENTWISE	d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	EXACT_SHA256_d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	ONE_STEP_SHAPE_48	3632,1,1	128,1,1	48	338208	0.0021837212532197343	LEVEL3_EXACT	NO	LEVEL3_EXACT	NO
S2	DECODE	ELEMENTWISE	AT_NATIVE_ELEMENTWISE	d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	EXACT_SHA256_d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	ONE_STEP_SHAPE_48	3625,1,1	128,1,1	48	337953	0.0021820747844207376	LEVEL3_EXACT	NO	LEVEL3_EXACT	NO
S2	DECODE	ELEMENTWISE	AT_NATIVE_ELEMENTWISE	d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	EXACT_SHA256_d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	ONE_STEP_SHAPE_48	3628,1,1	128,1,1	48	337921	0.0021818681687283147	LEVEL3_EXACT	NO	LEVEL3_EXACT	NO
S2	DECODE	ELEMENTWISE	AT_NATIVE_ELEMENTWISE	d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	EXACT_SHA256_d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	ONE_STEP_SHAPE_48	3626,1,1	128,1,1	48	337600	0.0021797955550636955	LEVEL3_EXACT	NO	LEVEL3_EXACT	NO
