target_id	candidate_id	source_scenario	represented_scenarios	scenario_mass_ns_nonadditive	meta_role	phase	normalized_kernel_family	family_archetype	implementation_family_key	recurrence_signature	exact_implementation_sha256	grid	block	decode_step	group_total_native_mass_ns_nonadditive	group_mass_accounted_ns	asset_classification	capture_authorized	selection_reason
EXT_EXACT_002cdb044939_P1	EXT_EXACT_002cdb044939	T8192	T8192	T8192:37437222	SCENARIO_EXTENSION	PREFILL	PYTORCH_FLASH_FWD	FLASH	FLASH_FWD	ONE_OBSERVED_PASS	28f5ddff59b2ab385e957e346a004210bdff57579ab7607d302907c74f415ba4	64,1,14	128,1,1	REPRESENTATIVE_STEP_UNRESOLVED	37437222	37437222	MISSING_SIM_TRACE_PLANNING	NO	EXACT_IMPLEMENTATION_GRID_BLOCK_SHARED_WHERE_PRESENT
EXT_EXACT_07c56f6ca0ef_P1	EXT_EXACT_07c56f6ca0ef	T256	T256	T256:5489477	SCENARIO_EXTENSION	DECODE	PYTORCH_FLASH_FWD	FLASH	FLASH_FWD_SPLITKV	STABLE_24	acd9e92a7282d0c17ce34f2bda8a7972bb8913b66629d00bdecf3b119a81d426	1,2,14	128,1,1	REPRESENTATIVE_STEP_UNRESOLVED	5489477	5489477	MISSING_SIM_TRACE_PLANNING	NO	EXACT_IMPLEMENTATION_GRID_BLOCK_SHARED_WHERE_PRESENT
EXT_EXACT_237af3de300d_P1	EXT_EXACT_237af3de300d	B4	B4;T8192	B4:24483238;T8192:24471716	SCENARIO_EXTENSION	PREFILL	CUBLAS_GEMM	GEMM	CUTLASS_F16_GEMM_256X128_32X3_TN_ALIGN8	ONE_OBSERVED_PASS	90f8352b488cd3123433f3ba1c70b52fdf0186831d779bb6eea1135c76e59d93	512,75,1	256,1,1	REPRESENTATIVE_STEP_UNRESOLVED	48954954	48954954	MISSING_SIM_TRACE_PLANNING	NO	EXACT_IMPLEMENTATION_GRID_BLOCK_SHARED_WHERE_PRESENT
EXT_EXACT_43330b812036_P1	EXT_EXACT_43330b812036	T256	T256	T256:1399393	SCENARIO_EXTENSION	PREFILL	CUBLAS_GEMM	GEMM	EXACT_SHA256_8530e1eefcc894c7e7a5fc850f51ffdce69371602db40ea0cca0c9242443f1f5	ONE_OBSERVED_PASS	8530e1eefcc894c7e7a5fc850f51ffdce69371602db40ea0cca0c9242443f1f5	38,2,1	128,1,1	REPRESENTATIVE_STEP_UNRESOLVED	1399393	1399393	MISSING_SIM_TRACE_PLANNING	NO	EXACT_IMPLEMENTATION_GRID_BLOCK_SHARED_WHERE_PRESENT
EXT_EXACT_44d57d3e244c_P1	EXT_EXACT_44d57d3e244c	D128	B4;D128;T256;T8192	B4:1433793;D128:5662123;T256:1560994;T8192:1414432	SCENARIO_EXTENSION	DECODE	AT_NATIVE_VECTORIZED_ELEMENTWISE	ELEMENTWISE	EXACT_SHA256_3d29b9d568dac897004721d1cb9b00837e19e4db53054e85678fd4b8a9ca1e47	STABLE_49	3d29b9d568dac897004721d1cb9b00837e19e4db53054e85678fd4b8a9ca1e47	1,1,1	128,1,1	REPRESENTATIVE_STEP_UNRESOLVED	10071342	10071342	MISSING_SIM_TRACE_PLANNING	NO	EXACT_IMPLEMENTATION_GRID_BLOCK_SHARED_WHERE_PRESENT
EXT_EXACT_4f420de48de8_P1	EXT_EXACT_4f420de48de8	B4	B4	B4:8819404	SCENARIO_EXTENSION	DECODE	CUBLAS_GEMM	GEMM	EXACT_SHA256_944c439ce7856ba1b82bb05e2ec1be30aae379d26ccb629052dc6da785b6e013	STABLE_48	944c439ce7856ba1b82bb05e2ec1be30aae379d26ccb629052dc6da785b6e013	8,1,1	32,1,1	REPRESENTATIVE_STEP_UNRESOLVED	8819404	8819404	MISSING_SIM_TRACE_PLANNING	NO	EXACT_IMPLEMENTATION_GRID_BLOCK_SHARED_WHERE_PRESENT
EXT_EXACT_73cbec7be9f1_P1	EXT_EXACT_73cbec7be9f1	B4	B4	B4:28056212	SCENARIO_EXTENSION	DECODE	PYTORCH_FLASH_FWD	FLASH	FLASH_FWD_SPLITKV	STABLE_24	acd9e92a7282d0c17ce34f2bda8a7972bb8913b66629d00bdecf3b119a81d426	1,5,56	128,1,1	REPRESENTATIVE_STEP_UNRESOLVED	28056212	28056212	MISSING_SIM_TRACE_PLANNING	NO	EXACT_IMPLEMENTATION_GRID_BLOCK_SHARED_WHERE_PRESENT
EXT_EXACT_871d8b36578c_P1	EXT_EXACT_871d8b36578c	B4	B4	B4:12715729	SCENARIO_EXTENSION	DECODE	CUBLAS_GEMM	GEMM	EXACT_SHA256_b222ed3c50b83fc08d44b95f8e2b6efab304392da9252c918dd6edf51446b02a	STABLE_24	b222ed3c50b83fc08d44b95f8e2b6efab304392da9252c918dd6edf51446b02a	8,7,16	32,1,1	REPRESENTATIVE_STEP_UNRESOLVED	12715729	12715729	MISSING_SIM_TRACE_PLANNING	NO	EXACT_IMPLEMENTATION_GRID_BLOCK_SHARED_WHERE_PRESENT
EXT_EXACT_941ea37d7171_P1	EXT_EXACT_941ea37d7171	B4	B4	B4:14731543	SCENARIO_EXTENSION	DECODE	CUBLAS_GEMM	GEMM	EXACT_SHA256_b222ed3c50b83fc08d44b95f8e2b6efab304392da9252c918dd6edf51446b02a	STABLE_1	b222ed3c50b83fc08d44b95f8e2b6efab304392da9252c918dd6edf51446b02a	8,1187,1	32,1,1	REPRESENTATIVE_STEP_UNRESOLVED	14731543	14731543	MISSING_SIM_TRACE_PLANNING	NO	EXACT_IMPLEMENTATION_GRID_BLOCK_SHARED_WHERE_PRESENT
EXT_EXACT_954048933e32_P1	EXT_EXACT_954048933e32	B4	B4	B4:23128106	SCENARIO_EXTENSION	DECODE	CUBLAS_GEMM	GEMM	EXACT_SHA256_b222ed3c50b83fc08d44b95f8e2b6efab304392da9252c918dd6edf51446b02a	STABLE_48	b222ed3c50b83fc08d44b95f8e2b6efab304392da9252c918dd6edf51446b02a	8,38,1	32,1,1	REPRESENTATIVE_STEP_UNRESOLVED	23128106	23128106	MISSING_SIM_TRACE_PLANNING	NO	EXACT_IMPLEMENTATION_GRID_BLOCK_SHARED_WHERE_PRESENT
