scenario	phase	family_archetype	normalized_kernel_family	exact_implementation_sha256	implementation_family_key	recurrence_signature	grid	block	launch_count	accumulated_gpu_duration_ns	scenario_gpu_time_share	s2_balanced_relation	scenario_specific_high_mass_gap	meta_suite_relation	remaining_high_mass_exact_gap
B4	DECODE	GEMM	CUBLAS_GEMM	b222ed3c50b83fc08d44b95f8e2b6efab304392da9252c918dd6edf51446b02a	EXACT_SHA256_b222ed3c50b83fc08d44b95f8e2b6efab304392da9252c918dd6edf51446b02a	STABLE_48	8,7,1	32,1,1	1536	8820683	0.0285875615603051	UNCOVERED_ARCHETYPE	YES	LEVEL2_IMPLEMENTATION_RECURRENCE	YES
B4	DECODE	ELEMENTWISE	AT_NATIVE_ELEMENTWISE	3152a5cb6f7e1e6677da5888d1fefa8b3ca559fddf1fb0c4617d0cb56def4477	EXACT_SHA256_3152a5cb6f7e1e6677da5888d1fefa8b3ca559fddf1fb0c4617d0cb56def4477	STABLE_97	7,1,1	128,1,1	3104	5568290	0.018046656155836376	LEVEL1_ARCHETYPE_ONLY	YES	LEVEL1_ARCHETYPE_ONLY	YES
B4	DECODE	REDUCE	AT_NATIVE_REDUCE	d1934c1198203f32a8446aa6060a5371f039492e919c517e67a0ff56e061d5c8	EXACT_SHA256_d1934c1198203f32a8446aa6060a5371f039492e919c517e67a0ff56e061d5c8	STABLE_49	1,1,1	128,4,1	1568	3738690	0.01211697898336184	LEVEL2_IMPLEMENTATION_RECURRENCE	YES	LEVEL2_IMPLEMENTATION_RECURRENCE	YES
B4	PREFILL	GEMM	CUBLAS_GEMM	6772506365e233da090e0ec1971f29a2a97bb416727f6cee57157daa8f9f1462	EXACT_SHA256_6772506365e233da090e0ec1971f29a2a97bb416727f6cee57157daa8f9f1462	ONE_OBSERVED_PASS	7,64,1	128,1,1	24	3563878	0.011550418682818213	LEVEL1_ARCHETYPE_ONLY	YES	LEVEL2_IMPLEMENTATION_RECURRENCE	YES
B4	PREFILL	GEMM	CUBLAS_GEMM	ddf4121b5073a646d5c26175c07a8db0df30b54cd0e9e17e3393e3fadcc2d348	EXACT_SHA256_ddf4121b5073a646d5c26175c07a8db0df30b54cd0e9e17e3393e3fadcc2d348	ONE_OBSERVED_PASS	7,64,1	128,1,1	24	3556454	0.011526357727785173	LEVEL1_ARCHETYPE_ONLY	YES	LEVEL1_ARCHETYPE_ONLY	YES
B4	DECODE	ELEMENTWISE	AT_NATIVE_UNROLLED_ELEMENTWISE	26d2f4f0b5d9d5b83d006b5e996d302bc2540a6b46e756e9c77b55f1b382e8bb	EXACT_SHA256_26d2f4f0b5d9d5b83d006b5e996d302bc2540a6b46e756e9c77b55f1b382e8bb	STABLE_49	7,1,1	128,1,1	1568	3160195	0.010242094529989159	LEVEL2_IMPLEMENTATION_RECURRENCE	YES	LEVEL2_IMPLEMENTATION_RECURRENCE	YES
D128	DECODE	ELEMENTWISE	AT_NATIVE_VECTORIZED_ELEMENTWISE	6d15560c6de4c556736b71012a902ff283d9e88f8b16006697b7b9723dae7877	EXACT_SHA256_6d15560c6de4c556736b71012a902ff283d9e88f8b16006697b7b9723dae7877	STABLE_49	2,1,1	128,1,1	6272	5576621	0.011215869576311512	LEVEL1_ARCHETYPE_ONLY	YES	LEVEL1_ARCHETYPE_ONLY	YES
D128	DECODE	ELEMENTWISE	AT_NATIVE_VECTORIZED_ELEMENTWISE	5711aa9db8c527013d97f362d04044929dca517a8e05fc11bfa622179d9a60ed	EXACT_SHA256_5711aa9db8c527013d97f362d04044929dca517a8e05fc11bfa622179d9a60ed	STABLE_49	1,1,1	128,1,1	6272	5546159	0.011154603476457569	LEVEL1_ARCHETYPE_ONLY	YES	LEVEL1_ARCHETYPE_ONLY	YES
T256	DECODE	ELEMENTWISE	AT_NATIVE_VECTORIZED_ELEMENTWISE	6d15560c6de4c556736b71012a902ff283d9e88f8b16006697b7b9723dae7877	EXACT_SHA256_6d15560c6de4c556736b71012a902ff283d9e88f8b16006697b7b9723dae7877	STABLE_49	2,1,1	128,1,1	1568	1556323	0.013746133918328397	LEVEL1_ARCHETYPE_ONLY	YES	LEVEL1_ARCHETYPE_ONLY	YES
T256	DECODE	ELEMENTWISE	AT_NATIVE_VECTORIZED_ELEMENTWISE	5711aa9db8c527013d97f362d04044929dca517a8e05fc11bfa622179d9a60ed	EXACT_SHA256_5711aa9db8c527013d97f362d04044929dca517a8e05fc11bfa622179d9a60ed	STABLE_49	1,1,1	128,1,1	1568	1517057	0.013399319218271222	LEVEL1_ARCHETYPE_ONLY	YES	LEVEL1_ARCHETYPE_ONLY	YES
