target_id	candidate_id	source_scenario	represented_scenarios	scenario_mass_ns_nonadditive	meta_role	phase	normalized_kernel_family	family_archetype	implementation_family_key	recurrence_signature	exact_implementation_sha256	grid	block	decode_step	group_total_native_mass_ns_nonadditive	group_mass_accounted_ns	asset_classification	capture_authorized	selection_reason
STR_1e33a02a023d_P1	STR_1e33a02a023d	S2	B4;D128;S2;T256;T8192	SEE_CROSS_CONTEXT_CLUSTER_MAP	CORE_CROSS_CONTEXT	PREFILL	CUBLAS_GEMM	GEMM	CUTLASS_F16_GEMM_256X128_32X3_TN_ALIGN8	ONE_OBSERVED_PASS	90f8352b488cd3123433f3ba1c70b52fdf0186831d779bb6eea1135c76e59d93	128,3,1	256,1,1	N/A	9737876	9737876	REUSABLE_NOW	NO	ACCEPTED_S2_BALANCED_REUSE_4_OTHER_SCENARIOS
STR_2e3b147f9188_P1	STR_2e3b147f9188	S2	B4;D128;S2;T256;T8192	SEE_CROSS_CONTEXT_CLUSTER_MAP	CORE_CROSS_CONTEXT	DECODE	PYTORCH_FLASH_FWD	FLASH	FLASH_FWD_SPLITKV_COMBINE	STABLE_24	e38eb3e5e78b49fe8f9e20a45f95c9b321ce9747e88a1c36a627e74929bc5eec	2,1,1	128,1,1	16	2164261	2164261	REQUIRES_REQUALIFICATION	NO	ACCEPTED_S2_BALANCED_REUSE_4_OTHER_SCENARIOS
STR_3ee044e4b346_P1	STR_3ee044e4b346	S2	D128;S2;T256;T8192	SEE_CROSS_CONTEXT_CLUSTER_MAP	CORE_CROSS_CONTEXT	DECODE	CUBLAS_GEMV	GEMV	CUBLAS_GEMV_EXACT_9c8b8197c254fdbf63a135e8bd63b6485df1c077c48dcadd41f00f2c59e81469	STABLE_48	9c8b8197c254fdbf63a135e8bd63b6485df1c077c48dcadd41f00f2c59e81469	1216,1,1	16,4,1	16	24759017	24759017	REUSABLE_NOW	NO	ACCEPTED_S2_BALANCED_REUSE_3_OTHER_SCENARIOS
STR_4d6a458e05a7_P1	STR_4d6a458e05a7	S2	B4;D128;S2;T256;T8192	SEE_CROSS_CONTEXT_CLUSTER_MAP	CORE_CROSS_CONTEXT	PREFILL	CUBLAS_GEMM	GEMM	CUTLASS_F16_GEMM_256X128_32X3_TN_ALIGN8	ONE_OBSERVED_PASS	90f8352b488cd3123433f3ba1c70b52fdf0186831d779bb6eea1135c76e59d93	128,75,1	256,1,1	N/A	6155566	6155566	MISSING_SIM_TRACE	NO	ACCEPTED_S2_BALANCED_REUSE_4_OTHER_SCENARIOS
STR_6d8d2509696c_P1	STR_6d8d2509696c	S2	D128;S2;T256;T8192	SEE_CROSS_CONTEXT_CLUSTER_MAP	CORE_CROSS_CONTEXT	DECODE	CUBLAS_GEMV	GEMV	CUBLAS_GEMV_EXACT_64f86c20cfc766d359c75d4b471c98ecf3fa8577e91f37cfb5564379668a2353	STABLE_48	64f86c20cfc766d359c75d4b471c98ecf3fa8577e91f37cfb5564379668a2353	32,1,1	32,4,1	1	4468140	4468140	MISSING_SIM_TRACE	NO	ACCEPTED_S2_BALANCED_REUSE_3_OTHER_SCENARIOS
STR_83d0c7bfb367_P1	STR_83d0c7bfb367	S2	B4;D128;S2;T256;T8192	SEE_CROSS_CONTEXT_CLUSTER_MAP	CORE_CROSS_CONTEXT	DECODE	PYTORCH_FLASH_FWD	FLASH	FLASH_FWD_SPLITKV	STABLE_24	acd9e92a7282d0c17ce34f2bda8a7972bb8913b66629d00bdecf3b119a81d426	1,9,14	128,1,1	16	9924399	9924399	REQUIRES_REQUALIFICATION	NO	ACCEPTED_S2_BALANCED_REUSE_4_OTHER_SCENARIOS
STR_8a5773a1d265_P1	STR_8a5773a1d265	S2	D128;S2;T256;T8192	SEE_CROSS_CONTEXT_CLUSTER_MAP	CORE_CROSS_CONTEXT	DECODE	CUBLAS_GEMV	GEMV	CUBLAS_GEMV_EXACT_64f86c20cfc766d359c75d4b471c98ecf3fa8577e91f37cfb5564379668a2353	STABLE_48	64f86c20cfc766d359c75d4b471c98ecf3fa8577e91f37cfb5564379668a2353	224,1,1	32,4,1	1	6837034	6837034	MISSING_SIM_TRACE	NO	ACCEPTED_S2_BALANCED_REUSE_3_OTHER_SCENARIOS
STR_8bc741e5debc_P1	STR_8bc741e5debc	S2	D128;S2;T256;T8192	SEE_CROSS_CONTEXT_CLUSTER_MAP	CORE_CROSS_CONTEXT	DECODE	CUBLAS_GEMV	GEMV	CUBLAS_GEMV_EXACT_9c8b8197c254fdbf63a135e8bd63b6485df1c077c48dcadd41f00f2c59e81469	STABLE_24	9c8b8197c254fdbf63a135e8bd63b6485df1c077c48dcadd41f00f2c59e81469	224,1,1	16,4,1	1	11757630	11757630	MISSING_SIM_TRACE	NO	ACCEPTED_S2_BALANCED_REUSE_3_OTHER_SCENARIOS
STR_b0eca525e868_P1	STR_b0eca525e868	S2	B4;D128;S2;T256;T8192	SEE_CROSS_CONTEXT_CLUSTER_MAP	CORE_CROSS_CONTEXT	PREFILL	PYTORCH_FLASH_FWD	FLASH	FLASH_FWD	ONE_OBSERVED_PASS	28f5ddff59b2ab385e957e346a004210bdff57579ab7607d302907c74f415ba4	16,1,14	128,1,1	N/A	3624299	3624299	REUSABLE_NOW	NO	ACCEPTED_S2_BALANCED_REUSE_4_OTHER_SCENARIOS
STR_ca7222ce4e26_P1	STR_ca7222ce4e26	S2	B4;D128;S2;T256;T8192	SEE_CROSS_CONTEXT_CLUSTER_MAP	CORE_CROSS_CONTEXT	PREFILL	CUBLAS_GEMM	GEMM	EXACT_SHA256_8530e1eefcc894c7e7a5fc850f51ffdce69371602db40ea0cca0c9242443f1f5	ONE_OBSERVED_PASS	8530e1eefcc894c7e7a5fc850f51ffdce69371602db40ea0cca0c9242443f1f5	7,16,4	128,1,1	N/A	4783818	4783818	MISSING_SIM_TRACE	NO	ACCEPTED_S2_BALANCED_REUSE_4_OTHER_SCENARIOS
