target_id	static_index	opcode	memory_space	access_kind	width_bytes	static_map_sha256
Q05_DECODE_EARLY_HEAVY	108	STG.E	GLOBAL	WRITE	UNKNOWN_WIDTH	a761d1e0c0d5dada059e00b76552e9247663178342b667a4afd63fc4cc1505d7
Q05_DECODE_EARLY_HEAVY	120	STG.E	GLOBAL	WRITE	UNKNOWN_WIDTH	a761d1e0c0d5dada059e00b76552e9247663178342b667a4afd63fc4cc1505d7
Q05_DECODE_EARLY_HEAVY	132	LDG.E	GLOBAL	READ	UNKNOWN_WIDTH	a761d1e0c0d5dada059e00b76552e9247663178342b667a4afd63fc4cc1505d7
Q05_DECODE_EARLY_HEAVY	138	STG.E	GLOBAL	WRITE	UNKNOWN_WIDTH	a761d1e0c0d5dada059e00b76552e9247663178342b667a4afd63fc4cc1505d7
Q05_DECODE_EARLY_HEAVY	152	LDG.E	GLOBAL	READ	UNKNOWN_WIDTH	a761d1e0c0d5dada059e00b76552e9247663178342b667a4afd63fc4cc1505d7
Q05_DECODE_EARLY_HEAVY	166	STG.E	GLOBAL	WRITE	UNKNOWN_WIDTH	a761d1e0c0d5dada059e00b76552e9247663178342b667a4afd63fc4cc1505d7
Q05_DECODE_EARLY_HEAVY	178	LDG.E	GLOBAL	READ	UNKNOWN_WIDTH	a761d1e0c0d5dada059e00b76552e9247663178342b667a4afd63fc4cc1505d7
Q05_DECODE_EARLY_HEAVY	192	STG.E	GLOBAL	WRITE	UNKNOWN_WIDTH	a761d1e0c0d5dada059e00b76552e9247663178342b667a4afd63fc4cc1505d7
Q05_DECODE_EARLY_HEAVY	203	LDG.E	GLOBAL	READ	UNKNOWN_WIDTH	a761d1e0c0d5dada059e00b76552e9247663178342b667a4afd63fc4cc1505d7
Q05_DECODE_EARLY_HEAVY	211	STG.E	GLOBAL	WRITE	UNKNOWN_WIDTH	a761d1e0c0d5dada059e00b76552e9247663178342b667a4afd63fc4cc1505d7
Q05_DECODE_EARLY_HEAVY	32	LDG.E	GLOBAL	READ	UNKNOWN_WIDTH	a761d1e0c0d5dada059e00b76552e9247663178342b667a4afd63fc4cc1505d7
Q05_DECODE_EARLY_HEAVY	44	LDG.E	GLOBAL	READ	UNKNOWN_WIDTH	a761d1e0c0d5dada059e00b76552e9247663178342b667a4afd63fc4cc1505d7
Q05_DECODE_EARLY_HEAVY	7	LDG.E	GLOBAL	READ	UNKNOWN_WIDTH	a761d1e0c0d5dada059e00b76552e9247663178342b667a4afd63fc4cc1505d7
Q05_DECODE_EARLY_HEAVY	75	STG.E	GLOBAL	WRITE	UNKNOWN_WIDTH	a761d1e0c0d5dada059e00b76552e9247663178342b667a4afd63fc4cc1505d7
Q05_DECODE_EARLY_HEAVY	8	LDG.E	GLOBAL	READ	UNKNOWN_WIDTH	a761d1e0c0d5dada059e00b76552e9247663178342b667a4afd63fc4cc1505d7
Q05_DECODE_EARLY_HEAVY	90	STG.E	GLOBAL	WRITE	UNKNOWN_WIDTH	a761d1e0c0d5dada059e00b76552e9247663178342b667a4afd63fc4cc1505d7
Q05_DECODE_EARLY_KV_ATTN	129	STG.E.128	GLOBAL	WRITE	UNKNOWN_WIDTH	5e0254ebbb9c82e806f78227d9e6b68db2a62f6fa681b6f80bb22464e6169d86
Q05_DECODE_EARLY_KV_ATTN	1297	LDG.E	GLOBAL	READ	UNKNOWN_WIDTH	5e0254ebbb9c82e806f78227d9e6b68db2a62f6fa681b6f80bb22464e6169d86
Q05_DECODE_EARLY_KV_ATTN	1298	LDG.E	GLOBAL	READ	UNKNOWN_WIDTH	5e0254ebbb9c82e806f78227d9e6b68db2a62f6fa681b6f80bb22464e6169d86
Q05_DECODE_EARLY_KV_ATTN	132	STG.E.128	GLOBAL	WRITE	UNKNOWN_WIDTH	5e0254ebbb9c82e806f78227d9e6b68db2a62f6fa681b6f80bb22464e6169d86
Q05_DECODE_EARLY_KV_ATTN	135	STG.E.128	GLOBAL	WRITE	UNKNOWN_WIDTH	5e0254ebbb9c82e806f78227d9e6b68db2a62f6fa681b6f80bb22464e6169d86
