target	evidence_role	family	scenario	off_cycles	instruction_weight_fraction_if_available	native_time_weight
T0	DEVELOPMENT	FLASH	Qwen2.5 S2 prefill Flash	527896	0.415374316	NA_NOT_AUTHORIZED
T1	DEVELOPMENT	GEMM	Qwen2.5 S2 prefill GEMM	665802	0.415864633	NA_NOT_AUTHORIZED
T2	DEVELOPMENT	GEMV	Qwen2.5 S2 decode step16 GEMV	93079	0.048846905	NA_NOT_AUTHORIZED
SPLITKV	DEVELOPMENT	FLASH	Qwen2.5 S2 decode step16 SplitKV	73923	0.041233269	NA_NOT_AUTHORIZED
COMBINE	DEVELOPMENT	FLASH	Qwen2.5 S2 decode step16 Combine	10480	0.000082138	NA_NOT_AUTHORIZED
A1	DEVELOPMENT	GEMV	Pair A S2/T2048 step16 GEMV	114123	0.039299369	NA_NOT_AUTHORIZED
A2	DEVELOPMENT	GEMV	Pair A T8192 step16 GEMV	117698	0.039299369	NA_NOT_AUTHORIZED
H1	ADDITIONAL_FROZEN_EVALUATION	GEMV	Pair C S2 step16 CUBLAS_GEMV	19578	NA	NA_NOT_AUTHORIZED
H2	ADDITIONAL_FROZEN_EVALUATION	GEMV	Pair C D128 step96 CUBLAS_GEMV	19778	NA	NA_NOT_AUTHORIZED
REDUCE	INDEPENDENT_HOLDOUT	REDUCE	S2 decode step1 AT_NATIVE_REDUCE	7716	NA	NA_NOT_AUTHORIZED
