target	role	off_cycles	candidate_cycles	speedup_percent	l1_suppression	l2_suppression	followers	head_block_cycles
T0	DEVELOPMENT	527896	499441	5.390266264567263	2732281	58682	2722464	0
T1	DEVELOPMENT	665802	647437	2.758327550833431	6638820	111124	6629952	0
T2	DEVELOPMENT	93079	94034	-1.0260101634095768	133201	1109	132544	0
SPLITKV	DEVELOPMENT	73923	73915	0.010822071615058913	221526	5568	218862	0
COMBINE	DEVELOPMENT	10480	10480	0.0	1052	36	1016	0
A1	DEVELOPMENT	114123	115415	-1.1321118442382343	116266	226	116032	0
A2	DEVELOPMENT	117698	115700	1.6975649543747555	116218	226	116032	0
H1	ADDITIONAL_FROZEN_EVALUATION	19578	19531	0.24006537950761056	50412	321	50176	0
H2	ADDITIONAL_FROZEN_EVALUATION	19778	19540	1.2033572656487006	50412	321	50176	0
REDUCE	INDEPENDENT_HOLDOUT	7716	7716	0.0	120	15	105	0
