target	followers	wait_cycles_mean	wait_cycles_max	delivery_latency_mean	delivery_latency_p50	delivery_latency_p95	delivery_latency_p99	delivery_latency_max	head_block_cycles
T0	2722464	17.963603926443106	17681	27.617016423357665	15	24	102	17706	0
T1	6629952	12.016457886874596	9608	24.406535069937156	17	50	109	9632	0
T2	132544	12.640225132786094	7645	15.40958474167069	10	10	23	7656	0
SPLITKV	218862	33.46175672341475	13234	85.56264678199048	18	281	1507	13259	0
COMBINE	1016	28.474409448818896	971	37.53346456692913	17	24	533	987	0
A1	116032	9.777888858246001	2175	15.71308776889134	10	10	10	37697	0
A2	116032	10.282172159404302	3225	17.305613968560397	10	10	10	9663	0
H1	50176	10.740174585459183	971	12.78940130739796	10	10	10	982	0
H2	50176	10.784319196428571	971	12.833545918367347	10	10	10	982	0
REDUCE	105	145.42857142857142	971	155.85714285714286	18	991	995	996	0
