target	baseline_l1_launches	baseline_mshr_merges	prel1_followers	l1_suppression_fraction	entry_hwm	waiter_hwm
T0	3101682	11122	2722464	0.8809030068201704	2	15
T1	7169938	9637	6629952	0.9259243245896966	2	15
T2	412391	1249	132544	0.32299686462604665	2	1
SPLITKV	236746	2817	218862	0.935711691010619	2	15
COMBINE	1139	38	1016	0.9236172080772608	2	15
A1	409588	429	116032	0.2838608552984951	2	1
A2	409538	379	116032	0.2837783062865961	2	1
H1	102631	460	50176	0.4911966170065575	2	1
H2	102630	459	50176	0.4912014030985092	2	1
REDUCE	130	15	105	0.9230769230769231	2	15
