target	baseline_l1_launches	baseline_existing_mshr_merges	existing_mshr_merge_fraction	prel1_followers	prel1_incremental_merge_fraction	l1_lookup_reduction	l2_reduction	candidate_l1_hit_leaders	candidate_l2_hit_leaders	candidate_ptw_leaders
T0	3101682	11122	0.003585796351785902	2722464	0.8777379499252341	2732281	58682	359382	6897	2711
T1	7169938	9637	0.0013440841468922047	6629952	0.9246874938109646	6638820	111124	520954	7640	2172
T2	412391	1249	0.003028679093384676	132544	0.3214037163759636	133201	1109	277246	492	1452
SPLITKV	236746	2817	0.011898828280097657	218862	0.9244591249693764	221526	5568	14444	240	536
COMBINE	1139	38	0.033362598770851626	1016	0.8920105355575065	1052	36	79	0	8
A1	409588	429	0.0010473939666201157	116032	0.2832895494985205	116266	226	292490	172	660
A2	409538	379	0.0009254330489478388	116032	0.2833241359776138	116218	226	292490	174	656
H1	102631	460	0.004482076565560113	50176	0.488897116855531	50412	321	51571	146	502
H2	102630	459	0.004472376498099971	50176	0.48890188054175193	50412	321	51571	147	500
REDUCE	130	15	0.11538461538461539	105	0.8076923076923077	120	15	6	0	4
