stage	commit	scientific_question	accepted_result	what_it_proves	what_it_does_not_prove	paper_claim_use
characterization	1c26b5c07b8ab4d7a457a84ea9b1327dd7ce8456	Which translation path dominates?	HIT_PATH_EXPOSURE_DOMINANT / PAGE_REUSE_OPPORTUNITY_SUPPORTED	Measured hit-path exposure and page reuse on T0/T1/T2.	Does not select or validate a mechanism.	YES_SCOPED
failed_C1_blocking_share	4cf2ee8294fbf761f735ae7089313a048ba0066b	Can same-page result sharing suppress service?	T0/T1 positive; T2 +1.026% regression with wait/HOL	Service suppression can help; blocking owner/member semantics can hurt.	Not a robust final mechanism or novelty result.	YES_FAILURE_MOTIVATION
fanout_repair_discovery	f685f88d328b8bcb5f56c31b2629e5ed56938bb1	Can fanout gating avoid small-cohort harm?	PROMISING_DISCOVERY at threshold 4	Discovery evidence motivated independent target validation.	Threshold was selected on discovery data.	YES_HISTORY_ONLY
fanout_repair_validation	b2762f0cf6112018de37d78624b69adce08893aa	Does fanout-only gating generalize?	FANOUT_ONLY_GATING_INSUFFICIENT	Large fanout does not remove wait/HOL cost.	Not cross-model evidence.	YES_FAILURE_MOTIVATION
nonblocking_proactive_sharing	c0602ee06e647d9a3cf84b0adbb8d98075021f99	Does nonblocking READY reuse avoid HOL?	SUPPORTED_DEVELOPMENT; zero sharing wait/head-block	READY reuse has value without blocking.	Proactive owner/order effects remain mixed.	YES_PRECURSOR
A2_regression_attribution	b8a4064cb1bbe832758acf9dceb1461844c1fe4e	Why does proactive A2 regress?	PROACTIVE_OWNER_PATH_NONSHARING_REGRESSION_MEDIATOR	Links +1.1M admissions/resource stalls to +6.567% A2 regression.	Does not identify the physical context trigger.	YES_FAILURE_MOTIVATION
passive_opportunity	6441fe9f91266220a52587c0313fb767007b5d92	Do instruction-local same-page results recur?	PASSIVE_REUSE_OPPORTUNITY_SUPPORTED	One-entry observer captures 9,936,902 legal head opportunities.	Opportunity is not physical service suppression.	YES_MOTIVATION
mixed_passive_V2	8497fa5b7688ab6fe55aa90f4d13c5e4d6364331	What is the response of initial passive V2?	MIXED_INTERVENTION_DIAGNOSTIC	Shows response of forwarding plus disabled resident prelaunch.	Cannot support passive-forwarding-only claims.	NO_PERFORMANCE_CLAIM
baseline_preserving_V2R1	d3e1b3bbff0790ab67abb915fbc6673631a20111	Does passive forwarding save frozen-V1 service?	PASSIVE_FORWARDING_OPPORTUNITY_ALREADY_PRELAUNCHED	All 9,936,902 hits already had resident prelaunch work.	Does not invalidate earlier opportunity counting.	YES_POSITIONING
preL1_opportunity	163a8572f9272891b8109f9158aa79ca88d9e153	How much duplication exists before L1 service?	9,409,101 finite legal merges; capacity 2 selected	Establishes exact pre-L1 opportunity and finite capacity rule.	Development targets are not independent holdouts.	YES_CORE
frozen_preL1_coalescer	163a8572f9272891b8109f9158aa79ca88d9e153	Does the finite coalescer suppress service safely?	SUPPORTED_FOR_INDEPENDENT_VALIDATION	Seven-target correctness, service suppression, wait accounting.	Does not imply universal runtime speedup.	YES_CORE
grouping_only_control	163a8572f9272891b8109f9158aa79ca88d9e153	Is grouping alone responsible?	T0/T1/A2 grouping-only exactly OFF	Matched contrast supports service suppression mediator.	Only three targets were required.	YES_CAUSAL
timing_sensitivity	163a8572f9272891b8109f9158aa79ca88d9e153	Does +1-cycle compare invalidate the candidate?	Viable on T0/T1/T2/A2; no >1% regression	Bounds simulator same-cycle timing dependence.	Does not prove physical timing closure.	YES_SCOPED
independent_REDUCE_holdout	fc5ea3bf1f09be1d0fbe3eb11fc6f6a847e4d763	Does suppression generalize independently?	INDEPENDENT_SERVICE_SUPPRESSION_GENERALIZED	105 followers; L1 launches 130->10 on AT_NATIVE_REDUCE.	Equal cycles do not prove universal speedup.	YES_CORE
