catalog_row_type	scenario_binding	phase_class	phase	normalized_kernel_family	exact_implementation	implementation_match_key	grid	block	launches_per_prefill_pass	launches_per_decode_step_mean	launches_per_decode_step_min	launches_per_decode_step_max	launch_count_variation_max_minus_min	decode_step_count	count_stable_across_32_decode_steps	implementation_stable_across_32_decode_steps	shape_stable_across_32_decode_steps	structural_observation_label	cross_context_label	performance_weight_label	stratum_launch_count_s2	stratum_accumulated_gpu_duration_ns	stratum_gpu_time_share_full_s2	stratum_gpu_time_share_within_phase	family_accumulated_gpu_duration_ns	family_gpu_time_share_full_s2	family_gpu_time_share_within_phase	phase_accumulated_gpu_duration_ns	phase_gpu_time_share_full_s2	lane_c_asset_status	lane_c_accepted_target	lane_c_candidate_ids	asset_join_basis
LANE_C_UNMAPPED_NATIVE_ONLY	B=1;Prefill=2048;Decode=32;FP16;SDPA;TEXT_S2	DECODE	DECODE	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	DATA_DEPENDENT_NOT_APPLICABLE_OR_UNKNOWN	DATA_DEPENDENT_NOT_APPLICABLE_OR_UNKNOWN	DATA_DEPENDENT_NOT_APPLICABLE_OR_UNKNOWN	DATA_DEPENDENT_NOT_APPLICABLE_OR_UNKNOWN	DATA_DEPENDENT_NOT_APPLICABLE_OR_UNKNOWN	DATA_DEPENDENT_NOT_APPLICABLE_OR_UNKNOWN	DATA_DEPENDENT_NOT_APPLICABLE_OR_UNKNOWN	DATA_DEPENDENT_NOT_APPLICABLE_OR_UNKNOWN	DATA_DEPENDENT_NOT_APPLICABLE_OR_UNKNOWN	DATA_DEPENDENT_NOT_APPLICABLE_OR_UNKNOWN	UNTESTED_ACROSS_CONTEXT	DATA_DEPENDENT_NOT_APPLICABLE_OR_UNKNOWN										NATIVE_ONLY	NONE	UNKNOWN	LANE_C_NATIVE_ONLY_EXACT_FUNCTION_AND_SHAPE_UNKNOWN_NOT_JOINED
LANE_C_UNMAPPED_NATIVE_ONLY	B=1;Prefill=2048;Decode=32;FP16;SDPA;TEXT_S2	DECODE	DECODE	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	DATA_DEPENDENT_NOT_APPLICABLE_OR_UNKNOWN	DATA_DEPENDENT_NOT_APPLICABLE_OR_UNKNOWN	DATA_DEPENDENT_NOT_APPLICABLE_OR_UNKNOWN	DATA_DEPENDENT_NOT_APPLICABLE_OR_UNKNOWN	DATA_DEPENDENT_NOT_APPLICABLE_OR_UNKNOWN	DATA_DEPENDENT_NOT_APPLICABLE_OR_UNKNOWN	DATA_DEPENDENT_NOT_APPLICABLE_OR_UNKNOWN	DATA_DEPENDENT_NOT_APPLICABLE_OR_UNKNOWN	DATA_DEPENDENT_NOT_APPLICABLE_OR_UNKNOWN	DATA_DEPENDENT_NOT_APPLICABLE_OR_UNKNOWN	UNTESTED_ACROSS_CONTEXT	DATA_DEPENDENT_NOT_APPLICABLE_OR_UNKNOWN										NATIVE_ONLY	NONE	UNKNOWN	LANE_C_NATIVE_ONLY_EXACT_FUNCTION_AND_SHAPE_UNKNOWN_NOT_JOINED
LANE_C_UNMAPPED_NATIVE_ONLY	B=1;Prefill=2048;Decode=32;FP16;SDPA;TEXT_S2	DECODE	DECODE	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	DATA_DEPENDENT_NOT_APPLICABLE_OR_UNKNOWN	DATA_DEPENDENT_NOT_APPLICABLE_OR_UNKNOWN	DATA_DEPENDENT_NOT_APPLICABLE_OR_UNKNOWN	DATA_DEPENDENT_NOT_APPLICABLE_OR_UNKNOWN	DATA_DEPENDENT_NOT_APPLICABLE_OR_UNKNOWN	DATA_DEPENDENT_NOT_APPLICABLE_OR_UNKNOWN	DATA_DEPENDENT_NOT_APPLICABLE_OR_UNKNOWN	DATA_DEPENDENT_NOT_APPLICABLE_OR_UNKNOWN	DATA_DEPENDENT_NOT_APPLICABLE_OR_UNKNOWN	DATA_DEPENDENT_NOT_APPLICABLE_OR_UNKNOWN	UNTESTED_ACROSS_CONTEXT	DATA_DEPENDENT_NOT_APPLICABLE_OR_UNKNOWN										NATIVE_ONLY	NONE	UNKNOWN	LANE_C_NATIVE_ONLY_EXACT_FUNCTION_AND_SHAPE_UNKNOWN_NOT_JOINED
LANE_C_UNMAPPED_NATIVE_ONLY	B=1;Prefill=2048;Decode=32;FP16;SDPA;TEXT_S2	DECODE	DECODE	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	DATA_DEPENDENT_NOT_APPLICABLE_OR_UNKNOWN	DATA_DEPENDENT_NOT_APPLICABLE_OR_UNKNOWN	DATA_DEPENDENT_NOT_APPLICABLE_OR_UNKNOWN	DATA_DEPENDENT_NOT_APPLICABLE_OR_UNKNOWN	DATA_DEPENDENT_NOT_APPLICABLE_OR_UNKNOWN	DATA_DEPENDENT_NOT_APPLICABLE_OR_UNKNOWN	DATA_DEPENDENT_NOT_APPLICABLE_OR_UNKNOWN	DATA_DEPENDENT_NOT_APPLICABLE_OR_UNKNOWN	DATA_DEPENDENT_NOT_APPLICABLE_OR_UNKNOWN	DATA_DEPENDENT_NOT_APPLICABLE_OR_UNKNOWN	UNTESTED_ACROSS_CONTEXT	DATA_DEPENDENT_NOT_APPLICABLE_OR_UNKNOWN										NATIVE_ONLY	NONE	UNKNOWN	LANE_C_NATIVE_ONLY_EXACT_FUNCTION_AND_SHAPE_UNKNOWN_NOT_JOINED
LANE_C_UNMAPPED_NATIVE_ONLY	B=1;Prefill=2048;Decode=32;FP16;SDPA;TEXT_S2	DECODE	DECODE	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	DATA_DEPENDENT_NOT_APPLICABLE_OR_UNKNOWN	DATA_DEPENDENT_NOT_APPLICABLE_OR_UNKNOWN	DATA_DEPENDENT_NOT_APPLICABLE_OR_UNKNOWN	DATA_DEPENDENT_NOT_APPLICABLE_OR_UNKNOWN	DATA_DEPENDENT_NOT_APPLICABLE_OR_UNKNOWN	DATA_DEPENDENT_NOT_APPLICABLE_OR_UNKNOWN	DATA_DEPENDENT_NOT_APPLICABLE_OR_UNKNOWN	DATA_DEPENDENT_NOT_APPLICABLE_OR_UNKNOWN	DATA_DEPENDENT_NOT_APPLICABLE_OR_UNKNOWN	DATA_DEPENDENT_NOT_APPLICABLE_OR_UNKNOWN	UNTESTED_ACROSS_CONTEXT	DATA_DEPENDENT_NOT_APPLICABLE_OR_UNKNOWN										NATIVE_ONLY	NONE	UNKNOWN	LANE_C_NATIVE_ONLY_EXACT_FUNCTION_AND_SHAPE_UNKNOWN_NOT_JOINED
LANE_C_UNMAPPED_NATIVE_ONLY	B=1;Prefill=2048;Decode=32;FP16;SDPA;TEXT_S2	PREFILL	PREFILL	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	DATA_DEPENDENT_NOT_APPLICABLE_OR_UNKNOWN	DATA_DEPENDENT_NOT_APPLICABLE_OR_UNKNOWN	DATA_DEPENDENT_NOT_APPLICABLE_OR_UNKNOWN	DATA_DEPENDENT_NOT_APPLICABLE_OR_UNKNOWN	DATA_DEPENDENT_NOT_APPLICABLE_OR_UNKNOWN	DATA_DEPENDENT_NOT_APPLICABLE_OR_UNKNOWN	DATA_DEPENDENT_NOT_APPLICABLE_OR_UNKNOWN	DATA_DEPENDENT_NOT_APPLICABLE_OR_UNKNOWN	DATA_DEPENDENT_NOT_APPLICABLE_OR_UNKNOWN	DATA_DEPENDENT_NOT_APPLICABLE_OR_UNKNOWN	UNTESTED_ACROSS_CONTEXT	DATA_DEPENDENT_NOT_APPLICABLE_OR_UNKNOWN										NATIVE_ONLY	NONE	UNKNOWN	LANE_C_NATIVE_ONLY_EXACT_FUNCTION_AND_SHAPE_UNKNOWN_NOT_JOINED
LANE_C_UNMAPPED_NATIVE_ONLY	B=1;Prefill=2048;Decode=32;FP16;SDPA;TEXT_S2	PREFILL	PREFILL	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	DATA_DEPENDENT_NOT_APPLICABLE_OR_UNKNOWN	DATA_DEPENDENT_NOT_APPLICABLE_OR_UNKNOWN	DATA_DEPENDENT_NOT_APPLICABLE_OR_UNKNOWN	DATA_DEPENDENT_NOT_APPLICABLE_OR_UNKNOWN	DATA_DEPENDENT_NOT_APPLICABLE_OR_UNKNOWN	DATA_DEPENDENT_NOT_APPLICABLE_OR_UNKNOWN	DATA_DEPENDENT_NOT_APPLICABLE_OR_UNKNOWN	DATA_DEPENDENT_NOT_APPLICABLE_OR_UNKNOWN	DATA_DEPENDENT_NOT_APPLICABLE_OR_UNKNOWN	DATA_DEPENDENT_NOT_APPLICABLE_OR_UNKNOWN	UNTESTED_ACROSS_CONTEXT	DATA_DEPENDENT_NOT_APPLICABLE_OR_UNKNOWN										NATIVE_ONLY	NONE	UNKNOWN	LANE_C_NATIVE_ONLY_EXACT_FUNCTION_AND_SHAPE_UNKNOWN_NOT_JOINED
LANE_C_UNMAPPED_NATIVE_ONLY	B=1;Prefill=2048;Decode=32;FP16;SDPA;TEXT_S2	PREFILL	PREFILL	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	DATA_DEPENDENT_NOT_APPLICABLE_OR_UNKNOWN	DATA_DEPENDENT_NOT_APPLICABLE_OR_UNKNOWN	DATA_DEPENDENT_NOT_APPLICABLE_OR_UNKNOWN	DATA_DEPENDENT_NOT_APPLICABLE_OR_UNKNOWN	DATA_DEPENDENT_NOT_APPLICABLE_OR_UNKNOWN	DATA_DEPENDENT_NOT_APPLICABLE_OR_UNKNOWN	DATA_DEPENDENT_NOT_APPLICABLE_OR_UNKNOWN	DATA_DEPENDENT_NOT_APPLICABLE_OR_UNKNOWN	DATA_DEPENDENT_NOT_APPLICABLE_OR_UNKNOWN	DATA_DEPENDENT_NOT_APPLICABLE_OR_UNKNOWN	UNTESTED_ACROSS_CONTEXT	DATA_DEPENDENT_NOT_APPLICABLE_OR_UNKNOWN										NATIVE_ONLY	NONE	UNKNOWN	LANE_C_NATIVE_ONLY_EXACT_FUNCTION_AND_SHAPE_UNKNOWN_NOT_JOINED
LANE_C_UNMAPPED_NATIVE_ONLY	B=1;Prefill=2048;Decode=32;FP16;SDPA;TEXT_S2	PREFILL	PREFILL	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	DATA_DEPENDENT_NOT_APPLICABLE_OR_UNKNOWN	DATA_DEPENDENT_NOT_APPLICABLE_OR_UNKNOWN	DATA_DEPENDENT_NOT_APPLICABLE_OR_UNKNOWN	DATA_DEPENDENT_NOT_APPLICABLE_OR_UNKNOWN	DATA_DEPENDENT_NOT_APPLICABLE_OR_UNKNOWN	DATA_DEPENDENT_NOT_APPLICABLE_OR_UNKNOWN	DATA_DEPENDENT_NOT_APPLICABLE_OR_UNKNOWN	DATA_DEPENDENT_NOT_APPLICABLE_OR_UNKNOWN	DATA_DEPENDENT_NOT_APPLICABLE_OR_UNKNOWN	DATA_DEPENDENT_NOT_APPLICABLE_OR_UNKNOWN	UNTESTED_ACROSS_CONTEXT	DATA_DEPENDENT_NOT_APPLICABLE_OR_UNKNOWN										NATIVE_ONLY	NONE	UNKNOWN	LANE_C_NATIVE_ONLY_EXACT_FUNCTION_AND_SHAPE_UNKNOWN_NOT_JOINED
STRUCTURAL_STRATUM	B=1;Prefill=2048;Decode=32;FP16;SDPA;TEXT_S2	AUXILIARY	AUXILIARY	AT_NATIVE_REDUCE	void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<c10::Half, at::native::ArgMaxOps<float>, unsigned int, long, (int)4>>(T3)	EXACT_IMPLEMENTATION_UNNORMALIZED	1,19,1	512,1,1	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	DATA_DEPENDENT_NOT_APPLICABLE_OR_UNKNOWN	UNTESTED_ACROSS_CONTEXT	SCENARIO_SPECIFIC	33	192864	0.0012452727782340182	1.0	192864	0.0012452727782340182	1.0	192864	0.0012452727782340182	MISSING_SIM_TRACE			EXACT_PHASE_FAMILY_IMPLEMENTATION_KEY_GRID_BLOCK
STRUCTURAL_STRATUM	B=1;Prefill=2048;Decode=32;FP16;SDPA;TEXT_S2	DECODE	DECODE	CUBLAS_GEMV	std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __half, __half, __half, float, (bool)0, (bool)1, (bool)1, (bool)0, (int)6, (bool)0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched<__half>, float>>(T13)	CUBLAS_GEMV	1216,1,1	16,4,1	NOT_APPLICABLE	48	48	48	0	32	YES	YES	YES	OBSERVED_STABLE_WITHIN_S2	UNTESTED_ACROSS_CONTEXT	SCENARIO_SPECIFIC	1536	24759017	0.1598625450365713	0.20218967701178775	60929146	0.39340367779806557	0.49756597163546756	122454407	0.790656315392656	REUSABLE_NOW	T2	DECODE_GEMV_PRIMARY_STEP16	EXACT_PHASE_FAMILY_IMPLEMENTATION_KEY_GRID_BLOCK
STRUCTURAL_STRATUM	B=1;Prefill=2048;Decode=32;FP16;SDPA;TEXT_S2	DECODE	DECODE	CUBLAS_GEMV	std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __half, __half, __half, float, (bool)0, (bool)1, (bool)1, (bool)0, (int)6, (bool)0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched<__half>, float>>(T13)	CUBLAS_GEMV	18992,1,1	8,8,1	NOT_APPLICABLE	1	1	1	0	32	YES	YES	YES	OBSERVED_STABLE_WITHIN_S2	UNTESTED_ACROSS_CONTEXT	SCENARIO_SPECIFIC	32	13107325	0.08463059470904992	0.1070384098140298	60929146	0.39340367779806557	0.49756597163546756	122454407	0.790656315392656	MISSING_SIM_TRACE			EXACT_PHASE_FAMILY_IMPLEMENTATION_KEY_GRID_BLOCK
STRUCTURAL_STRATUM	B=1;Prefill=2048;Decode=32;FP16;SDPA;TEXT_S2	DECODE	DECODE	CUBLAS_GEMV	std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __half, __half, __half, float, (bool)0, (bool)1, (bool)1, (bool)0, (int)6, (bool)0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched<__half>, float>>(T13)	CUBLAS_GEMV	224,1,1	16,4,1	NOT_APPLICABLE	24	24	24	0	32	YES	YES	YES	OBSERVED_STABLE_WITHIN_S2	UNTESTED_ACROSS_CONTEXT	SCENARIO_SPECIFIC	768	11757630	0.07591596449076883	0.09601638918556847	60929146	0.39340367779806557	0.49756597163546756	122454407	0.790656315392656	MISSING_SIM_TRACE			EXACT_PHASE_FAMILY_IMPLEMENTATION_KEY_GRID_BLOCK
STRUCTURAL_STRATUM	B=1;Prefill=2048;Decode=32;FP16;SDPA;TEXT_S2	DECODE	DECODE	PYTORCH_FLASH_FWD	void pytorch_flash::flash_fwd_splitkv_kernel<pytorch_flash::Flash_fwd_kernel_traits<(int)64, (int)64, (int)256, (int)4, (bool)0, (bool)0, cutlass::half_t, pytorch_flash::Flash_kernel_traits<(int)64, (int)64, (int)256, (int)4, cutlass::half_t>>, (bool)0, (bool)0, (bool)0, (bool)0, (bool)1, (bool)1, (bool)0>(pytorch_flash::Flash_fwd_params)	FLASH_FWD_SPLITKV	1,9,14	128,1,1	NOT_APPLICABLE	24	24	24	0	32	YES	YES	YES	OBSERVED_STABLE_WITHIN_S2	UNTESTED_ACROSS_CONTEXT	SCENARIO_SPECIFIC	768	9924399	0.0640792678521285	0.08104566624539696	12088660	0.0780533392614819	0.09871968103197788	122454407	0.790656315392656	REQUIRES_REQUALIFICATION	NONE	DECODE_FLASH_PRIMARY_1;DECODE_FLASH_PRIMARY_1_STEP16;DECODE_FLASH_PRIMARY_1_STEP16_OCC0;DECODE_FLASH_PRIMARY_1_STEP16_OCC23;DECODE_FLASH_PRIMARY_1_STEP16_OCC8;DECODE_FLASH_PRIMARY_1_STEP1_OCC0;DECODE_FLASH_PRIMARY_1_STEP1_OCC23;DECODE_FLASH_PRIMARY_1_STEP1_OCC8;DECODE_FLASH_PRIMARY_1_STEP24;DECODE_FLASH_PRIMARY_1_STEP24_OCC0;DECODE_FLASH_PRIMARY_1_STEP24_OCC23;DECODE_FLASH_PRIMARY_1_STEP24_OCC8;DECODE_FLASH_PRIMARY_1_STEP32;DECODE_FLASH_PRIMARY_1_STEP32_OCC0;DECODE_FLASH_PRIMARY_1_STEP32_OCC23;DECODE_FLASH_PRIMARY_1_STEP32_OCC8;DECODE_FLASH_PRIMARY_1_STEP4;DECODE_FLASH_PRIMARY_1_STEP8;DECODE_FLASH_PRIMARY_1_STEP8_OCC0;DECODE_FLASH_PRIMARY_1_STEP8_OCC23;DECODE_FLASH_PRIMARY_1_STEP8_OCC8	EXACT_PHASE_FAMILY_IMPLEMENTATION_KEY_GRID_BLOCK
STRUCTURAL_STRATUM	B=1;Prefill=2048;Decode=32;FP16;SDPA;TEXT_S2	DECODE	DECODE	CUBLAS_GEMV	std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __half, __half, __half, float, (bool)0, (bool)1, (bool)1, (bool)0, (int)7, (bool)0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched<__half>, float>>(T13)	CUBLAS_GEMV	224,1,1	32,4,1	NOT_APPLICABLE	48	48	48	0	32	YES	YES	YES	OBSERVED_STABLE_WITHIN_S2	UNTESTED_ACROSS_CONTEXT	SCENARIO_SPECIFIC	1536	6837034	0.044144953563445964	0.05583330292065356	60929146	0.39340367779806557	0.49756597163546756	122454407	0.790656315392656	MISSING_SIM_TRACE			EXACT_PHASE_FAMILY_IMPLEMENTATION_KEY_GRID_BLOCK
STRUCTURAL_STRATUM	B=1;Prefill=2048;Decode=32;FP16;SDPA;TEXT_S2	DECODE	DECODE	COPY_KERNEL	void at::native::<unnamed>::CatArrayBatchedCopy_contig<at::native::<unnamed>::OpaqueType<(unsigned int)2>, unsigned int, (int)4, (int)128, (int)1>(T1 *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)	EXACT_IMPLEMENTATION_UNNORMALIZED	152,2,1	512,1,1	NOT_APPLICABLE	46.5	0	48	48	32	NO	NO	NO	SCENARIO_SPECIFIC	UNTESTED_ACROSS_CONTEXT	SCENARIO_SPECIFIC	1488	4982632	0.0321715612740466	0.04068969114357803	8101647	0.05231023139601636	0.06616051801222637	122454407	0.790656315392656	MISSING_SIM_TRACE			EXACT_PHASE_FAMILY_IMPLEMENTATION_KEY_GRID_BLOCK
STRUCTURAL_STRATUM	B=1;Prefill=2048;Decode=32;FP16;SDPA;TEXT_S2	DECODE	DECODE	CUBLAS_GEMV	std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __half, __half, __half, float, (bool)0, (bool)1, (bool)1, (bool)0, (int)7, (bool)0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched<__half>, float>>(T13)	CUBLAS_GEMV	32,1,1	32,4,1	NOT_APPLICABLE	48	48	48	0	32	YES	YES	YES	OBSERVED_STABLE_WITHIN_S2	UNTESTED_ACROSS_CONTEXT	SCENARIO_SPECIFIC	1536	4468140	0.02884961999822956	0.03648819270342798	60929146	0.39340367779806557	0.49756597163546756	122454407	0.790656315392656	MISSING_SIM_TRACE			EXACT_PHASE_FAMILY_IMPLEMENTATION_KEY_GRID_BLOCK
STRUCTURAL_STRATUM	B=1;Prefill=2048;Decode=32;FP16;SDPA;TEXT_S2	DECODE	DECODE	AT_NATIVE_REDUCE	void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::MeanOps<float, float, float, float>, unsigned int, float, (int)4>>(T3)	EXACT_IMPLEMENTATION_UNNORMALIZED	1,1,1	128,1,1	NOT_APPLICABLE	49	49	49	0	32	YES	YES	YES	OBSERVED_STABLE_WITHIN_S2	UNTESTED_ACROSS_CONTEXT	SCENARIO_SPECIFIC	1568	3475750	0.022442015404362085	0.02838403357749305	3475750	0.022442015404362085	0.02838403357749305	122454407	0.790656315392656	MISSING_SIM_TRACE			EXACT_PHASE_FAMILY_IMPLEMENTATION_KEY_GRID_BLOCK
STRUCTURAL_STRATUM	B=1;Prefill=2048;Decode=32;FP16;SDPA;TEXT_S2	DECODE	DECODE	AT_NATIVE_UNROLLED_ELEMENTWISE	void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 10)]::operator ()() const::[lambda(c10::Half) (instance 1)], at::detail::Array<char *, (int)2>, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T3, T4, T5, T6)	EXACT_IMPLEMENTATION_UNNORMALIZED	2,1,1	128,1,1	NOT_APPLICABLE	49	49	49	0	32	YES	YES	YES	OBSERVED_STABLE_WITHIN_S2	UNTESTED_ACROSS_CONTEXT	SCENARIO_SPECIFIC	1568	3378439	0.02181370354044383	0.027589362300370294	6658894	0.04299474983068813	0.05437855740055154	122454407	0.790656315392656	MISSING_SIM_TRACE			EXACT_PHASE_FAMILY_IMPLEMENTATION_KEY_GRID_BLOCK
STRUCTURAL_STRATUM	B=1;Prefill=2048;Decode=32;FP16;SDPA;TEXT_S2	DECODE	DECODE	AT_NATIVE_UNROLLED_ELEMENTWISE	void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T3, T4, T5, T6)	EXACT_IMPLEMENTATION_UNNORMALIZED	2,1,1	128,1,1	NOT_APPLICABLE	49	49	49	0	32	YES	YES	YES	OBSERVED_STABLE_WITHIN_S2	UNTESTED_ACROSS_CONTEXT	SCENARIO_SPECIFIC	1568	3157799	0.020389088341186558	0.025787548830316902	6658894	0.04299474983068813	0.05437855740055154	122454407	0.790656315392656	MISSING_SIM_TRACE			EXACT_PHASE_FAMILY_IMPLEMENTATION_KEY_GRID_BLOCK
