scenario_binding	phase	normalized_kernel_family	exact_implementation	grid	block	phase_accumulated_gpu_duration_ns	phase_gpu_time_share_full_s2	family_accumulated_gpu_duration_ns	family_gpu_time_share_full_s2	family_gpu_time_share_within_phase	stratum_accumulated_gpu_duration_ns	stratum_gpu_time_share_full_s2	stratum_gpu_time_share_within_phase	performance_weight_label
B=1;Prefill=2048;Decode=32;FP16;SDPA;TEXT_S2	AUXILIARY	AT_NATIVE_REDUCE	void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<c10::Half, at::native::ArgMaxOps<float>, unsigned int, long, (int)4>>(T3)	1,19,1	512,1,1	192864	0.0012452727782340182	192864	0.0012452727782340182	1.0	192864	0.0012452727782340182	1.0	SCENARIO_SPECIFIC
B=1;Prefill=2048;Decode=32;FP16;SDPA;TEXT_S2	DECODE	CUBLAS_GEMV	std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __half, __half, __half, float, (bool)0, (bool)1, (bool)1, (bool)0, (int)6, (bool)0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched<__half>, float>>(T13)	1216,1,1	16,4,1	122454407	0.790656315392656	60929146	0.39340367779806557	0.49756597163546756	24759017	0.1598625450365713	0.20218967701178775	SCENARIO_SPECIFIC
B=1;Prefill=2048;Decode=32;FP16;SDPA;TEXT_S2	DECODE	CUBLAS_GEMV	std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __half, __half, __half, float, (bool)0, (bool)1, (bool)1, (bool)0, (int)6, (bool)0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched<__half>, float>>(T13)	18992,1,1	8,8,1	122454407	0.790656315392656	60929146	0.39340367779806557	0.49756597163546756	13107325	0.08463059470904992	0.1070384098140298	SCENARIO_SPECIFIC
B=1;Prefill=2048;Decode=32;FP16;SDPA;TEXT_S2	DECODE	CUBLAS_GEMV	std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __half, __half, __half, float, (bool)0, (bool)1, (bool)1, (bool)0, (int)6, (bool)0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched<__half>, float>>(T13)	224,1,1	16,4,1	122454407	0.790656315392656	60929146	0.39340367779806557	0.49756597163546756	11757630	0.07591596449076883	0.09601638918556847	SCENARIO_SPECIFIC
B=1;Prefill=2048;Decode=32;FP16;SDPA;TEXT_S2	DECODE	PYTORCH_FLASH_FWD	void pytorch_flash::flash_fwd_splitkv_kernel<pytorch_flash::Flash_fwd_kernel_traits<(int)64, (int)64, (int)256, (int)4, (bool)0, (bool)0, cutlass::half_t, pytorch_flash::Flash_kernel_traits<(int)64, (int)64, (int)256, (int)4, cutlass::half_t>>, (bool)0, (bool)0, (bool)0, (bool)0, (bool)1, (bool)1, (bool)0>(pytorch_flash::Flash_fwd_params)	1,9,14	128,1,1	122454407	0.790656315392656	12088660	0.0780533392614819	0.09871968103197788	9924399	0.0640792678521285	0.08104566624539696	SCENARIO_SPECIFIC
B=1;Prefill=2048;Decode=32;FP16;SDPA;TEXT_S2	DECODE	CUBLAS_GEMV	std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __half, __half, __half, float, (bool)0, (bool)1, (bool)1, (bool)0, (int)7, (bool)0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched<__half>, float>>(T13)	224,1,1	32,4,1	122454407	0.790656315392656	60929146	0.39340367779806557	0.49756597163546756	6837034	0.044144953563445964	0.05583330292065356	SCENARIO_SPECIFIC
B=1;Prefill=2048;Decode=32;FP16;SDPA;TEXT_S2	DECODE	COPY_KERNEL	void at::native::<unnamed>::CatArrayBatchedCopy_contig<at::native::<unnamed>::OpaqueType<(unsigned int)2>, unsigned int, (int)4, (int)128, (int)1>(T1 *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)	152,2,1	512,1,1	122454407	0.790656315392656	8101647	0.05231023139601636	0.06616051801222637	4982632	0.0321715612740466	0.04068969114357803	SCENARIO_SPECIFIC
B=1;Prefill=2048;Decode=32;FP16;SDPA;TEXT_S2	DECODE	CUBLAS_GEMV	std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __half, __half, __half, float, (bool)0, (bool)1, (bool)1, (bool)0, (int)7, (bool)0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched<__half>, float>>(T13)	32,1,1	32,4,1	122454407	0.790656315392656	60929146	0.39340367779806557	0.49756597163546756	4468140	0.02884961999822956	0.03648819270342798	SCENARIO_SPECIFIC
B=1;Prefill=2048;Decode=32;FP16;SDPA;TEXT_S2	DECODE	AT_NATIVE_REDUCE	void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::MeanOps<float, float, float, float>, unsigned int, float, (int)4>>(T3)	1,1,1	128,1,1	122454407	0.790656315392656	3475750	0.022442015404362085	0.02838403357749305	3475750	0.022442015404362085	0.02838403357749305	SCENARIO_SPECIFIC
B=1;Prefill=2048;Decode=32;FP16;SDPA;TEXT_S2	DECODE	AT_NATIVE_UNROLLED_ELEMENTWISE	void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 10)]::operator ()() const::[lambda(c10::Half) (instance 1)], at::detail::Array<char *, (int)2>, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T3, T4, T5, T6)	2,1,1	128,1,1	122454407	0.790656315392656	6658894	0.04299474983068813	0.05437855740055154	3378439	0.02181370354044383	0.027589362300370294	SCENARIO_SPECIFIC
