workload	mode	create_or_acquire	complete_or_release	peak	average_per_sm	terminal_lower
ATAX	BASE	19215755	19215755	512	MISSING_SOURCE_DEFINED_AVERAGE	0
ATAX	IO	17821540	17821540	UNSUPPORTED	MISSING_SOURCE_DEFINED_AVERAGE	0
ATAX	OO	17814804	17814804	UNSUPPORTED	MISSING_SOURCE_DEFINED_AVERAGE	0
BICG	BASE	19214879	19214879	512	MISSING_SOURCE_DEFINED_AVERAGE	0
BICG	IO	17821394	17821394	UNSUPPORTED	MISSING_SOURCE_DEFINED_AVERAGE	0
BICG	OO	17814913	17814913	UNSUPPORTED	MISSING_SOURCE_DEFINED_AVERAGE	0
GESUMMV	BASE	34394773	34394773	272	MISSING_SOURCE_DEFINED_AVERAGE	0
GESUMMV	IO	34595564	34595564	UNSUPPORTED	MISSING_SOURCE_DEFINED_AVERAGE	0
GESUMMV	OO	34598098	34598098	UNSUPPORTED	MISSING_SOURCE_DEFINED_AVERAGE	0
GEMM	BASE	16813388	16813388	2048	MISSING_SOURCE_DEFINED_AVERAGE	0
GEMM	IO	4256815	4256815	UNSUPPORTED	MISSING_SOURCE_DEFINED_AVERAGE	0
GEMM	OO	4113199	4113199	UNSUPPORTED	MISSING_SOURCE_DEFINED_AVERAGE	0
2DConvolution	BASE	8362183	8362183	1092	MISSING_SOURCE_DEFINED_AVERAGE	0
2DConvolution	IO	3375831	3375831	UNSUPPORTED	MISSING_SOURCE_DEFINED_AVERAGE	0
2DConvolution	OO	3305954	3305954	UNSUPPORTED	MISSING_SOURCE_DEFINED_AVERAGE	0
Btree	BASE	1458407	1458407	1876	MISSING_SOURCE_DEFINED_AVERAGE	0
Btree	IO	507779	507779	UNSUPPORTED	MISSING_SOURCE_DEFINED_AVERAGE	0
Btree	OO	502450	502450	UNSUPPORTED	MISSING_SOURCE_DEFINED_AVERAGE	0
DWT2D	BASE	757359	757359	2048	MISSING_SOURCE_DEFINED_AVERAGE	0
DWT2D	IO	232115	232115	UNSUPPORTED	MISSING_SOURCE_DEFINED_AVERAGE	0
DWT2D	OO	232015	232015	UNSUPPORTED	MISSING_SOURCE_DEFINED_AVERAGE	0
Gaussian	BASE	1951815	1951815	1646	MISSING_SOURCE_DEFINED_AVERAGE	0
Gaussian	IO	1422278	1422278	UNSUPPORTED	MISSING_SOURCE_DEFINED_AVERAGE	0
Gaussian	OO	1435914	1435914	UNSUPPORTED	MISSING_SOURCE_DEFINED_AVERAGE	0
Hotspot1	BASE	701725	701725	1486	MISSING_SOURCE_DEFINED_AVERAGE	0
Hotspot1	IO	351857	351857	UNSUPPORTED	MISSING_SOURCE_DEFINED_AVERAGE	0
Hotspot1	OO	351837	351837	UNSUPPORTED	MISSING_SOURCE_DEFINED_AVERAGE	0
LUD	BASE	1048098	1048098	2048	MISSING_SOURCE_DEFINED_AVERAGE	0
LUD	IO	517232	517232	UNSUPPORTED	MISSING_SOURCE_DEFINED_AVERAGE	0
LUD	OO	518472	518472	UNSUPPORTED	MISSING_SOURCE_DEFINED_AVERAGE	0
NN	BASE	10691	10691	2048	MISSING_SOURCE_DEFINED_AVERAGE	0
NN	IO	2673	2673	UNSUPPORTED	MISSING_SOURCE_DEFINED_AVERAGE	0
NN	OO	2673	2673	UNSUPPORTED	MISSING_SOURCE_DEFINED_AVERAGE	0
MRI-Q	BASE	62208	62208	2048	MISSING_SOURCE_DEFINED_AVERAGE	0
MRI-Q	IO	15517	15517	UNSUPPORTED	MISSING_SOURCE_DEFINED_AVERAGE	0
MRI-Q	OO	15516	15516	UNSUPPORTED	MISSING_SOURCE_DEFINED_AVERAGE	0
