workload	point	mode	modeled_value	reference_point	reference_mode	cycles	reference_cycles	cycles_over_reference	speedup_vs_reference	status
BICG	24	IO	192_lines_24576B	physical_32_IO	IO	42351523	45668204	0.927374394	1.078313146	CANDIDATE_PENDING_STAGE6_HANDOFF
BICG	24	OO	192_lines_24576B	physical_32_IO	IO	37846112	45668204	0.828719080	1.206681521	CANDIDATE_PENDING_STAGE6_HANDOFF
BICG	32	IO	256_lines_32768B	physical_32_IO	IO	45668204	45668204	1.000000000	1.000000000	CANDIDATE_PENDING_STAGE6_HANDOFF
BICG	32	OO	256_lines_32768B	physical_32_IO	IO	42895109	45668204	0.939277336	1.064648280	CANDIDATE_PENDING_STAGE6_HANDOFF
BICG	40	IO	320_lines_40960B	physical_32_IO	IO	61017789	45668204	1.336110984	0.748440819	CANDIDATE_PENDING_STAGE6_HANDOFF
BICG	40	OO	320_lines_40960B	physical_32_IO	IO	42680059	45668204	0.934568371	1.070012673	CANDIDATE_PENDING_STAGE6_HANDOFF
BICG	48	IO	384_lines_49152B	physical_32_IO	IO	77916699	45668204	1.706147651	0.586115744	CANDIDATE_PENDING_STAGE6_HANDOFF
BICG	48	OO	384_lines_49152B	physical_32_IO	IO	47093407	45668204	1.031207774	0.969736677	CANDIDATE_PENDING_STAGE6_HANDOFF
Btree	16.5	IO	132_lines_16896B	physical_32_IO	IO	548243	244231	2.244772367	0.445479468	CANDIDATE_PENDING_STAGE6_HANDOFF
Btree	16.5	OO	132_lines_16896B	physical_32_IO	IO	171828	244231	0.703547052	1.421369043	CANDIDATE_PENDING_STAGE6_HANDOFF
Btree	24	IO	192_lines_24576B	physical_32_IO	IO	244231	244231	1.000000000	1.000000000	CANDIDATE_PENDING_STAGE6_HANDOFF
Btree	24	OO	192_lines_24576B	physical_32_IO	IO	172795	244231	0.707506418	1.413414740	CANDIDATE_PENDING_STAGE6_HANDOFF
Btree	32	IO	256_lines_32768B	physical_32_IO	IO	244231	244231	1.000000000	1.000000000	CANDIDATE_PENDING_STAGE6_HANDOFF
Btree	32	OO	256_lines_32768B	physical_32_IO	IO	172795	244231	0.707506418	1.413414740	CANDIDATE_PENDING_STAGE6_HANDOFF
Btree	40	IO	320_lines_40960B	physical_32_IO	IO	244231	244231	1.000000000	1.000000000	CANDIDATE_PENDING_STAGE6_HANDOFF
Btree	40	OO	320_lines_40960B	physical_32_IO	IO	172795	244231	0.707506418	1.413414740	CANDIDATE_PENDING_STAGE6_HANDOFF
Btree	48	IO	384_lines_49152B	physical_32_IO	IO	244231	244231	1.000000000	1.000000000	CANDIDATE_PENDING_STAGE6_HANDOFF
Btree	48	OO	384_lines_49152B	physical_32_IO	IO	172795	244231	0.707506418	1.413414740	CANDIDATE_PENDING_STAGE6_HANDOFF
GESUMMV	24	IO	192_lines_24576B	physical_32_IO	IO	78710188	105662735	0.744919086	1.342427679	CANDIDATE_PENDING_STAGE6_HANDOFF
GESUMMV	24	OO	192_lines_24576B	physical_32_IO	IO	64941439	105662735	0.614610619	1.627046407	CANDIDATE_PENDING_STAGE6_HANDOFF
GESUMMV	32	IO	256_lines_32768B	physical_32_IO	IO	105662735	105662735	1.000000000	1.000000000	CANDIDATE_PENDING_STAGE6_HANDOFF
GESUMMV	32	OO	256_lines_32768B	physical_32_IO	IO	78961728	105662735	0.747299679	1.338151250	CANDIDATE_PENDING_STAGE6_HANDOFF
GESUMMV	40	IO	320_lines_40960B	physical_32_IO	IO	109360156	105662735	1.034992668	0.966190419	CANDIDATE_PENDING_STAGE6_HANDOFF
GESUMMV	40	OO	320_lines_40960B	physical_32_IO	IO	118283945	105662735	1.119448072	0.893297353	CANDIDATE_PENDING_STAGE6_HANDOFF
GESUMMV	48	IO	384_lines_49152B	physical_32_IO	IO	148257172	105662735	1.403116927	0.712698978	CANDIDATE_PENDING_STAGE6_HANDOFF
GESUMMV	48	OO	384_lines_49152B	physical_32_IO	IO	143759327	105662735	1.360548986	0.734997424	CANDIDATE_PENDING_STAGE6_HANDOFF
