workload	base_cycles	io_cycles	oo_cycles	speedup_io	speedup_oo	instructions
ATAX	87750512	88363340	48078114	0.993064680	1.825165438	145666048
BICG	88495620	93942704	47231655	0.942016955	1.873650627	145666048
GESUMMV	194986098	210667785	143059605	0.925562007	1.362971036	190918656
GEMM	2662394	1488845	1396643	1.788227787	1.906280989	739246080
2DConvolution	2247155	627281	593208	3.582373769	3.788140079	620347492
Btree	369977	244231	172795	1.514865025	2.141132556	444467849
DWT2D	344119	241380	234651	1.425631784	1.466514100	148684429
Gaussian	4229815	3817538	3820325	1.107995520	1.107187216	283685120
Hotspot1	160486	85633	84173	1.874113951	1.906620888	377291004
LUD	1113878	1091487	1087849	1.020514216	1.023927034	184963840
NN	6985	6095	6105	1.146021329	1.144144144	1284872
MRI-Q	366667	360536	361415	1.017005237	1.014531771	1411757056
GM-FAST12	n/a	n/a	n/a	1.326143376	1.592062402	exact_12_members
