schema	FAST64_3_RAW_LOG_INDEX_V1
workload	compact_summary	compact_summary_sha256	external_run_dir	retention
ATAX	fast64_3_atax_base_alias_v3/fast64_3_precomputed_atax_base_cap8192_a1_r2.json	b1169c7242595a971f6adf7b7eb79c2d37dc86336bceb321cee9c94c4005d140	/workspace/fast64-runs/fast64_3_precomputed_atax_base_cap8192_a1_r2	EXTERNAL_RAW_NOT_COMMITTED
BICG	qualification_r2_full_wave_alias_v2/fast64_1r2_bicg_base_cap8192_a1.json	37852ab2abff46296749948650a52a03c60bcab43ba3a63d3dc8028152aba298	/workspace/fast64-runs/fast64_1r2_bicg_base_cap8192_a1	EXTERNAL_RAW_NOT_COMMITTED
GESUMMV	fast64_repaired_ramp2_v1/fast64_gesummv_base_core95ccdb7a_a1_r1.json	241227b7fd32b10e3e5ed5c169fb8c4383c29b3f2f616976cfd29db11e1df5ae	/workspace/fast64-repaired-ramp2/fast64_gesummv_base_core95ccdb7a_a1_r1	EXTERNAL_RAW_NOT_COMMITTED
GEMM	fast64_3_gemm_base_alias_v4/fast64_3_precomputed_gemm_base_cap8192_a1_r2.json	7be02d3261fe79200db4163e2719268ab2e291e0dae1c3f448c56713595dd895	/workspace/fast64-runs/fast64_3_precomputed_gemm_base_cap8192_a1_r2	EXTERNAL_RAW_NOT_COMMITTED
2DConvolution	fast64_3_tag_identity_repair_v2/fast64_3_2DConvolution_base_core6587238c_a1_v1.json	f74debdf021b1dfb333cbd9bbb9601fdb6b479193d801c8a6fd4021af45b3961	/workspace/fast64-stage3-tag-identity-repair-v2/fast64_3_2DConvolution_base_core6587238c_a1_v1	EXTERNAL_RAW_NOT_COMMITTED
Btree	fast64_repaired_ramp_v1/fast64_btree_base_core95ccdb7a_a1_r1.json	57f13bde510dc93d4111d04aec38722498c4a4f79d36d97a35cf5e26b847b805	/workspace/fast64-repaired-ramp/fast64_btree_base_core95ccdb7a_a1_r1	EXTERNAL_RAW_NOT_COMMITTED
DWT2D	fast64_3_dwt2d_base_alias_v3/fast64_3_precomputed_dwt2d_base_cap8192_a1_r2.json	66d1a380bba645a46beee317484fd3d060491c2a86bd9d63bf8d7e15958bfd99	/workspace/fast64-runs/fast64_3_precomputed_dwt2d_base_cap8192_a1_r2	EXTERNAL_RAW_NOT_COMMITTED
Gaussian	fast64_3_dynamic_base_v1/fast64_3_Gaussian_base_cap8192_a1_v2.json	abf3e32753db28cd366562d7349ef58ab63f44d83df7560e5ad77da3c04ca73d	/workspace/fast64-runs/fast64_3_Gaussian_base_cap8192_a1_v2	EXTERNAL_RAW_NOT_COMMITTED
Hotspot1	fast64_repaired_core_qual_v1/fast64_hotspot1_base_core95ccdb7a_a1_v1.json	6ced15cd179d2320e5781a35c7f2dbd4f3ec8b805176fdfbcfcaa623ac4da694	/workspace/fast64-repair-formal/fast64_hotspot1_base_core95ccdb7a_a1_v1	EXTERNAL_RAW_NOT_COMMITTED
LUD	fast64_3_dynamic_base_v1/fast64_3_LUD_base_cap8192_a1_v2.json	efe70936a762f5c91f04843ecb6421f44816f9a8fd17a4470276b21c35804f0f	/workspace/fast64-runs/fast64_3_LUD_base_cap8192_a1_v2	EXTERNAL_RAW_NOT_COMMITTED
NN	fast64_3_nn_core95_v1/fast64_3_nn_base_core95ccdb7a_a1_v1.json	ea48a21ab2cca5a9df0e992ae675315a23e47995422b69f2f2e8efd9e7774930	/workspace/fast64-repaired-ramp3/fast64_3_nn_base_core95ccdb7a_a1_v1	EXTERNAL_RAW_NOT_COMMITTED
MRI-Q	fast64_repaired_ramp_v1/fast64_mriq_base_core95ccdb7a_a1_r1.json	cd86c453e6da31773d6a20700e13b3dc48a574032eb71b52d74cc172af7327df	/workspace/fast64-repaired-ramp/fast64_mriq_base_core95ccdb7a_a1_r1	EXTERNAL_RAW_NOT_COMMITTED
